"year","household_questionnaire_id","season","total_ownland_cultivated","total_land_lease_sharecrop_in","land_lease_sharecrop_out","own_land_fallow","total_land_cultivated","irrigated_out_of_tot_land_cult","nca","district","TreatmentControl","TC","total_land_cultivated_year","season_detail"
"2018","T302607029","Monsoon",80,0,20,0,80,0,100,2,"Control","0",160,"MONSOON 2074"
"2018","T302607029","Winter",80,0,20,0,80,0,100,2,"Control","0",160,"WINTER 2074"
"2018","T309308027","Monsoon",40,0,0,0,40,20,40,2,"Control","0",83,"MONSOON 2074"
"2018","T309308027","Winter",40,0,0,0,40,20,40,2,"Control","0",83,"WINTER 2074"
"2018","T309308027","Summer",3,0,0,37,3,3,40,2,"Control","0",83,"SUMMER 2075"
"2018","T302608026","Monsoon",40,0,60,0,40,30,100,2,"Control","0",80,"MONSOON 2074"
"2018","T302608026","Winter",40,0,60,0,40,30,100,2,"Control","0",80,"WINTER 2074"
"2018","T302608026","Summer",0,0,0,0,0,0,100,2,"Control","0",80,"SUMMER 2075"
"2018","T302608031","Monsoon",10,12,0,3,22,10,22,2,"Control","0",44,"MONSOON 2074"
"2018","T302608031","Winter",20,23,0,3,22,20,22,2,"Control","0",44,"WINTER 2074"
"2018","T302608031","Summer",0,0,0,0,0,0,22,2,"Control","0",44,"SUMMER 2075"
"2018","T302608030","Monsoon",35,0,0,0,35,12,35,2,"Control","0",70,"MONSOON 2074"
"2018","T302608030","Winter",35,0,0,0,35,12,35,2,"Control","0",70,"WINTER 2074"
"2018","T302608030","Summer",0,0,0,0,0,0,35,2,"Control","0",70,"SUMMER 2075"
"2018","T302608029","Monsoon",0,15,0,0,15,15,40,2,"Control","0",30,"MONSOON 2074"
"2018","T302608029","Winter",0,15,0,0,15,15,40,2,"Control","0",30,"WINTER 2074"
"2018","T302608029","Summer",0,0,0,0,0,0,40,2,"Control","0",30,"SUMMER 2075"
"2018","T302606024","Monsoon",200,0,60,0,200,40,260,2,"Control","0",340,"MONSOON 2074"
"2018","T302606024","Winter",100,0,60,100,100,40,260,2,"Control","0",340,"WINTER 2074"
"2018","T302606024","Summer",40,0,0,220,40,40,260,2,"Control","0",340,"SUMMER 2075"
"2018","T301502075","Monsoon",15,0,0,0,15,10,15,1,"Control","0",30,"MONSOON 2074"
"2018","T301502075","Winter",15,0,0,0,15,10,15,1,"Control","0",30,"WINTER 2074"
"2018","T301502075","Summer",0,0,0,0,0,0,15,1,"Control","0",30,"SUMMER 2075"
"2018","T301502075","Annual",0,0,0,0,0,0,15,1,"Control","0",30,"ANNAUL 2074-75"
"2018","T303807077","Monsoon",12,0,0,2,12,6,14,1,"Control","0",24,"MONSOON 2074"
"2018","T303807077","Winter",12,0,0,2,12,6,14,1,"Control","0",24,"WINTER 2074"
"2018","T303807077","Summer",0,0,0,0,0,0,14,1,"Control","0",24,"SUMMER 2075"
"2018","T303807077","Annual",0,0,0,0,0,0,14,1,"Control","0",24,"ANNAUL 2074-75"
"2018","T301502070","Monsoon",3,5,0,0,8,8,8,1,"Control","0",16,"MONSOON 2074"
"2018","T301502070","Winter",8,0,0,0,8,0,8,1,"Control","0",16,"WINTER 2074"
"2018","T301502070","Summer",0,0,0,0,0,0,8,1,"Control","0",16,"SUMMER 2075"
"2018","T301503071","Monsoon",65,0,0,0,65,20,65,1,"Control","0",145,"MONSOON 2074"
"2018","T301503071","Winter",65,0,0,0,65,16,65,1,"Control","0",145,"WINTER 2074"
"2018","T301503071","Summer",0,0,0,0,0,0,65,1,"Control","0",145,"SUMMER 2075"
"2018","T301503071","Annual",15,0,0,0,15,15,65,1,"Control","0",145,"ANNAUL 2074-75"
"2018","T301502072","Monsoon",6,0,0,0,6,6,6,1,"Control","0",12,"MONSOON 2074"
"2018","T301502072","Winter",6,0,0,0,6,6,6,1,"Control","0",12,"WINTER 2074"
"2018","T301502072","Summer",0,0,0,0,0,0,6,1,"Control","0",12,"SUMMER 2075"
"2018","T301502072","Annual",0,0,0,0,0,0,6,1,"Control","0",12,"ANNAUL 2074-75"
"2018","T303806076","Monsoon",20,0,0,0,20,8,20,1,"Control","0",40,"MONSOON 2074"
"2018","T303806076","Winter",20,0,0,0,20,10,20,1,"Control","0",40,"WINTER 2074"
"2018","T303806076","Summer",0,0,0,0,0,0,20,1,"Control","0",40,"SUMMER 2075"
"2018","T303806078","Monsoon",5,7,0,0,12,8,12,1,"Control","0",24,"MONSOON 2074"
"2018","T303806078","Winter",5,7,0,0,12,4,5,1,"Control","0",24,"WINTER 2074"
"2018","T303806078","Summer",0,0,0,0,0,0,5,1,"Control","0",24,"SUMMER 2075"
"2018","T301502069","Monsoon",21,0,0,0,21,4,21.7000007629394,1,"Control","0",42,"MONSOON 2074"
"2018","T301502069","Winter",21,0,0,0,21,10,21.7000007629394,1,"Control","0",42,"WINTER 2074"
"2018","T301502069","Summer",0,0,0,0,0,0,21.7000007629394,1,"Control","0",42,"SUMMER 2075"
"2018","T301502074","Monsoon",60,0,0,0,60,20,60,1,"Control","0",120,"MONSOON 2074"
"2018","T301502074","Winter",60,0,0,0,60,30,60,1,"Control","0",120,"WINTER 2074"
"2018","T301502074","Summer",0,0,0,0,0,0,60,1,"Control","0",120,"SUMMER 2075"
"2018","T301503073","Monsoon",20,0,0,0,20,5,20,1,"Control","0",40,"MONSOON 2074"
"2018","T301503073","Winter",20,0,0,0,20,5,20,1,"Control","0",40,"WINTER 2074"
"2018","T301503073","Summer",0,0,0,0,0,0,20,1,"Control","0",40,"SUMMER 2075"
"2018","T307006094","Monsoon",90,0,0,10,90,90,100,1,"Control","0",200,"MONSOON 2074"
"2018","T307006094","Winter",90,0,0,10,90,90,100,1,"Control","0",200,"WINTER 2074"
"2018","T307006094","Summer",10,0,0,90,10,10,100,1,"Control","0",200,"SUMMER 2075"
