"year","household_questionnaire_id","do_you_own_use_a_krishi_meter","a__how_long_ago_did_you_receive","b__how_much_did_you_pay_for_the","unit_price_for_krishi_elec","how_many_electric_pumps_do_yo","do_you_use_a_domestic_connect","when_did_you_receive_the_con","how_much_did_you_pay_for_con","unit_price_dom_elec","how_many_electric_pumps_do_yp","hrs_electricity_in_monsoon","hrs_electricity_in_winter","hrs_electricity_in_summer","distance_of_electricity_mete","total_expenses_on_electricit","is_the_number_of_hrs_of_elec","is_the_quality_of_electricit","do_you_buy_fuel_for_the_pump","if_yes__which_fuel_do_you_use","at_which_price_did_you_buy_it","diesel_available_within_villa","diesel_available_within_5_km","diesel_available_when_needed","have_to_pay_black_market_rat","total_litres_consumed_dieselkero","district","TreatmentControl","TC"
2018,"T302607029",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Control",0
2018,"T309308027",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Control",0
2018,"T302608026",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,95,1,2,2,1,100,2,"Control",0
2018,"T302608031",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Control",0
2018,"T302608030",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Control",0
2018,"T302608029",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Control",0
2018,"T302606024",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,"Control",0
2018,"T301502075",2,NA,NA,NA,NA,2,NA,NA,NA,NA,0,0,0,0,0,2,2,1,2,100,1,1,1,1,100,1,"Control",0
2018,"T303807077",2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,100,1,1,2,1,50,1,"Control",0
2018,"T301502070",1,3,2500,4,1,2,NA,NA,NA,NA,8,7,4,150,2500,2,2,1,2,100,1,1,2,2,2500,1,"Control",0
