"year","household_questionnaire_id","p123_s","p123_m","p123_w","p123_year","TreatmentControl","TC","district"
2018,"T302608026",24,6,0,30,"Control",0,2
2018,"T301502075",35,24,0,59,"Control",0,1
2018,"T303807077",24,6,0,30,"Control",0,1
2018,"T301502070",0,48,0,48,"Control",0,1
2018,"T301503071",20,20,0,40,"Control",0,1
2018,"T301502072",18,6,0,24,"Control",0,1
2018,"T303806076",32,8,0,40,"Control",0,1
2018,"T301502069",60,10,0,70,"Control",0,1
2018,"T301502074",100,28,0,128,"Control",0,1
2018,"T301503073",45,24,0,69,"Control",0,1
2018,"T307103092",150,52,240,442,"Control",0,1
2018,"T304905099",293.99999499321,52.4999991059303,0,346.49999409914,"Control",0,1
2018,"T308603106",300,52.5,60,412.5,"Control",0,1
2018,"T300902111",660,540,80,1280,"Control",0,1
2018,"T307001096",93.75,125,31.25,250,"Control",0,1
2018,"T308601105",0,0,0,0,"Control",0,1
2018,"T307005097",0,0,0,0,"Control",0,1
2018,"T304905101",0,0,0,0,"Control",0,1
2018,"T302409104",0,0,0,0,"Control",0,1
2018,"T307705126",160,10,0,170,"Control",0,1
2018,"T307003117",126,75,225,426,"Control",0,1
2018,"T305007121",40,12,0,52,"Control",0,1
2018,"T305004118",148.500001430511,37.5,0,186.000001430511,"Control",0,1
2018,"T305006119",48,15,0,63,"Control",0,1
2018,"T307006116",300,105,105,510,"Control",0,1
2018,"T304802122",38.4000015258789,36.0000014305115,54.0000021457672,128.400005102158,"Treatment",1,1
2018,"T302004124",90,21,12.5,123.5,"Control",0,1
2018,"T307003115",100,30,0,130,"Control",0,1
2018,"T306708132",192,25,0,217,"Control",0,1
2018,"T304705128",120,100,60,280,"Control",0,1
2018,"T307705125",80,32,12.5,124.5,"Control",0,1
2018,"T302608007",18,14,0,32,"Control",0,2
2018,"T302609002",0,0,0,0,"Control",0,2
2018,"T309303010",96,63,0,159,"Control",0,2
2018,"T309304113",15,100,70,185,"Control",0,1
2018,"T307001095",0,0,0,0,"Control",0,1
2018,"T300901091",0,0,0,0,"Treatment",1,1
2018,"T307808108",0,0,0,0,"Control",0,1
2018,"T301906103",225,150,200,575,"Control",0,1
2018,"T301808002",40,150,180,370,"Control",0,3
2018,"T301106005",228,179,288,695,"Control",0,3
2018,"T307408001",0,0,0,0,"Control",0,3
2018,"T303505004",348,418,478,1244,"Control",0,3
2018,"T302501007",0,0,0,0,"Control",0,3
2018,"T304308003",414,144,0,558,"Control",0,3
2018,"T305001120",160.000002384186,28.0000004172325,288.000004291534,476.000007092953,"Treatment",1,1
2018,"T304802123",210,360,600,1170,"Treatment",1,1
2018,"T304706130",600,750,1080,2430,"Control",0,1
2018,"T304706131",72.0000028610229,72.0000028610229,0,144.000005722046,"Control",0,1
2018,"T304702127",27.9999995231628,11.1999998092651,0,39.199999332428,"Control",0,1
2018,"T300406135",74,162.5,200,436.5,"Treatment",1,1
2018,"T300406089",75,135,150,360,"Treatment",1,1
2018,"T301503134",75,150,225,450,"Control",0,1
2018,"T304705090",6.00000023841858,6.00000023841858,0,12.0000004768372,"Control",0,1
2018,"T305004088",125,125,0,250,"Control",0,1
2018,"T301503081",240,78,80,398,"Control",0,1
2018,"T303907079",32,42,56,130,"Control",0,1
2018,"T301502085",25,12,0,37,"Control",0,1
2018,"T301001084",35,9,0,44,"Control",0,1
2018,"T304807087",20,12,0,32,"Control",0,1
2018,"T304804086",178.5,85,0,263.5,"Control",0,1
2018,"T304808083",56,30,0,86,"Control",0,1
2018,"T304808082",80,20,0,100,"Control",0,1
2018,"T301503080",37.5,24,0,61.5,"Control",0,1
2018,"T309006004",0,7.5,0,7.5,"Control",0,2
2018,"T309504024",200,240,0,440,"Control",0,2
2018,"T302608050",360,325,0,685,"Control",0,2
2018,"T305104033",150,35,0,185,"Control",0,2
2018,"T305404025",390,250,0,640,"Control",0,2
2018,"T309904032",30,10,0,40,"Control",0,2
2018,"T300603032",125,180,0,305,"Control",0,2
2018,"T301911010",500,225,243.75,968.75,"Treatment",1,3
2018,"T306004001",25,90,75,190,"Treatment",1,2
2018,"T305607002",128.000001907349,256.000003814697,64.0000009536743,448.00000667572,"Treatment",1,2
2018,"T300307001",200,0,180,380,"Treatment",1,2
2018,"T304802030",0,24.0000009536743,15.0000005960464,39.0000015497208,"Treatment",1,1
2018,"T306102001",200,25,150,375,"Treatment",1,2
2018,"T305607004",54.0000021457672,72.0000028610229,18.0000007152557,144.000005722046,"Treatment",1,2
2018,"T302806050",15.0000005960464,72.0000028610229,72.0000028610229,159.000006318092,"Treatment",1,1
2018,"T306102002",0,0,0,0,"Treatment",1,2
2018,"T309708020",240,30,120,390,"Treatment",1,1
2018,"T308705001",12.5,0,12.5,25,"Treatment",1,2
2018,"T308707002",1620,900,1080,3600,"Treatment",1,2
2018,"T305602001",225,120,264,609,"Control",0,2
2018,"T303007001",100,0,0,100,"Treatment",1,2
2018,"T300508099",50,150,450,650,"Treatment",1,3
2018,"T308703001",50,50,0,100,"Treatment",1,2
2018,"T302609007",60.0000023841858,36.0000014305115,0,96.0000038146973,"Control",0,2
2018,"T302603034",100,150,0,250,"Treatment",1,2
2018,"T302602009",60.0000023841858,144.000005722046,0,204.000008106232,"Treatment",1,2
2018,"T300608006",45.0000017881393,150.000005960464,144.000005722046,339.00001347065,"Treatment",1,2
2018,"T309306011",400,800,0,1200,"Control",0,2
2018,"T309306012",160,200,0,360,"Treatment",1,2
2018,"T300608033",12.5,412.5,640,1065,"Treatment",1,2
2018,"T303608010",100,250,520,870,"Control",0,2
2018,"T305404026",96.0000038146973,192.000007629395,96.0000038146973,384.000015258789,"Control",0,2
2018,"T300901112",200,100,0,300,"Control",0,2
2018,"T300901113",200,100,25,325,"Treatment",1,2
2019,"T306004001",0,0,0,0,"Treatment",1,2
2019,"T309708020",150,40,18,208,"Treatment",1,1
2019,"T300608033",1920,616,440,2976,"Treatment",1,2
2019,"T302806050",100,40,18,158,"Treatment",1,1
2019,"T309306012",0,0,7,7,"Treatment",1,2
2019,"T300508099",0,7.5,20,27.5,"Treatment",1,3
2019,"T305602003",0,0,0,0,"Treatment",1,2
2019,"T300406135",49,24,14,87,"Treatment",1,1
2019,"T305607002",144,120,100,364,"Treatment",1,2
2019,"T308707002",144,144,100,388,"Treatment",1,2
2019,"T306102001",0,0,0,0,"Treatment",1,2
2019,"T304802030",0,0,0,0,"Treatment",1,1
2019,"T305519001",0,0,0,0,"Treatment",1,3
2019,"T301911010",225,0,225,450,"Treatment",1,3
2019,"T300307001",0,0,0,0,"Treatment",1,2
2019,"T302602009",0,0,0,0,"Treatment",1,2
2019,"T308705001",400,70,300,770,"Treatment",1,2
2019,"T305001120",375,32.5,275,682.5,"Treatment",1,1
2019,"T303007001",0,0,0,0,"Treatment",1,2
2019,"T305607005",50,96,60,206,"Treatment",1,2
2019,"T300608006",0,0,0,0,"Treatment",1,2
2019,"T308703001",0,0,0,0,"Treatment",1,2
2019,"T300901113",0,0,0,0,"Treatment",1,2
2019,"T302603034",50,0,21,71,"Treatment",1,2
2019,"T305607004",0,0,0,0,"Treatment",1,2
2019,"T304802123",0,72,100,172,"Treatment",1,1
2019,"T304905099",0,0,0,0,"Control",0,1
2019,"T307408001",0,0,7,7,"Control",0,3
2019,"T301503134",0,0,10,10,"Control",0,1
2019,"T309504024",0,0,7.5,7.5,"Control",0,2
2019,"T304308003",0,0,54.0000021457672,54.0000021457672,"Control",0,3
2019,"T301503081",50,0,25,75,"Control",0,1
2019,"T302607029",12.5,0,5,17.5,"Control",0,2
2019,"T306708132",0,0,25,25,"Control",0,1
2019,"T305104033",0,0,18.75,18.75,"Control",0,2
2019,"T302608032",1,0,40,41,"Control",0,2
2019,"T305102015",0,0,0,0,"Control",0,2
2019,"T302608026",0,0,0,0,"Control",0,2
2019,"T303505004",0,0,20,20,"Control",0,3
2019,"T301503071",120,0,144,264,"Control",0,1
2019,"T304808083",0,0,96,96,"Control",0,1
2019,"T304705090",32,10,40,82,"Control",0,1
2019,"T300601005",5,0,21,26,"Control",0,2
2019,"T307001095",0,0,4,4,"Control",0,1
2019,"T305602001",0,0,84,84,"Control",0,2
2019,"T301502070",572,60,26,658,"Control",0,1
2019,"T302609007",126,0,0,126,"Control",0,2
2019,"T305404026",180,0,0,180,"Control",0,2
2019,"T302608033",0,0,0,0,"Control",0,2
2019,"T304706131",0,0,0,0,"Control",0,1
2019,"T301808003",0,0,100,100,"Control",0,3
2019,"T305105014",24,0,56,80,"Control",0,2
2019,"T302501007",32,0,32,64,"Control",0,3
2019,"T304706130",0,0,0,0,"Control",0,1
2019,"T300901112",0,0,0,0,"Control",0,2
2019,"T300902111",0,0,144,144,"Control",0,1
2019,"T301001084",0,0,20,20,"Control",0,1
2019,"T301805004",15,50,25,90,"Control",0,3
2019,"T305004118",10.5,50,31,91.5,"Control",0,1
2019,"T304707129",0,0,0,0,"Control",0,1
2019,"T304807087",32,0,60,92,"Control",0,1
2019,"T302609002",0,0,100,100,"Control",0,2
2019,"T307006094",16,0,60,76,"Control",0,1
