"year","household_questionnaire_id","time_to_irrigate_1_katha__p_1","TreatmentControl","TC"
2018,"T302607029",0,"Control",0
2018,"T309308027",120,"Control",0
2018,"T302608026",90,"Control",0
2018,"T302608031",0,"Control",0
2018,"T302608030",0,"Control",0
2018,"T302608029",0,"Control",0
2018,"T302606024",0,"Control",0
2018,"T301502075",60,"Control",0
2018,"T303807077",60,"Control",0
2018,"T301502070",120,"Control",0
2018,"T301503071",60,"Control",0
2018,"T301502072",120,"Control",0
2018,"T303806076",60,"Control",0
2018,"T303806078",0,"Control",0
2018,"T301502069",120,"Control",0
2018,"T301502074",60,"Control",0
2018,"T301503073",60,"Control",0
2018,"T307006094",0,"Control",0
2018,"T307707110",0,"Control",0
2018,"T307103092",60,"Control",0
2018,"T304905099",60,"Control",0
2018,"T308603106",60,"Control",0
2018,"T300902111",60,"Control",0
2018,"T300509098",0,"Control",0
2018,"T307001096",60,"Control",0
2018,"T308601105",60,"Control",0
2018,"T307005097",60,"Control",0
2018,"T301602107",0,"Control",0
2018,"T301907112",0,"Control",0
2018,"T304901100",0,"Control",0
2018,"T304905101",60,"Control",0
2018,"T304906102",0,"Control",0
2018,"T302409104",60,"Control",0
2018,"T307103093",0,"Control",0
2018,"T307705126",60,"Control",0
2018,"T307003117",60,"Control",0
2018,"T305007121",90,"Control",0
2018,"T305004118",75,"Control",0
2018,"T305006119",60,"Control",0
2018,"T304707129",0,"Control",0
2018,"T307006116",120,"Control",0
2018,"T304802122",60,"Treatment",1
2018,"T302004124",60,"Control",0
2018,"T307003115",60,"Control",0
2018,"T306708132",60,"Control",0
2018,"T304705128",60,"Control",0
2018,"T307705125",60,"Control",0
2018,"T302608007",90,"Control",0
2018,"T302606012",0,"Control",0
2018,"T309009013",0,"Control",0
2018,"T302608003",0,"Control",0
2018,"T300409001",0,"Control",0
2018,"T300404011",0,"Control",0
2018,"T300601005",0,"Control",0
2018,"T302607006",0,"Control",0
2018,"T302609002",60,"Control",0
2018,"T309303010",60,"Control",0
2018,"T303603009",0,"Control",0
2018,"T302602008",0,"Control",0
2018,"T309304113",60,"Control",0
2018,"T307001095",60,"Control",0
2018,"T300901091",60,"Treatment",1
2018,"T307808108",60,"Control",0
2018,"T304707109",0,"Control",0
2018,"T301906103",60,"Control",0
2018,"T301808002",60,"Control",0
2018,"T301106005",60,"Control",0
2018,"T307408001",60,"Control",0
2018,"T303505004",120,"Control",0
2018,"T302501007",60,"Control",0
2018,"T303906006",0,"Control",0
2018,"T304308003",60,"Control",0
2018,"T305001120",75,"Treatment",1
2018,"T304802123",60,"Treatment",1
2018,"T305001121",75,"Control",0
2018,"T304706130",60,"Control",0
2018,"T304706131",90,"Control",0
2018,"T304702127",60,"Control",0
2018,"T300406135",60,"Treatment",1
2018,"T300406089",60,"Treatment",1
2018,"T301503134",60,"Control",0
2018,"T304705090",65,"Control",0
2018,"T305004088",60,"Control",0
2018,"T301503081",60,"Control",0
2018,"T303907079",120,"Control",0
2018,"T301502085",60,"Control",0
2018,"T301001084",60,"Control",0
2018,"T304807087",60,"Control",0
2018,"T304804086",60,"Control",0
2018,"T304808083",60,"Control",0
2018,"T304808082",60,"Control",0
2018,"T301503080",60,"Control",0
2018,"T305105014",0,"Control",0
2018,"T309006004",1,"Control",0
2018,"T305102015",0,"Control",0
2018,"T309504024",60,"Control",0
2018,"T302608050",90,"Control",0
2018,"T300401028",0,"Control",0
2018,"T305104033",60,"Control",0
2018,"T300607023",0,"Control",0
2018,"T305404025",90,"Control",0
2018,"T309904032",90,"Control",0
2018,"T300603032",160,"Control",0
2018,"T301911010",75,"Treatment",1
2018,"T306004001",60,"Treatment",1
2018,"T305607002",50,"Treatment",1
2018,"T300307001",60,"Treatment",1
2018,"T304802030",50,"Treatment",1
2018,"T306102001",45,"Treatment",1
2018,"T305519001",0,"Treatment",1
2018,"T305607004",30,"Treatment",1
2018,"T302806050",50,"Treatment",1
2018,"T306102002",60,"Treatment",1
2018,"T309708020",50,"Treatment",1
2018,"T305607005",0,"Treatment",1
2018,"T308705001",30,"Treatment",1
2018,"T305602003",0,"Treatment",1
2018,"T308707002",25,"Treatment",1
2018,"T305602001",20,"Control",0
2018,"T303007001",20,"Treatment",1
2018,"T300508099",60,"Treatment",1
2018,"T308703001",30,"Treatment",1
2018,"T302608032",30,"Control",0
2018,"T302608033",20,"Control",0
2018,"T302609007",30,"Control",0
2018,"T302603034",30,"Treatment",1
2018,"T302602009",30,"Treatment",1
2018,"T300608006",30,"Treatment",1
2018,"T301808003",90,"Control",0
2018,"T301805004",60,"Control",0
2018,"T309306011",30,"Control",0
2018,"T309306012",30,"Treatment",1
2018,"T300608033",20,"Treatment",1
2018,"T303608010",30,"Control",0
2018,"T305404026",30,"Control",0
2018,"T300901112",60,"Control",0
2018,"T300901113",60,"Treatment",1
2019,"T306004001",60,"Treatment",1
2019,"T309708020",60,"Treatment",1
2019,"T300608033",60,"Treatment",1
2019,"T302806050",60,"Treatment",1
2019,"T309306012",60,"Treatment",1
2019,"T300508099",90,"Treatment",1
2019,"T305602003",60,"Treatment",1
2019,"T300406135",60,"Treatment",1
2019,"T306102002",50,"Treatment",1
2019,"T305607002",60,"Treatment",1
2019,"T308707002",60,"Treatment",1
2019,"T306102001",60,"Treatment",1
2019,"T304802030",60,"Treatment",1
2019,"T305519001",60,"Treatment",1
2019,"T301911010",60,"Treatment",1
2019,"T300307001",60,"Treatment",1
