"household_questionnaire_id","homestead_dwelling_area","land_for_cultivation","land_for_aquaculture_ponds","perm_fallow_land","orchard_land","total_property","land_owned_women","landarea_women","who_owns_it","since_when_month","since_when_year","reason_transfer","woman_homestead","woman_perm_fallow_land","woman_aquaculture_ponds","woman_orchard","woman_land_cultivation","how_many_agricultural_plots","plot_size_pl1_bore_a","plot_size_pl2_bore_b","plot_size_pl3_bore_c","type_pump_pl1_bore_a","type_pump_pl2_bore_b","type_pump_pl3_bore_c","pump_fixed_pl1_bore_a","pump_fixed_pl2_bore_b","pump_fixed_pl3_bore_c","cropecon_plot_pl1_bore_a","cropecon_plot_pl2_bore_b","cropecon_plot_pl3_bore_c","five_years_back_totalland","mode_of_pay_lease","if_fixed_leaserate_per_katha","if_share_of_produce_prop1","if_share_of_produce_prop2","district","year","TreatmentControl","TC"
"T302607029",1,100,0,0,0,101,1,5,2,2,2061,"LESS TAX",NA,NA,NA,NA,5,11,5,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,70,2,NA,50,50,2,2018,"Control",0
"T309308027",1,40,0,0,0,41,1,6,2,10,2073,"",NA,NA,NA,NA,6,6,1,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,35,NA,NA,NA,NA,2,2018,"Control",0
"T302608026",0.5,100,10,0,0,110.5,1,40,4,12,2067,"",0,0,0,0,40,11,1,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,10.5,1,2000,0,0,2,2018,"Control",0
"T302608031",1,13,0,3,0,17,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,2,NA,NA,NA,2,2018,"Control",0
"T302608030",0.5,35,0,0,0,35.5,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,12,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,40.5,NA,NA,NA,NA,2,2018,"Control",0
"T302608029",1.5,0,0,10,0,11.5,2,0,0,NA,NA,"",NA,NA,NA,NA,NA,2,1,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,60,2,NA,NA,NA,2,2018,"Control",0
"T302606024",3,260,2,10,3,278,1,60,2,1,2040,"LESS TAX",2,0,2,0,56,45,40,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,300,2,NA,NA,0,2,2018,"Control",0
"T301502075",0.699999988079071,15,0,0,5,20.7000007629395,2,0,1,2,NA,"",0,0,0,0,0,3,15,NA,NA,3,NA,NA,2,NA,NA,2,NA,NA,0,NA,NA,NA,0,1,2018,"Control",0
"T303807077",0.5,14,0,0,0,14.5,2,0,1,NA,NA,"",0,0,0,0,0,0,6,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,14.5,NA,NA,NA,NA,1,2018,"Control",0
"T301502070",0.5,8,0,0,4,12.5,1,6,2,2,2072,"LESS TAX",0,0.600000023841858,0,0,0,3,90,8,3,3,3,3,2,2,2,1,NA,NA,40,2,NA,NA,NA,1,2018,"Control",0
