date,A0110402001,A104507035,E0104705010,T100503002,T102007001,T103204001,T104209001,T106605002,T109203001,T109205004,T109902001,T109902002,T110505001,T200103002,T203901002,T203908001,T205105003,T210101002,T210408001,T210701004,T210708002,T210709001,T210709003,T210904001,T300307001,T300406089,T300508099,T300608006,T300608033,T300901091,T300901113,T301911010,T302602009,T302603034,T302806050,T303007001,T304802030,T304802122,T305001120,T305519001,T305602003,T305607002,T305607004,T305607005,T306004001,T306102001,T306102002,T308703001,T308705001,T308707002,T309306012,T309708020,T3HH
02/06/2017,NA,A,NA,NA,NA,NA,NA,NA,A,NA,A,NA,NA,A,NA,A,NA,NA,A,NA,A,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/06/2017,NA,NA,NA,NA,NA,A,NA,NA,A,NA,NA,NA,A,A,NA,A,NA,NA,NA,NA,A,NA,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/06/2017,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,A,NA,A,NA,NA,A,NA,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/06/2017,NA,NA,NA,NA,NA,A,NA,A,NA,NA,NA,NA,NA,A,NA,A,NA,NA,A,NA,A,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06/06/2017,NA,NA,NA,NA,NA,NA,NA,A,A,NA,NA,NA,A,A,NA,A,A,NA,NA,NA,A,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07/06/2017,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08/06/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/06/2017,NA,NA,NA,NA,NA,A,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/06/2017,NA,NA,NA,NA,NA,A,NA,A,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,A,A,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/06/2017,NA,NA,NA,NA,NA,A,NA,NA,A,NA,NA,NA,NA,A,NA,NA,A,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
