"household_questionnaire_id","type_of_crop","name_of_crop","season_of_crop","when_is_crop_sowed","when_is_crop_harvested","cult_area_under_crop","most_imp_source","hrs_irr_1katha","no_of_irrigation_for_1_katha","what_was_your_total_harvest","unit_harvest","percent_for_selling","price_per_kg","year","district","TreatmentControl","TC","irri_for_season","name_of_crop_detail"
"T102007004",1,"Paddy","Monsoon",3,8,10,2,1,2,3,1,0,0,2017,"Saptari","Control",0,20,"PADDY"
"T102007004",2,"Wheat","Winter",8,12,8,2,1,2,1,1,0,0,2017,"Saptari","Control",0,16,"WHEAT"
"T102007004",47,"Vegetables","Winter",8,11,2,2,1,1,10,1,0,0,2017,"Saptari","Control",0,2,"POTATO"
"T102007004",53,"Vegetables","Summer",9,12,2,2,1,5,20,3,0,0,2017,"Saptari","Control",0,10,"ONIONS"
"T102007004",10,"Vegetables","Summer",10,NA,2,2,1,5,50,3,0,0,2017,"Saptari","Control",0,10,"OKRA"
"T102007004",24,"Pulses","Summer",10,NA,1,2,1,5,15,3,0,0,2017,"Saptari","Control",0,5,"HORSE GRAM"
"T102007004",27,"Pulses","Summer",12,NA,5,1,NA,NA,20,3,50,100,2017,"Saptari","Control",0,NA,"GREEN GRAM"
"T108803015",1,"Paddy","Monsoon",3,8,80,2,1,2,3,1,25,20,2017,"Saptari","Control",0,160,"PADDY"
"T108803015",2,"Wheat","Winter",8,12,20,2,1,2,2,1,25,28,2017,"Saptari","Control",0,40,"WHEAT"
"T108803015",47,"Vegetables","Winter",8,11,5,2,1,2,15,1,50,17,2017,"Saptari","Control",0,10,"POTATO"
"T108803015",43,"Oilseeds","Winter",8,12,5,2,1,2,15,3,0,0,2017,"Saptari","Control",0,10,"MUSTARD"
"T108803015",42,"Oilseeds","Winter",8,12,5,2,1,1,20,3,75,140,2017,"Saptari","Control",0,5,"LINSEED"
"T108803015",44,"Vegetables","Winter",8,11,2,2,1,10,3,1,50,40,2017,"Saptari","Control",0,20,"CAULIFLOWER"
"T108803015",45,"Vegetables","Winter",8,12,1,2,1,8,4,1,75,30,2017,"Saptari","Control",0,8,"CABBAGE"
"T108803015",7,"Vegetables","Winter",8,NA,1,2,1,10,4,1,75,30,2017,"Saptari","Control",0,10,"TOMATO"
"T108803015",10,"Vegetables","Winter",8,NA,1,2,1,5,30,3,50,25,2017,"Saptari","Control",0,5,"OKRA"
"T108803015",27,"Pulses","Summer",12,NA,10,1,NA,NA,20,3,50,100,2017,"Saptari","Control",0,NA,"GREEN GRAM"
"C009006001",1,"Paddy","Monsoon",3,8,30,2,1,3,3,1,50,16,2017,"Saptari","Control",0,90,"PADDY"
"C009006001",2,"Wheat","Winter",8,12,10,2,1,3,2,1,50,25,2017,"Saptari","Control",0,30,"WHEAT"
"C009006001",43,"Oilseeds","Winter",8,12,3,2,1,2,15,3,0,0,2017,"Saptari","Control",0,6,"MUSTARD"
"C009006001",47,"Vegetables","Winter",8,11,2,2,1,1,15,1,50,15,2017,"Saptari","Control",0,2,"POTATO"
"C009006001",27,"Pulses","Summer",12,NA,5,1,0,0,10,3,0,0,2017,"Saptari","Control",0,0,"GREEN GRAM"
"T106006001",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,"Saptari","Control",0,NA,""
"T107609001",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,"Saptari","Control",0,NA,""
"T108808014",1,"Paddy","Monsoon",3,8,50,2,1,2,4,1,50,18,2017,"Saptari","Control",0,100,"PADDY"
"T108808014",2,"Wheat","Winter",8,12,10,2,1,2,2,1,0,0,2017,"Saptari","Control",0,20,"WHEAT"
"T108808014",33,"Others","Winter",8,11,4,2,1,1,20,3,0,0,2017,"Saptari","Control",0,4,"OTHER"
"T108808014",43,"Oilseeds","Winter",8,11,4,2,1,2,20,3,0,0,2017,"Saptari","Control",0,8,"MUSTARD"
"T108808014",47,"Vegetables","Winter",8,11,2,2,1,2,13,1,50,15,2017,"Saptari","Control",0,4,"POTATO"
"C001701002",1,"Paddy","Monsoon",3,8,40,2,1,2,4,1,50,22,2017,"Saptari","Control",0,80,"PADDY"
"C001701002",2,"Wheat","Winter",8,12,20,2,1,2,2,1,50,28,2017,"Saptari","Control",0,40,"WHEAT"
"C001701002",43,"Oilseeds","Winter",8,11,4,2,1,2,20,3,0,0,2017,"Saptari","Control",0,8,"MUSTARD"
"C001701002",42,"Oilseeds","Winter",8,11,5,1,0,0,10,3,50,140,2017,"Saptari","Control",0,0,"LINSEED"
"C001701002",33,"Others","Winter",8,11,5,1,0,0,10,3,0,0,2017,"Saptari","Control",0,0,"OTHER"
"C001701002",47,"Vegetables","Winter",8,11,3,2,1,2,12,1,50,15,2017,"Saptari","Control",0,6,"POTATO"
"C001701002",21,"Vegetables","Winter",8,11,3,2,1,1,10,3,0,0,2017,"Saptari","Control",0,3,"GREEN PEA"
"C001701002",27,"Pulses","Summer",12,NA,5,1,0,0,15,3,0,0,2017,"Saptari","Control",0,0,"GREEN GRAM"
"C008508001",1,"Paddy","Monsoon",3,8,20,2,0.5,2,4,1,50,20,2017,"Saptari","Control",0,20,"PADDY"
"C008508001",2,"Wheat","Winter",8,12,10,2,0.5,2,2,1,25,28,2017,"Saptari","Control",0,10,"WHEAT"
"C008508001",21,"Vegetables","Winter",8,12,5,1,0.5,0,20,3,50,125,2017,"Saptari","Control",0,0,"GREEN PEA"
"C008508001",43,"Oilseeds","Winter",8,12,3,2,0.5,2,15,3,0,0,2017,"Saptari","Control",0,3,"MUSTARD"
"C008508001",47,"Vegetables","Winter",8,11,2,2,0.5,2,15,1,50,14,2017,"Saptari","Control",0,2,"POTATO"
"C008508001",27,"Pulses","Summer",12,NA,5,1,0.5,0,25,3,25,100,2017,"Saptari","Control",0,0,"GREEN GRAM"
"T107104001",1,"Paddy","Monsoon",3,8,10,2,1,3,3,1,0,0,2017,"Saptari","Control",0,30,"PADDY"
"T107104001",2,"Wheat","Winter",8,12,5,2,1,2,1,1,0,0,2017,"Saptari","Control",0,10,"WHEAT"
"T107104001",47,"Vegetables","Winter",8,12,3,2,1,2,15,1,75,15,2017,"Saptari","Control",0,6,"POTATO"
"T107104001",11,"Vegetables","Winter",8,NA,1,2,1,5,125,3,75,125,2017,"Saptari","Control",0,5,"CHILLIES"
"T107104001",10,"Vegetables","Winter",11,NA,1,2,1,5,50,3,0,0,2017,"Saptari","Control",0,5,"OKRA"
"T107104001",27,"Pulses","Summer",12,NA,10,1,0,0,15,3,75,100,2017,"Saptari","Control",0,0,"GREEN GRAM"
"T102009002",1,"Paddy","Monsoon",3,8,54,2,1,2,4,1,75,18,2017,"Saptari","Control",0,108,"PADDY"
"T102009002",2,"Wheat","Winter",8,12,10,2,1,2,2,1,75,28,2017,"Saptari","Control",0,20,"WHEAT"
"T102009002",47,"Vegetables","Winter",8,11,5,2,1,3,10,1,75,25,2017,"Saptari","Control",0,15,"POTATO"
"T102009002",44,"Vegetables","Winter",8,10,3,2,1,5,20,1,95,40,2017,"Saptari","Control",0,15,"CAULIFLOWER"
"T102009002",45,"Vegetables","Winter",8,11,2,2,1,4,25,1,95,30,2017,"Saptari","Control",0,8,"CABBAGE"
"T102009002",27,"Pulses","Summer",12,NA,10,1,0,0,20,3,75,100,2017,"Saptari","Control",0,0,"GREEN GRAM"
"T102007003",1,"Paddy","Monsoon",3,8,17,2,1,2,3,1,50,18,2017,"Saptari","Control",0,34,"PADDY"
"T102007003",2,"Wheat","Winter",8,12,5,2,1,3,2,1,0,0,2017,"Saptari","Control",0,15,"WHEAT"
"T102007003",47,"Vegetables","Winter",8,11,2,2,1,2,5,1,50,15,2017,"Saptari","Control",0,4,"POTATO"
"T106006002",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,"Saptari","Control",0,NA,""
"C009006002",1,"Paddy","Monsoon",3,8,35,2,1,2,4,1,75,19,2017,"Saptari","Control",0,70,"PADDY"
"C009006002",2,"Wheat","Winter",8,12,15,2,1,3,2,1,50,28,2017,"Saptari","Control",0,45,"WHEAT"
"C009006002",47,"Vegetables","Winter",8,11,5,2,1,3,5,1,60,15,2017,"Saptari","Control",0,15,"POTATO"
