"household_questionnaire_id","season","total_ownland_cultivated","total_land_lease_sharecrop_in","land_lease_sharecrop_out","own_land_fallow","total_land_cultivated","irrigated_out_of_tot_land_cult","year","district","TreatmentControl","TC","total_land_cultivated_year","land_for_cultivation","season_detail"
"T102007004","Monsoon",10,0,60,0,10,10,2017,"Saptari","Control",0,30,70,"MONSOON 2073"
"T102007004","Winter",10,0,60,0,10,10,2017,"Saptari","Control",0,30,70,"WINTER 2073"
"T102007004","Summer",10,0,0,60,10,0,2017,"Saptari","Control",0,30,70,"SUMMER 2074"
"T102007004","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,30,70,"ANNUAL 2073-74"
"T108803015","Monsoon",80,0,0,0,80,80,2017,"Saptari","Control",0,130,80,"MONSOON 2073"
"T108803015","Winter",40,0,0,40,40,40,2017,"Saptari","Control",0,130,80,"WINTER 2073"
"T108803015","Summer",10,0,0,70,10,10,2017,"Saptari","Control",0,130,80,"SUMMER 2074"
"T108803015","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,130,80,"ANNUAL 2073-74"
"C009006001","Monsoon",30,0,0,0,30,30,2017,"Saptari","Control",0,55,30,"MONSOON 2073"
"C009006001","Winter",20,0,0,10,20,20,2017,"Saptari","Control",0,55,30,"WINTER 2073"
"C009006001","Summer",5,0,0,25,5,5,2017,"Saptari","Control",0,55,30,"SUMMER 2074"
"C009006001","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,55,30,"ANNUAL 2073-74"
"T106006001","Monsoon",0,0,100,0,0,0,2017,"Saptari","Control",0,0,100,"MONSOON 2073"
"T106006001","Winter",0,0,100,0,0,0,2017,"Saptari","Control",0,0,100,"WINTER 2073"
"T106006001","Summer",0,0,0,100,0,0,2017,"Saptari","Control",0,0,100,"SUMMER 2074"
"T106006001","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,0,100,"ANNUAL 2073-74"
"T107609001","Monsoon",0,0,60,0,0,0,2017,"Saptari","Control",0,0,60,"MONSOON 2073"
"T107609001","Winter",0,0,60,0,0,0,2017,"Saptari","Control",0,0,60,"WINTER 2073"
"T107609001","Summer",0,0,0,60,0,0,2017,"Saptari","Control",0,0,60,"SUMMER 2074"
"T107609001","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,0,60,"ANNUAL 2073-74"
"T108808014","Monsoon",50,0,0,0,50,50,2017,"Saptari","Control",0,70,50,"MONSOON 2073"
"T108808014","Winter",20,0,0,30,20,20,2017,"Saptari","Control",0,70,50,"WINTER 2073"
"T108808014","Summer",0,0,0,50,0,0,2017,"Saptari","Control",0,70,50,"SUMMER 2074"
"T108808014","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,70,50,"ANNUAL 2073-74"
"C001701002","Monsoon",40,0,0,0,40,40,2017,"Saptari","Control",0,85,40,"MONSOON 2073"
"C001701002","Winter",40,0,0,0,40,40,2017,"Saptari","Control",0,85,40,"WINTER 2073"
"C001701002","Summer",5,0,0,35,5,0,2017,"Saptari","Control",0,85,40,"SUMMER 2074"
"C001701002","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,85,40,"ANNUAL 2073-74"
"C008508001","Monsoon",20,0,10,0,20,20,2017,"Saptari","Control",0,45,30,"MONSOON 2073"
"C008508001","Winter",20,0,10,0,20,20,2017,"Saptari","Control",0,45,30,"WINTER 2073"
"C008508001","Summer",5,0,0,25,5,5,2017,"Saptari","Control",0,45,30,"SUMMER 2074"
"C008508001","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,45,30,"ANNUAL 2073-74"
"T107104001","Monsoon",10,0,100,0,10,10,2017,"Saptari","Control",0,30,110,"MONSOON 2073"
"T107104001","Winter",10,0,60,40,10,10,2017,"Saptari","Control",0,30,110,"WINTER 2073"
"T107104001","Summer",10,0,0,100,10,0,2017,"Saptari","Control",0,30,110,"SUMMER 2074"
"T107104001","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,30,110,"ANNUAL 2073-74"
"T102009002","Monsoon",54,0,0,0,54,54,2017,"Saptari","Control",0,84,54,"MONSOON 2073"
"T102009002","Winter",20,0,0,34,20,20,2017,"Saptari","Control",0,84,54,"WINTER 2073"
"T102009002","Summer",10,0,0,44,10,10,2017,"Saptari","Control",0,84,54,"SUMMER 2074"
"T102009002","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,84,54,"ANNUAL 2073-74"
"T102007003","Monsoon",17,0,0,0,17,17,2017,"Saptari","Control",0,24,17,"MONSOON 2073"
"T102007003","Winter",7,0,0,10,7,7,2017,"Saptari","Control",0,24,17,"WINTER 2073"
"T102007003","Summer",0,0,0,0,0,0,2017,"Saptari","Control",0,24,17,"SUMMER 2074"
"T102007003","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,24,17,"ANNUAL 2073-74"
"T106006002","Monsoon",0,0,60,0,0,0,2017,"Saptari","Control",0,0,60,"MONSOON 2073"
"T106006002","Winter",0,0,60,0,0,0,2017,"Saptari","Control",0,0,60,"WINTER 2073"
"T106006002","Summer",0,0,0,60,0,0,2017,"Saptari","Control",0,0,60,"SUMMER 2074"
"T106006002","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,0,60,"ANNUAL 2073-74"
"C009006002","Monsoon",35,0,0,0,35,35,2017,"Saptari","Control",0,62,35,"MONSOON 2073"
"C009006002","Winter",20,0,0,15,20,20,2017,"Saptari","Control",0,62,35,"WINTER 2073"
"C009006002","Summer",7,0,0,28,7,7,2017,"Saptari","Control",0,62,35,"SUMMER 2074"
"C009006002","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,62,35,"ANNUAL 2073-74"
"T211002001","Monsoon",5,30,0,0,35,35,2017,"Saptari","Control",0,65,5,"MONSOON 2073"
"T211002001","Winter",5,20,0,0,25,25,2017,"Saptari","Control",0,65,5,"WINTER 2073"
"T211002001","Summer",5,0,0,0,5,0,2017,"Saptari","Control",0,65,5,"SUMMER 2074"
"T211002001","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,65,5,"ANNUAL 2073-74"
"T107605005","Monsoon",20,0,0,0,20,20,2017,"Saptari","Control",0,35,20,"MONSOON 2073"
"T107605005","Winter",15,0,0,5,15,15,2017,"Saptari","Control",0,35,20,"WINTER 2073"
"T107605005","Summer",0,0,0,20,0,0,2017,"Saptari","Control",0,35,20,"SUMMER 2074"
"T107605005","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,35,20,"ANNUAL 2073-74"
"C009006003","Monsoon",40,0,0,0,40,40,2017,"Saptari","Control",0,60,40,"MONSOON 2073"
"C009006003","Winter",20,0,0,20,20,20,2017,"Saptari","Control",0,60,40,"WINTER 2073"
"C009006003","Summer",0,0,0,40,0,0,2017,"Saptari","Control",0,60,40,"SUMMER 2074"
"C009006003","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,60,40,"ANNUAL 2073-74"
"T107104002","Monsoon",50,0,0,0,50,50,2017,"Saptari","Control",0,65,50,"MONSOON 2073"
"T107104002","Winter",15,0,0,35,15,15,2017,"Saptari","Control",0,65,50,"WINTER 2073"
"T107104002","Summer",0,0,0,50,0,0,2017,"Saptari","Control",0,65,50,"SUMMER 2074"
"T107104002","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,65,50,"ANNUAL 2073-74"
"T102007001","Monsoon",160,0,40,0,160,160,2017,"Saptari","Treatment",1,230,200,"MONSOON 2073"
"T102007001","Winter",60,0,40,100,60,60,2017,"Saptari","Treatment",1,230,200,"WINTER 2073"
"T102007001","Summer",10,0,0,190,10,10,2017,"Saptari","Treatment",1,230,200,"SUMMER 2074"
"T102007001","Annual",0,0,0,0,0,0,2017,"Saptari","Treatment",1,230,200,"ANNUAL 2073-74"
"T104305001","Monsoon",20,0,0,0,20,20,2017,"Saptari","Control",0,40,20,"MONSOON 2073"
"T104305001","Winter",20,0,0,0,20,20,2017,"Saptari","Control",0,40,20,"WINTER 2073"
"T104305001","Summer",0,0,0,20,0,0,2017,"Saptari","Control",0,40,20,"SUMMER 2074"
"T104305001","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,40,20,"ANNUAL 2073-74"
"T110505001","Monsoon",40,0,20,0,40,40,2017,"Saptari","Treatment",1,93,60,"MONSOON 2073"
"T110505001","Winter",40,0,20,0,40,40,2017,"Saptari","Treatment",1,93,60,"WINTER 2073"
"T110505001","Summer",13,0,20,27,13,10,2017,"Saptari","Treatment",1,93,60,"SUMMER 2074"
"T110505001","Annual",0,0,0,0,0,0,2017,"Saptari","Treatment",1,93,60,"ANNUAL 2073-74"
"T109202002","Monsoon",50,0,30,0,50,50,2017,"Saptari","Control",0,120,80,"MONSOON 2073"
"T109202002","Winter",50,0,30,0,50,50,2017,"Saptari","Control",0,120,80,"WINTER 2073"
"T109202002","Summer",20,0,60,0,20,20,2017,"Saptari","Control",0,120,80,"SUMMER 2074"
"T109202002","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,120,80,"ANNUAL 2073-74"
"T203907006","Monsoon",20,0,0,0,20,20,2017,"Saptari","Control",0,50,20,"MONSOON 2073"
"T203907006","Winter",20,0,0,0,20,20,2017,"Saptari","Control",0,50,20,"WINTER 2073"
"T203907006","Summer",10,0,0,10,10,10,2017,"Saptari","Control",0,50,20,"SUMMER 2074"
"T203907006","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,50,20,"ANNUAL 2073-74"
"T210703008","Monsoon",15,0,0,0,15,15,2017,"Saptari","Control",0,45,15,"MONSOON 2073"
"T210703008","Winter",15,0,0,0,15,15,2017,"Saptari","Control",0,45,15,"WINTER 2073"
"T210703008","Summer",15,0,0,0,15,15,2017,"Saptari","Control",0,45,15,"SUMMER 2074"
"T210703008","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,45,15,"ANNUAL 2073-74"
"T110502004","Monsoon",35,0,0,0,35,35,2017,"Saptari","Control",0,45,35,"MONSOON 2073"
"T110502004","Winter",10,0,5,20,10,10,2017,"Saptari","Control",0,45,35,"WINTER 2073"
"T110502004","Summer",0,0,10,25,0,0,2017,"Saptari","Control",0,45,35,"SUMMER 2074"
"T110502004","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,45,35,"ANNUAL 2073-74"
"T204807001","Monsoon",60,0,0,0,60,60,2017,"Saptari","Control",0,100,60,"MONSOON 2073"
"T204807001","Winter",30,0,20,10,30,30,2017,"Saptari","Control",0,100,60,"WINTER 2073"
"T204807001","Summer",10,0,0,50,10,10,2017,"Saptari","Control",0,100,60,"SUMMER 2074"
"T204807001","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,100,60,"ANNUAL 2073-74"
"T103209004","Monsoon",6,0,0,0,6,6,2017,"Saptari","Control",0,18,6,"MONSOON 2073"
"T103209004","Winter",6,0,0,0,6,6,2017,"Saptari","Control",0,18,6,"WINTER 2073"
"T103209004","Summer",6,0,0,0,6,6,2017,"Saptari","Control",0,18,6,"SUMMER 2074"
"T103209004","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,18,6,"ANNUAL 2073-74"
"C001401001","Monsoon",15,0,35,0,15,15,2017,"Saptari","Control",0,45,50,"MONSOON 2073"
"C001401001","Winter",15,0,35,0,15,15,2017,"Saptari","Control",0,45,50,"WINTER 2073"
