"household_questionnaire_id","homestead_dwelling_area","land_for_cultivation","land_for_aquaculture_ponds","perm_fallow_land","orchard_land","total_property","land_owned_women","landarea_women","who_owns_it","since_when_month","since_when_year","reason_transfer","woman_homestead","woman_perm_fallow_land","woman_aquaculture_ponds","woman_orchard","woman_land_cultivation","how_many_agricultural_plots","plot_size_pl1_bore_a","plot_size_pl2_bore_b","plot_size_pl3_bore_c","type_pump_pl1_bore_a","type_pump_pl2_bore_b","type_pump_pl3_bore_c","pump_fixed_pl1_bore_a","pump_fixed_pl2_bore_b","pump_fixed_pl3_bore_c","cropecon_plot_pl1_bore_a","cropecon_plot_pl2_bore_b","cropecon_plot_pl3_bore_c","five_years_back_totalland","mode_of_pay_lease","if_fixed_leaserate_per_katha","if_share_of_produce_prop1","if_share_of_produce_prop2","year","district","TreatmentControl","TC"
"T102007004",1,70,0,0,2.5,73.5,1,70,2,5,2055,"PAY LESS TAX",0,0,0,0,70,NA,20,11,6,2,1,2,2,2,2,1,1,1,73.5,2,0,40,60,2017,"Saptari","Control",0
"T108803015",5,80,1.5,1.5,10,98,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,9,30,11,NA,1,1,NA,2,2,NA,1,2,NA,98,NA,NA,NA,0,2017,"Saptari","Control",0
"C009006001",5,30,0,0,0,35,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,6,5,3,2,1,1,1,2,2,2,1,1,1,35,NA,NA,NA,NA,2017,"Saptari","Control",0
"T106006001",5,100,0,0,5,110,1,15,2,4,2067,"PART OF FAMILY",0,0,0,0,15,7,20,15,13,NA,NA,NA,NA,NA,NA,1,1,1,110,2,0,50,50,2017,"Saptari","Control",0
"T107609001",7,60,0,1,4,72,1,30,2,7,2059,"PART OF FAMILY",0,0,0,0,30,13,5,1.5,1,1,1,1,2,2,2,1,1,1,72,2,0,50,50,2017,"Saptari","Control",0
"T108808014",2,50,0,0,30,82,1,82,2,3,2062,"PART OF FAMILY",2,0,0,30,50,4,30,14,NA,1,1,NA,2,2,NA,1,2,NA,75,NA,NA,NA,NA,2017,"Saptari","Control",0
"C001701002",2,40,0,0,0,42,1,24,2,9,2046,"",0,0,0,0,24,4,24,7,NA,5,5,NA,2,2,NA,1,2,NA,42,NA,NA,NA,NA,2017,"Saptari","Control",0
"C008508001",3,30,0,2,3,38,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,7,8,2,NA,2,2,NA,2,2,NA,1,2,NA,38,2,0,50,50,2017,"Saptari","Control",0
"T107104001",2,110,0,4,3,119,1,30,2,7,30,"",0,0,0,0,30,5,34,30,4,3,1,1,2,2,2,1,1,1,126,2,0,50,50,2017,"Saptari","Control",0
"T102009002",1,54,0,0,5,60,1,1,2,3,2068,"BOUGHT NEW LAND IN WOMANS NAME BECAUSE THEY HAVE TO PAY LESS TAX",0,0,0,1,0,NA,20,10,1,1,1,1,2,2,2,1,1,1,60,NA,NA,NA,NA,2017,"Saptari","Control",0
"T102007003",4,17,0,0,2,23,1,4,1,2,2067,"PAY LESS TAX",4,0,0,0,0,5,3,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,23,NA,NA,NA,NA,2017,"Saptari","Control",0
