"District","HH ID","Annual 2017-2018","Annual 2018-2019","Annual 2019-2020","Monsoon 2015-2016","Monsoon 2016-2017","Monsoon 2017-2018","Monsoon 2018-2019","Monsoon 2019-2020","Summer 2015-2016","Summer 2016-2017","Summer 2017-2018","Summer 2018-2019","Winter 2015-2016","Winter 2016-2017","Winter 2017-2018","Winter 2018-2019","winter 2019-2020","Winter 2019-2020","<NA>","aqua_17_18","aqua_18_19","aqua_19_20","fish_farming","district","2017_2018","2018_2019","extra_2019_2020"
"Bara","T300307001",NA,2345.33,524.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2345.33,524.4,1,"RSB",NA,2345.33,524.4
"Bara","T300608006",NA,NA,NA,NA,NA,NA,53.42,41.25,NA,NA,NA,6.25,NA,NA,NA,25.73,NA,NA,NA,NA,NA,NA,NA,"RSB",NA,85.4,47.5
"Bara","T300608033",NA,2141.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2141.92,NA,1,"RSB",NA,2141.92,NA
"Bara","T302602009",NA,112.67,NA,NA,NA,NA,529,NA,NA,NA,NA,801.27,NA,NA,NA,25.17,NA,NA,NA,NA,112.67,NA,1,"RSB",NA,1468.11,801.27
"Bara","T302603034",NA,NA,NA,NA,NA,NA,43.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSB",NA,43.03,NA
"Bara","T303007001",NA,1309.43,79.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1309.43,79.33,1,"RSB",NA,1309.43,79.33
"Bara","T305602003",NA,NA,NA,NA,NA,NA,42.85,130.92,NA,NA,4,5.32,NA,NA,NA,56.43,NA,NA,NA,NA,NA,NA,NA,"RSB",NA,104.6,136.24
"Bara","T305607002",NA,1527.43,345.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1527.43,345.48,1,"RSB",NA,1527.43,345.48
"Bara","T305607004",NA,212.63,NA,NA,NA,NA,702.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212.63,NA,1,"RSB",NA,915.46,NA
"Bara","T305607005",NA,734.87,NA,NA,NA,NA,83.5,NA,NA,NA,NA,19.48,NA,NA,NA,25.67,NA,NA,NA,NA,734.87,NA,1,"RSB",NA,863.52,19.48
"Bara","T306004001",NA,NA,NA,NA,NA,NA,363.27,NA,NA,NA,NA,506.37,NA,NA,NA,8.18,NA,NA,NA,NA,NA,NA,NA,"RSB",NA,877.82,506.37
"Bara","T306102001",NA,2056.53,657.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2056.53,657.67,1,"RSB",NA,2056.53,657.67
"Bara","T306102002",NA,NA,NA,NA,NA,NA,427.77,331.3,NA,NA,NA,10.1,NA,NA,NA,38.22,11.92,18.42,NA,NA,NA,NA,NA,"RSB",NA,476.09,371.74
"Bara","T308703001",NA,NA,NA,NA,NA,NA,310.73,NA,NA,NA,NA,331.32,NA,NA,NA,9.02,18.17,20.33,NA,NA,NA,NA,NA,"RSB",NA,651.07,369.82
"Bara","T308705001",NA,766.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,766.72,NA,1,"RSB",NA,766.72,NA
"Bara","T308707002",NA,1629.8,677.93,NA,NA,NA,154.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1629.8,677.93,1,"RSB",NA,1784.58,677.93
"Bara","T309306012",NA,1707.8,NA,NA,NA,NA,54.92,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,1707.8,NA,1,"RSB",NA,1768.42,NA
"Rautahat","T300406089",NA,21,NA,NA,NA,NA,313.4,NA,NA,NA,NA,926.88,NA,NA,NA,41.05,NA,NA,NA,NA,NA,NA,NA,"RSB",NA,1302.33,926.88
"Rautahat","T300406135",NA,20,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,1,"RSB",NA,50,NA
"Rautahat","T300901091",NA,NA,NA,NA,NA,NA,191.52,138.63,NA,NA,NA,19.9,NA,NA,NA,51.85,NA,NA,NA,NA,NA,NA,NA,"RSB",NA,263.27,158.53
"Rautahat","T300901113",NA,NA,NA,NA,NA,NA,27.5,NA,NA,NA,NA,5.82,NA,NA,NA,9.83,NA,NA,NA,NA,NA,NA,NA,"RSB",NA,43.15,5.82
"Rautahat","T302806050",NA,NA,NA,NA,NA,NA,35.42,NA,NA,NA,NA,NA,NA,NA,NA,10.22,NA,148.52,98.27,NA,NA,NA,NA,"RSB",NA,45.64,148.52
"Rautahat","T304802030",NA,NA,NA,NA,NA,NA,181.13,106.42,NA,NA,NA,203.48,NA,NA,NA,44.67,NA,NA,NA,NA,NA,NA,NA,"RSB",NA,429.28,309.9
"Rautahat","T304802122",NA,NA,NA,NA,NA,NA,265,190.83,NA,NA,NA,32.82,NA,NA,NA,48.5,5.5,NA,NA,NA,NA,NA,NA,"RSB",NA,346.32,229.15
"Rautahat","T305001120",NA,712.88,NA,NA,NA,NA,313.23,NA,NA,NA,NA,87.5,NA,NA,NA,19.03,NA,NA,97.6,NA,NA,NA,NA,"RSB",NA,1132.64,87.5
"Rautahat","T309708020",NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,1,"RSB",NA,85,NA
"Saptari","A0110402001",NA,NA,NA,26.5,33,NA,3.92,NA,25.5,56,NA,37.25,230.58,161,NA,34.25,NA,24.17,NA,NA,NA,NA,NA,"Saptari",NA,75.42,61.42
"Saptari","A104507035",NA,NA,NA,105.92,98.43,142,201.52,118.67,176.12,123.42,140.42,88.75,164.18,223.3,188.88,247.92,NA,30.5,24,NA,NA,NA,NA,"Saptari",471.3,538.19,237.92
"Saptari","E0104705010",NA,NA,NA,14.23,195,NA,NA,NA,160.82,NA,83.08,NA,42.87,219.83,88,NA,NA,NA,NA,NA,NA,NA,NA,"Saptari",171.08,NA,NA
"Saptari","T100503002",NA,NA,NA,NA,NA,270.33,145.73,227.33,NA,15.67,NA,NA,NA,19.5,117.67,115.42,NA,NA,0.5,NA,NA,NA,NA,"Saptari",388,261.15,227.33
"Saptari","T102007001",61.17,NA,NA,NA,NA,106.85,644.33,280.52,NA,157.92,225.18,58.67,NA,NA,75.4,56.82,NA,NA,NA,NA,NA,NA,NA,"Saptari",468.6,759.82,339.19
"Saptari","T103204001",100.03,2137.58,1444.65,NA,NA,179.25,NA,NA,NA,103.48,140.25,73.58,NA,NA,161.72,73.52,NA,NA,106.27,100.03,2137.58,1444.65,1,"Saptari",581.25,2284.68,1518.23
"Saptari","T104209001",313.7,1546.83,687.25,NA,NA,53.58,137.67,NA,NA,22,NA,NA,NA,NA,22,NA,NA,NA,31.33,313.7,1546.83,687.25,1,"Saptari",389.28,1684.5,687.25
"Saptari","T106605002",NA,NA,NA,NA,NA,151.5,233.12,347.83,NA,179.83,33.83,118.9,NA,30,138.45,178.43,NA,NA,22,NA,NA,NA,NA,"Saptari",323.78,530.45,466.73
"Saptari","T109203001",NA,198.05,75.88,NA,NA,193.8,277.98,421.1,NA,257.62,300.68,170.95,NA,10.5,52.43,44.25,NA,32.48,24.33,NA,198.05,75.88,1,"Saptari",546.91,691.23,700.41
"Saptari","T109205004",NA,NA,NA,NA,NA,95.17,220.08,286.5,NA,193,515.83,404.48,NA,14,171.08,164.65,NA,NA,24.03,NA,NA,NA,NA,"Saptari",782.08,789.21,690.98
"Saptari","T109902001",NA,187.38,NA,NA,NA,27.58,205.75,53.42,NA,44.93,127.62,36.25,NA,NA,47.13,25.7,NA,NA,0.5,NA,187.38,NA,1,"Saptari",202.33,455.08,89.67
"Saptari","T109902002",NA,NA,NA,NA,NA,NA,NA,39.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,"Saptari",NA,NA,48.5
"Saptari","T110505001",433.12,71.48,63.17,NA,NA,319.17,350.83,329.3,NA,125.25,285.47,62.65,NA,NA,235.77,86.92,NA,NA,82.7,319.87,71.48,63.17,1,"Saptari",1273.53,571.88,455.12
"Saptari","T200103002",1893.98,6786.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1893.98,6786.7,0.7,1,"Saptari",1893.98,6786.7,0.7
"Saptari","T203901002",95,128,NA,NA,NA,86.38,40.37,NA,NA,NA,58.92,NA,NA,NA,NA,NA,NA,NA,5,95,128,NA,1,"Saptari",240.3,168.37,NA
"Saptari","T203908001",NA,NA,NA,NA,NA,284.62,425.73,826.9,NA,523.85,266.63,410.07,NA,16,150.68,164.95,NA,NA,NA,NA,NA,NA,NA,"Saptari",701.93,1000.75,1236.97
"Saptari","T205105003",NA,NA,NA,NA,NA,348.5,152.75,174.75,NA,155.7,90.42,143.92,NA,6,432.02,223.17,NA,NA,23.75,NA,NA,NA,NA,"Saptari",870.94,519.84,318.67
"Saptari","T210101002",113.33,28.67,27.5,NA,NA,339.47,193.62,NA,NA,7.5,78.23,209.83,NA,NA,NA,11.5,NA,NA,NA,113.33,28.67,27.5,1,"Saptari",531.03,443.62,237.33
"Saptari","T210408001",1381.53,1111.22,931.53,NA,NA,NA,NA,NA,NA,60.67,516.48,NA,NA,7.67,NA,NA,NA,NA,NA,1381.53,1111.22,931.53,1,"Saptari",1898.01,1111.22,931.53
"Saptari","T210701004",NA,NA,NA,NA,NA,86.3,NA,NA,NA,148.23,NA,NA,NA,NA,20.42,NA,NA,NA,NA,NA,NA,NA,NA,"Saptari",106.72,NA,NA
"Saptari","T210708002",315.38,925.7,95.32,NA,NA,127.75,154.48,NA,NA,364.2,497.93,534.92,NA,NA,41.85,111.67,NA,NA,NA,315.38,925.7,956,1,"Saptari",982.91,1726.77,630.24
"Saptari","T210709001",NA,1116.22,NA,NA,NA,71,187.9,154.25,NA,NA,339.72,228.8,NA,NA,133.67,20.62,NA,NA,9.35,NA,1116.22,NA,1,"Saptari",544.39,1553.54,383.05
"Saptari","T210709003",NA,NA,NA,NA,NA,60.33,399.68,459.37,NA,250.42,437.08,402.95,NA,2,178.33,133.33,NA,12,NA,NA,NA,NA,NA,"Saptari",675.74,935.96,874.32
"Saptari","T210904001",500.43,509.13,158.33,NA,NA,203.92,320.5,246.52,NA,0,76.97,140.85,NA,NA,70.38,56,NA,NA,NA,500.43,509.13,158.33,1,"Saptari",851.7,1026.48,545.7
"Sarlahi","T300508099",NA,2921.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2824.93,NA,1,"RSB",NA,2921.45,NA
"Sarlahi","T301911010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.05,NA,NA,701,NA,NA,NA,NA,"RSB",NA,122.05,NA
"Sarlahi","T305519001",NA,220.33,NA,NA,NA,NA,21,NA,NA,NA,NA,45.1,NA,NA,NA,NA,NA,NA,NA,NA,220.33,NA,1,"RSB",NA,286.43,45.1
