"household_questionnaire_id","type_of_crop","name_of_crop","season_of_crop","when_is_crop_sowed","when_is_crop_harvested","cult_area_under_crop","most_imp_source","hrs_irr_1katha","no_of_irrigation_for_1_katha","what_was_your_total_harvest","unit_harvest","percent_for_selling","price_per_kg","year","district","TreatmentControl","TC","irri_for_season","name_of_crop_detail"
"T102007004",47,"Vegetables","Winter",8,11,2,2,1,1,10,1,0,0,2017,"Saptari","Control",0,2,"POTATO"
"T102007004",53,"Vegetables","Summer",9,12,2,2,1,5,20,3,0,0,2017,"Saptari","Control",0,10,"ONIONS"
"T102007004",10,"Vegetables","Summer",10,NA,2,2,1,5,50,3,0,0,2017,"Saptari","Control",0,10,"OKRA"
"T108803015",47,"Vegetables","Winter",8,11,5,2,1,2,15,1,50,17,2017,"Saptari","Control",0,10,"POTATO"
"T108803015",44,"Vegetables","Winter",8,11,2,2,1,10,3,1,50,40,2017,"Saptari","Control",0,20,"CAULIFLOWER"
"T108803015",45,"Vegetables","Winter",8,12,1,2,1,8,4,1,75,30,2017,"Saptari","Control",0,8,"CABBAGE"
"T108803015",7,"Vegetables","Winter",8,NA,1,2,1,10,4,1,75,30,2017,"Saptari","Control",0,10,"TOMATO"
"T108803015",10,"Vegetables","Winter",8,NA,1,2,1,5,30,3,50,25,2017,"Saptari","Control",0,5,"OKRA"
"C009006001",47,"Vegetables","Winter",8,11,2,2,1,1,15,1,50,15,2017,"Saptari","Control",0,2,"POTATO"
"T108808014",47,"Vegetables","Winter",8,11,2,2,1,2,13,1,50,15,2017,"Saptari","Control",0,4,"POTATO"
"C001701002",47,"Vegetables","Winter",8,11,3,2,1,2,12,1,50,15,2017,"Saptari","Control",0,6,"POTATO"
"C001701002",21,"Vegetables","Winter",8,11,3,2,1,1,10,3,0,0,2017,"Saptari","Control",0,3,"GREEN PEA"
"C008508001",21,"Vegetables","Winter",8,12,5,1,0.5,0,20,3,50,125,2017,"Saptari","Control",0,0,"GREEN PEA"
"C008508001",47,"Vegetables","Winter",8,11,2,2,0.5,2,15,1,50,14,2017,"Saptari","Control",0,2,"POTATO"
"T107104001",47,"Vegetables","Winter",8,12,3,2,1,2,15,1,75,15,2017,"Saptari","Control",0,6,"POTATO"
"T107104001",11,"Vegetables","Winter",8,NA,1,2,1,5,125,3,75,125,2017,"Saptari","Control",0,5,"CHILLIES"
"T107104001",10,"Vegetables","Winter",11,NA,1,2,1,5,50,3,0,0,2017,"Saptari","Control",0,5,"OKRA"
"T102009002",47,"Vegetables","Winter",8,11,5,2,1,3,10,1,75,25,2017,"Saptari","Control",0,15,"POTATO"
"T102009002",44,"Vegetables","Winter",8,10,3,2,1,5,20,1,95,40,2017,"Saptari","Control",0,15,"CAULIFLOWER"
"T102009002",45,"Vegetables","Winter",8,11,2,2,1,4,25,1,95,30,2017,"Saptari","Control",0,8,"CABBAGE"
"T102007003",47,"Vegetables","Winter",8,11,2,2,1,2,5,1,50,15,2017,"Saptari","Control",0,4,"POTATO"
"C009006002",47,"Vegetables","Winter",8,11,5,2,1,3,5,1,60,15,2017,"Saptari","Control",0,15,"POTATO"
"C009006003",47,"Vegetables","Winter",8,11,5,2,0.5,2,7,1,25,15,2017,"Saptari","Control",0,5,"POTATO"
"T102007001",47,"Vegetables","Winter",8,11,10,2,1,3,5,1,75,20,2017,"Saptari","Treatment",1,30,"POTATO"
"T104305001",53,"Vegetables","Winter",8,1,4,2,2,5,1,4,15,12,2017,"Saptari","Control",0,40,"ONIONS"
"T104305001",47,"Vegetables","Winter",8,11,4,2,2,5,2,1,25,8,2017,"Saptari","Control",0,40,"POTATO"
"T110505001",12,"Vegetables","Summer",3,11,5,2,2,4,0,NA,40,8,2017,"Saptari","Treatment",1,40,"CUCUMBER"
"T109202002",47,"Vegetables","Winter",8,11,6,2,1.5,4,12,1,70,10,2017,"Saptari","Control",0,36,"POTATO"
"T203907006",47,"Vegetables","Winter",7,9,3,2,2,2,14,1,70,14,2017,"Saptari","Control",0,12,"POTATO"
"T203907006",53,"Vegetables","Winter",8,12,2,2,2,6,1,1,80,12,2017,"Saptari","Control",0,24,"ONIONS"
"T210703008",47,"Vegetables","Winter",7,10,3,2,2,4,12,1,70,10,2017,"Saptari","Control",0,24,"POTATO"
"T210703008",12,"Vegetables","Summer",11,3,5,2,1,4,0,NA,70,10,2017,"Saptari","Control",0,20,"CUCUMBER"
"T204807001",12,"Vegetables","Summer",11,2,2,2,0.5,4,0,NA,50,8,2017,"Saptari","Control",0,4,"CUCUMBER"
"C001401001",53,"Vegetables","Winter",9,1,2,2,2,5,1,1,40,12,2017,"Saptari","Control",0,20,"ONIONS"
"C001401001",47,"Vegetables","Winter",7,11,5,2,2,4,9,1,70,10,2017,"Saptari","Control",0,40,"POTATO"
"T210709003",47,"Vegetables","Winter",8,11,10,2,2,4,10,1,45,10,2017,"Saptari","Treatment",1,80,"POTATO"
"T109205004",53,"Vegetables","Winter",7,1,10,2,2,6,5,1,50,12,2017,"Saptari","Treatment",1,120,"ONIONS"
"T109205004",12,"Vegetables","Winter",7,1,3,2,2,4,0,NA,75,8,2017,"Saptari","Treatment",1,24,"CUCUMBER"
"T109205004",11,"Vegetables","Winter",7,1,2,2,2,3,0,NA,50,12,2017,"Saptari","Treatment",1,12,"CHILLIES"
"T109203003",47,"Vegetables","Winter",7,9,3,2,2,4,13,1,50,15,2017,"Saptari","Control",0,24,"POTATO"
"T210405002",47,"Vegetables","Winter",8,12,5,2,1,5,13,1,70,10,2017,"Saptari","Control",0,25,"POTATO"
"T203900307",47,"Vegetables","Winter",7,9,5,2,2,2,5,1,50,23,2017,"Saptari","Control",0,20,"POTATO"
"T106604005",21,"Vegetables","Winter",7,12,2,2,2,1,15,3,50,65,2017,"Saptari","Control",0,4,"GREEN PEA"
