"year","district","household_questionnaire_id","days_in_a_season_pump_use_s_p1","hours_per_day_use_s__p_1","days_in_a_season_pump_use_s_p2","hours_per_day_use_s__p_2","days_in_a_season_pump_use_s_p3","hours_per_day_use_s__p_3","days_in_a_season_pump_use_m_p1","hours_per_day_use_m__p_1","days_in_a_season_pump_use_m_p2","hours_per_day_use_m__p_2","days_in_a_season_pump_use_m_p3","hours_per_day_use_m__p_3","days_in_a_season_pump_use_w_p1","hours_per_day_use_w__p_1","days_in_a_season_pump_use_w_p2","hours_per_day_use_w__p_2","days_in_a_season_pump_use_w_p3","hours_per_day_use_w__p_3","TreatmentControl","TC","ps1","ps2","ps3","pm1","pm2","pm3","pw1","pw2","pw3","Summer_hr","Monsoon_hr","Winter_hr","Yearly_hr","p1_hr","p2_hr","p3_hr","days_monsoon","days_winter","days_summer","days_year","days_p1","days_p2","days_p3"
2017,"Saptari","T102007004",4,5,NA,NA,NA,NA,3,6,NA,NA,NA,NA,NA,NA,NA,NA,8,4,"Control",NA,20,NA,NA,18,NA,NA,NA,NA,32,20,18,32,70,38,NA,32,3,8,4,15,7,NA,8
2017,"Saptari","T108803015",20,8,NA,NA,NA,NA,15,10,NA,NA,NA,NA,5,2,NA,NA,NA,NA,"Control",NA,160,NA,NA,150,NA,NA,10,NA,NA,160,150,10,320,320,NA,NA,15,5,20,40,40,NA,NA
2017,"Saptari","C009006001",10,8,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,80,NA,NA,64,NA,NA,NA,NA,NA,80,64,NA,144,144,NA,NA,8,NA,10,18,18,NA,NA
2017,"Saptari","T106006001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Saptari","T107609001",NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,7,2,NA,NA,NA,NA,"Control",NA,NA,NA,NA,6,NA,NA,14,NA,NA,NA,6,14,20,20,NA,NA,3,7,NA,10,10,NA,NA
2017,"Saptari","T108808014",5,5,10,5,NA,NA,10,5,10,5,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,25,50,NA,50,50,NA,NA,NA,NA,75,100,NA,175,75,100,NA,20,NA,15,35,15,20,NA
2017,"Saptari","C001701002",6,7,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,42,NA,NA,35,NA,NA,NA,NA,NA,42,35,NA,77,77,NA,NA,7,NA,6,13,13,NA,NA
2017,"Saptari","C008508001",4,5,NA,NA,NA,NA,8,8,6,5,NA,NA,NA,NA,5,2,NA,NA,"Control",NA,20,NA,NA,64,30,NA,NA,10,NA,20,94,10,124,84,40,NA,14,5,4,23,12,11,NA
2017,"Saptari","T107104001",10,8,4,3,10,2,5,10,5,2,5,3,10,3,NA,NA,NA,NA,"Control",NA,80,12,20,50,10,15,30,NA,NA,112,75,30,217,160,22,35,15,10,24,49,25,9,15
2017,"Saptari","T102009002",15,6,5,5,NA,NA,10,8,3,4,NA,NA,4,5,NA,NA,NA,NA,"Control",NA,90,25,NA,80,12,NA,20,NA,NA,115,92,20,227,190,37,NA,13,4,20,37,29,8,NA
2017,"Saptari","T102007003",4,8,NA,NA,NA,NA,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,32,NA,NA,18,NA,NA,NA,NA,NA,32,18,NA,50,50,NA,NA,3,NA,4,7,7,NA,NA
2017,"Saptari","T106006002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Saptari","C009006002",5,6,6,4,NA,NA,3,10,4,5,NA,NA,10,8,8,6,NA,NA,"Control",NA,30,24,NA,30,20,NA,80,48,NA,54,50,128,232,140,92,NA,7,18,11,36,18,18,NA
2017,"Saptari","T211002001",8,6,NA,NA,NA,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,48,NA,NA,50,NA,NA,NA,NA,NA,48,50,NA,98,98,NA,NA,5,NA,8,13,13,NA,NA
2017,"Saptari","T107605005",6,7,NA,NA,NA,NA,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,42,NA,NA,32,NA,NA,NA,NA,NA,42,32,NA,74,74,NA,NA,4,NA,6,10,10,NA,NA
2017,"Saptari","C009006003",20,7,NA,NA,NA,NA,11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,140,NA,NA,55,NA,NA,NA,NA,NA,140,55,NA,195,195,NA,NA,11,NA,20,31,31,NA,NA
2017,"Saptari","T107104002",12,8,NA,NA,NA,NA,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,96,NA,NA,30,NA,NA,NA,NA,NA,96,30,NA,126,126,NA,NA,6,NA,12,18,18,NA,NA
2017,"Saptari","T102007001",7,5,5,6,10,8,3,5,5,6,5,5,5,3,NA,NA,NA,NA,"Treatment",1,35,30,80,15,30,25,15,NA,NA,145,70,15,230,65,60,105,13,5,22,40,15,10,15
2017,"Saptari","T104305001",8,8,NA,NA,NA,NA,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,64,NA,NA,150,NA,NA,NA,NA,NA,64,150,NA,214,214,NA,NA,15,NA,8,23,23,NA,NA
2017,"Saptari","T110505001",10,7,5,6,3,9,12,6,5,6,5,12,15,6,NA,NA,NA,NA,"Treatment",1,70,30,27,72,30,60,90,NA,NA,127,162,90,379,232,60,87,22,15,18,55,37,10,8
2017,"Saptari","T109202002",3,5,4,7,3,7,7,8,5,7,12,6,4,7,5,7,6,7,"Control",NA,15,28,21,56,35,72,28,35,42,64,163,105,332,99,98,135,24,15,10,49,14,14,21
2017,"Saptari","T203907006",10,14,NA,NA,NA,NA,27,16,NA,NA,NA,NA,15,9,NA,NA,NA,NA,"Control",NA,140,NA,NA,432,NA,NA,135,NA,NA,140,432,135,707,707,NA,NA,27,15,10,52,52,NA,NA
