"household_questionnaire_id","time_to_irrigate_1_katha__p_1","year","district","p1_s","p2_s","p3_s","p1_m","p2_m","p3_m","p1_w","p2_w","p3_w","p123_s","p123_m","p123_w","p123_year","TreatmentControl","TC"
"T102007004",60,2017,"Saptari",10,NA,NA,9,NA,NA,NA,NA,NA,10,9,NA,19,"Control",NA
"T108803015",60,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"C009006001",60,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T106006001",NA,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T107609001",90,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T108808014",60,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"C001701002",60,2017,"Saptari",42,NA,NA,35,NA,NA,NA,NA,NA,42,35,NA,77,"Control",NA
"C008508001",30,2017,"Saptari",30,NA,NA,96,45,NA,NA,15,NA,30,141,15,186,"Control",NA
"T107104001",60,2017,"Saptari",40,NA,NA,25,NA,NA,15,NA,NA,40,25,15,80,"Control",NA
"T102009002",60,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T102007003",60,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T106006002",NA,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"C009006002",60,2017,"Saptari",30,NA,NA,30,NA,NA,80,NA,NA,30,30,80,140,"Control",NA
"T211002001",60,2017,"Saptari",48,NA,NA,50,NA,NA,NA,NA,NA,48,50,NA,98,"Control",NA
"T107605005",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"C009006003",60,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T107104002",60,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T102007001",120,2017,"Saptari",NA,30,80,NA,30,25,NA,NA,NA,110,55,NA,165,"Treatment",1
"T104305001",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T110505001",120,2017,"Saptari",NA,15,NA,NA,15,NA,NA,NA,NA,15,15,NA,30,"Treatment",1
