"","yearweek","total_killed","q1","q2","date","week0ago","week1ago","week2ago","week3ago","week4ago"
"1","2000-W39",NA,2.39520958083832,2.80239520958084,2000-09-26,0,0,0,0,0
"2","2000-W40",NA,2.60271317829457,3.16666666666667,2000-10-02,0,0,0,0,0
"3","2000-W41",NA,NA,NA,NA,0,0,0,0,0
"4","2000-W42",NA,NA,NA,NA,0,0,0,0,0
"5","2000-W43",NA,NA,NA,NA,0,0,0,0,0
"6","2000-W44",2,2.8852140077821,3.28793774319066,2000-10-29,2,0,0,0,0
"7","2000-W45",NA,NA,NA,NA,0,2,0,0,0
"8","2000-W46",NA,NA,NA,NA,0,0,2,0,0
"9","2000-W47",2,NA,NA,NA,2,0,0,2,0
"10","2000-W48",NA,2.85515873015873,3.19444444444444,2000-11-29,0,2,0,0,2
"11","2000-W49",NA,NA,NA,NA,0,0,2,0,0
"12","2000-W50",NA,NA,NA,NA,0,0,0,2,0
"13","2000-W51",NA,NA,NA,NA,0,0,0,0,2
"14","2000-W52",NA,2.95029821073559,2.57455268389662,2000-12-25,0,0,0,0,0
"15","2000-W53",NA,NA,NA,NA,0,0,0,0,0
"16","2001-W00",NA,NA,NA,NA,0,0,0,0,0
"17","2001-W01",NA,NA,NA,NA,0,0,0,0,0
"18","2001-W02",NA,NA,NA,NA,0,0,0,0,0
"19","2001-W03",NA,NA,NA,NA,0,0,0,0,0
"20","2001-W04",NA,2.97614314115308,3.35188866799205,2001-01-31,0,0,0,0,0
"21","2001-W05",NA,NA,NA,NA,0,0,0,0,0
"22","2001-W06",8,NA,NA,NA,8,0,0,0,0
"23","2001-W07",NA,NA,NA,NA,0,8,0,0,0
"24","2001-W08",1,2.81274900398406,3.31075697211155,2001-02-28,1,0,8,0,0
"25","2001-W09",3,NA,NA,NA,3,1,0,8,0
"26","2001-W10",NA,NA,NA,NA,0,3,1,0,8
"27","2001-W11",NA,NA,NA,NA,0,0,3,1,0
"28","2001-W12",2,3.12992125984252,3.62992125984252,2001-03-29,2,0,0,3,1
"29","2001-W13",1,NA,NA,NA,1,2,0,0,3
"30","2001-W14",NA,NA,NA,NA,0,1,2,0,0
"31","2001-W15",NA,NA,NA,NA,0,0,1,2,0
"32","2001-W16",3,NA,NA,NA,3,0,0,1,2
"33","2001-W17",NA,2.88888888888889,3.54563492063492,2001-04-30,0,3,0,0,1
"34","2001-W18",NA,NA,NA,NA,0,0,3,0,0
"35","2001-W19",5,NA,NA,NA,5,0,0,3,0
"36","2001-W20",NA,NA,NA,NA,0,5,0,0,3
"37","2001-W21",19,3.014,3.668,2001-05-31,19,0,5,0,0
"38","2001-W22",1,NA,NA,NA,1,19,0,5,0
"39","2001-W23",NA,NA,NA,NA,0,1,19,0,5
"40","2001-W24",NA,NA,NA,NA,0,0,1,19,0
"41","2001-W25",NA,3.11683168316832,3.66534653465347,2001-06-26,0,0,0,1,19
"42","2001-W26",1,NA,NA,NA,1,0,0,0,1
"43","2001-W27",NA,NA,NA,NA,0,1,0,0,0
"44","2001-W28",2,NA,NA,NA,2,0,1,0,0
"45","2001-W29",NA,NA,NA,NA,0,2,0,1,0
"46","2001-W30",NA,3.14115308151093,3.62226640159046,2001-07-31,0,0,2,0,1
"47","2001-W31",14,NA,NA,NA,14,0,0,2,0
"48","2001-W32",NA,NA,NA,NA,0,14,0,0,2
"49","2001-W33",NA,NA,NA,NA,0,0,14,0,0
"50","2001-W34",NA,3.37843137254902,3.86666666666667,2001-08-30,0,0,0,14,0
"51","2001-W35",NA,NA,NA,NA,0,0,0,0,14
"52","2001-W36",3,NA,NA,NA,3,0,0,0,0
"53","2001-W37",NA,NA,NA,NA,0,3,0,0,0
"54","2001-W38",1,3.26679841897233,3.95256916996047,2001-09-26,1,0,3,0,0
"55","2001-W39",3,NA,NA,NA,3,1,0,3,0
"56","2001-W40",1,NA,NA,NA,1,3,1,0,3
"57","2001-W41",NA,NA,NA,NA,0,1,3,1,0
"58","2001-W42",NA,NA,NA,NA,0,0,1,3,1
"59","2001-W43",5,3.1547619047619,3.79761904761905,2001-10-31,5,0,0,1,3
"60","2001-W44",NA,NA,NA,NA,0,5,0,0,1
"61","2001-W45",1,NA,NA,NA,1,0,5,0,0
"62","2001-W46",NA,NA,NA,NA,0,1,0,5,0
"63","2001-W47",16,3.03288201160542,3.77369439071567,2001-11-29,16,0,1,0,5
"64","2001-W48",14,NA,NA,NA,14,16,0,1,0
"65","2001-W49",NA,NA,NA,NA,0,14,16,0,1
"66","2001-W50",NA,NA,NA,NA,0,0,14,16,0
"67","2001-W51",NA,NA,NA,NA,0,0,0,14,16
"68","2001-W52",NA,3.14370078740157,3.70472440944882,2001-12-31,0,0,0,0,14
"69","2002-W00",NA,NA,NA,NA,0,0,0,0,0
"70","2002-W01",4,NA,NA,NA,4,0,0,0,0
"71","2002-W02",6,NA,NA,NA,6,4,0,0,0
"72","2002-W03",2,NA,NA,NA,2,6,4,0,0
"73","2002-W04",1,3.19444444444444,3.85912698412698,2002-01-31,1,2,6,4,0
"74","2002-W05",1,NA,NA,NA,1,1,2,6,4
"75","2002-W06",2,NA,NA,NA,2,1,1,2,6
"76","2002-W07",NA,NA,NA,NA,0,2,1,1,2
"77","2002-W08",11,3.140625,3.728515625,2002-02-28,11,0,2,1,1
"78","2002-W09",17,NA,NA,NA,17,11,0,2,1
"79","2002-W10",NA,NA,NA,NA,0,17,11,0,2
"80","2002-W11",11,NA,NA,NA,11,0,17,11,0
"81","2002-W12",31,3.06336633663366,3.67128712871287,2002-03-25,31,11,0,17,11
"82","2002-W13",16,NA,NA,NA,16,31,11,0,17
"83","2002-W14",12,NA,NA,NA,12,16,31,11,0
"84","2002-W15",NA,NA,NA,NA,0,12,16,31,11
"85","2002-W16",NA,3.34262948207171,3.83266932270916,2002-04-25,0,0,12,16,31
"86","2002-W17",NA,NA,NA,NA,0,0,0,12,16
"87","2002-W18",15,NA,NA,NA,15,0,0,0,12
"88","2002-W19",NA,NA,NA,NA,0,15,0,0,0
"89","2002-W20",5,NA,NA,NA,5,0,15,0,0
"90","2002-W21",2,3.29051383399209,3.92094861660079,2002-05-31,2,5,0,15,0
"91","2002-W22",17,NA,NA,NA,17,2,5,0,15
"92","2002-W23",1,NA,NA,NA,1,17,2,5,0
"93","2002-W24",19,NA,NA,NA,19,1,17,2,5
"94","2002-W25",NA,NA,NA,NA,0,19,1,17,2
"95","2002-W26",NA,3.23552894211577,3.66467065868263,2002-06-30,0,0,19,1,17
"96","2002-W27",NA,NA,NA,NA,0,0,0,19,1
"97","2002-W28",2,NA,NA,NA,2,0,0,0,19
"98","2002-W29",NA,NA,NA,NA,0,2,0,0,0
"99","2002-W30",5,3.16699410609037,3.83693516699411,2002-07-31,5,0,2,0,0
"100","2002-W31",7,NA,NA,NA,7,5,0,2,0
"101","2002-W32",NA,NA,NA,NA,0,7,5,0,2
"102","2002-W33",NA,NA,NA,NA,0,0,7,5,0
"103","2002-W34",NA,3.20736434108527,3.80038759689922,2002-08-31,0,0,0,7,5
"104","2002-W35",NA,NA,NA,NA,0,0,0,0,7
"105","2002-W36",NA,NA,NA,NA,0,0,0,0,0
"106","2002-W37",6,NA,NA,NA,6,0,0,0,0
"107","2002-W38",NA,NA,NA,NA,0,6,0,0,0
"108","2002-W39",NA,3.06769825918762,3.65957446808511,2002-09-30,0,0,6,0,0
"109","2002-W40",1,NA,NA,NA,1,0,0,6,0
"110","2002-W41",NA,NA,NA,NA,0,1,0,0,6
"111","2002-W42",13,NA,NA,NA,13,0,1,0,0
"112","2002-W43",NA,2.99407114624506,3.67193675889328,2002-10-30,0,13,0,1,0
"113","2002-W44",2,NA,NA,NA,2,0,13,0,1
