"","yearweek","total_killed","total_events_located_IL","total_events_located_yesha","total_events_target_civilian","total_events_target_security_forces","total_attacks","q1","q2","survey_date","temperature","humidity","week_range","week_number","week0ago","week1ago","week2ago","week3ago","week4ago"
"1","2000-W39",1,0,1,0,1,1,NA,NA,NA,24.14821429,64.71428571,"2000-09-24 UTC--2000-09-30 UTC","week1ago",1,0,0,0,0
"2","2000-W40",4,0,4,2,2,4,2.602713178,3.166666667,"02/10/2000",25.29821429,58.51785714,"2000-10-01 UTC--2000-10-07 UTC","week4ago",4,1,0,0,0
"3","2000-W41",2,0,1,1,0,1,NA,NA,NA,23.57142857,68.46428571,"2000-10-08 UTC--2000-10-14 UTC","week3ago",2,4,1,0,0
"4","2000-W42",1,0,1,1,0,1,NA,NA,NA,21.86607143,71.71428571,"2000-10-15 UTC--2000-10-21 UTC","week2ago",1,2,4,1,0
"5","2000-W43",2,0,2,2,0,2,NA,NA,NA,17.99107143,73.83928571,"2000-10-22 UTC--2000-10-28 UTC","week1ago",2,1,2,4,1
"6","2000-W44",6,1,3,2,2,4,2.885214008,3.287937743,"29/10/2000",18.89285714,72.41071429,"2000-10-29 UTC--2000-11-04 UTC","week4ago",6,2,1,2,4
"7","2000-W45",2,0,2,1,1,2,NA,NA,NA,18.95357143,56.42857143,"2000-11-05 UTC--2000-11-11 UTC","week3ago",2,6,2,1,2
"8","2000-W46",6,0,3,2,1,3,NA,NA,NA,18.1875,56.57142857,"2000-11-12 UTC--2000-11-18 UTC","week2ago",6,2,6,2,1
"9","2000-W47",9,1,6,5,2,7,NA,NA,NA,16.00892857,66.91071429,"2000-11-19 UTC--2000-11-25 UTC","week1ago",9,6,2,6,2
"10","2000-W48",NA,NA,NA,NA,NA,NA,2.85515873,3.194444444,"29/11/2000",16.01428571,68.42857143,NA,"week4ago",0,9,6,2,6
"11","2000-W49",3,0,2,1,1,2,NA,NA,NA,15.43571429,72.17857143,"2000-12-03 UTC--2000-12-09 UTC","week3ago",3,0,9,6,2
"12","2000-W50",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.16964286,78.28571429,NA,"week2ago",0,3,0,9,6
"13","2000-W51",1,0,1,1,0,1,NA,NA,NA,13.75714286,79.76785714,"2000-12-17 UTC--2000-12-23 UTC","week1ago",1,0,3,0,9
"14","2000-W52",2,0,1,0,1,1,2.950298211,2.574552684,"25/12/2000",13.35714286,70.05357143,"2000-12-24 UTC--2000-12-30 UTC","week6ago",2,1,0,3,0
"15","2000-W53",2,0,1,1,0,1,NA,NA,NA,13.6625,62.75,"2000-12-31 UTC--2001-01-06 UTC","week5ago",2,2,1,0,3
"16","2001-W00",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.88333333,81.92857143,NA,"week4ago",0,2,2,1,0
"17","2001-W01",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.44107143,77.64285714,NA,"week3ago",0,0,2,2,1
"18","2001-W02",2,0,2,2,0,2,NA,NA,NA,12.73035714,78.41071429,"2001-01-14 UTC--2001-01-20 UTC","week2ago",2,0,0,2,2
"19","2001-W03",3,0,2,2,0,2,NA,NA,NA,11.58392857,76.91071429,"2001-01-21 UTC--2001-01-27 UTC","week1ago",3,2,0,0,2
"20","2001-W04",3,0,3,3,0,3,2.976143141,3.351888668,"31/01/2001",11.89285714,66.23214286,"2001-01-28 UTC--2001-02-03 UTC","week4ago",3,3,2,0,0
"21","2001-W05",1,0,1,0,1,1,NA,NA,NA,12.43214286,77.46428571,"2001-02-04 UTC--2001-02-10 UTC","week3ago",1,3,3,2,0
"22","2001-W06",10,2,2,3,1,4,NA,NA,NA,13.74642857,71.03571429,"2001-02-11 UTC--2001-02-17 UTC","week2ago",10,1,3,3,2
"23","2001-W07",NA,NA,NA,NA,NA,NA,NA,NA,NA,11.95892857,72.53571429,NA,"week1ago",0,10,1,3,3
"24","2001-W08",1,1,0,1,0,1,2.812749004,3.310756972,"28/02/2001",16.05714286,67.25,"2001-02-25 UTC--2001-03-03 UTC","week4ago",1,0,10,1,3
"25","2001-W09",3,1,0,1,0,1,NA,NA,NA,16.08035714,77.32142857,"2001-03-04 UTC--2001-03-10 UTC","week3ago",3,1,0,10,1
"26","2001-W10",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.58392857,75.625,NA,"week2ago",0,3,1,0,10
"27","2001-W11",1,0,1,1,0,1,NA,NA,NA,18.61071429,69.58928571,"2001-03-18 UTC--2001-03-24 UTC","week1ago",1,0,3,1,0
"28","2001-W12",3,1,1,2,0,2,3.12992126,3.62992126,"29/03/2001",20.29821429,55.32142857,"2001-03-25 UTC--2001-03-31 UTC","week5ago",3,1,0,3,1
"29","2001-W13",3,1,2,1,2,3,NA,NA,NA,18.73035714,67.14285714,"2001-04-01 UTC--2001-04-07 UTC","week4ago",3,3,1,0,3
"30","2001-W14",NA,NA,NA,NA,NA,NA,NA,NA,NA,17.38571429,69.05357143,NA,"week3ago",0,3,3,1,0
"31","2001-W15",1,0,1,1,0,1,NA,NA,NA,20.05,58.58928571,"2001-04-15 UTC--2001-04-21 UTC","week2ago",1,0,3,3,1
"32","2001-W16",3,3,0,3,0,3,NA,NA,NA,20.70714286,59.94642857,"2001-04-22 UTC--2001-04-28 UTC","week1ago",3,1,0,3,3
"33","2001-W17",1,0,1,1,0,1,2.888888889,3.545634921,"30/04/2001",21.55714286,64.23214286,"2001-04-29 UTC--2001-05-05 UTC","week4ago",1,3,1,0,3
"34","2001-W18",3,0,2,2,0,2,NA,NA,NA,21.1,58.73214286,"2001-05-06 UTC--2001-05-12 UTC","week3ago",3,1,3,1,0
"35","2001-W19",7,1,2,2,1,3,NA,NA,NA,20.79821429,64.03571429,"2001-05-13 UTC--2001-05-19 UTC","week2ago",7,3,1,3,1
"36","2001-W20",2,0,2,2,0,2,NA,NA,NA,23.07857143,65.42857143,"2001-05-20 UTC--2001-05-26 UTC","week1ago",2,7,3,1,3
"37","2001-W21",23,1,3,4,0,4,3.014,3.668,"31/05/2001",24.81785714,66.23214286,"2001-05-27 UTC--2001-06-02 UTC","week4ago",23,2,7,3,1
"38","2001-W22",2,1,1,2,0,2,NA,NA,NA,23.30178571,67.375,"2001-06-03 UTC--2001-06-09 UTC","week3ago",2,23,2,7,3
"39","2001-W23",1,0,1,0,1,1,NA,NA,NA,24.61785714,66,"2001-06-10 UTC--2001-06-16 UTC","week2ago",1,2,23,2,7
"40","2001-W24",5,0,4,4,0,4,NA,NA,NA,24.8625,66.60714286,"2001-06-17 UTC--2001-06-23 UTC","week1ago",5,1,2,23,2
"41","2001-W25",1,0,1,1,0,1,3.116831683,3.665346535,"26/06/2001",24.80178571,68.78571429,"2001-06-24 UTC--2001-06-30 UTC","week5ago",1,5,1,2,23
"42","2001-W26",3,1,2,3,0,3,NA,NA,NA,25.11607143,68.33928571,"2001-07-01 UTC--2001-07-07 UTC","week4ago",3,1,5,1,2
"43","2001-W27",3,0,2,1,1,2,NA,NA,NA,26.3375,70.92857143,"2001-07-08 UTC--2001-07-14 UTC","week3ago",3,3,1,5,1
"44","2001-W28",2,1,0,1,0,1,NA,NA,NA,26.90178571,72.17857143,"2001-07-15 UTC--2001-07-21 UTC","week2ago",2,3,3,1,5
"45","2001-W29",2,0,2,2,0,2,NA,NA,NA,26.85892857,70.14285714,"2001-07-22 UTC--2001-07-28 UTC","week1ago",2,2,3,3,1
