"","i","day","week","week_range"
"1",1,2018-01-01,1,2017-12-31 UTC--2018-01-06 UTC
"2",2,2018-01-02,1,2017-12-31 UTC--2018-01-06 UTC
"3",3,2018-01-03,1,2017-12-31 UTC--2018-01-06 UTC
"4",4,2018-01-04,1,2017-12-31 UTC--2018-01-06 UTC
"5",5,2018-01-05,1,2017-12-31 UTC--2018-01-06 UTC
"6",6,2018-01-06,1,2017-12-31 UTC--2018-01-06 UTC
"7",7,2018-01-07,2,2018-01-07 UTC--2018-01-13 UTC
"8",8,2018-01-08,2,2018-01-07 UTC--2018-01-13 UTC
"9",9,2018-01-09,2,2018-01-07 UTC--2018-01-13 UTC
"10",10,2018-01-10,2,2018-01-07 UTC--2018-01-13 UTC
"11",11,2018-01-11,2,2018-01-07 UTC--2018-01-13 UTC
"12",12,2018-01-12,2,2018-01-07 UTC--2018-01-13 UTC
"13",13,2018-01-13,2,2018-01-07 UTC--2018-01-13 UTC
"14",14,2018-01-14,3,2018-01-14 UTC--2018-01-20 UTC
"15",15,2018-01-15,3,2018-01-14 UTC--2018-01-20 UTC
"16",16,2018-01-16,3,2018-01-14 UTC--2018-01-20 UTC
"17",17,2018-01-17,3,2018-01-14 UTC--2018-01-20 UTC
"18",18,2018-01-18,3,2018-01-14 UTC--2018-01-20 UTC
"19",19,2018-01-19,3,2018-01-14 UTC--2018-01-20 UTC
"20",20,2018-01-20,3,2018-01-14 UTC--2018-01-20 UTC
"21",21,2018-01-21,4,2018-01-21 UTC--2018-01-27 UTC
"22",22,2018-01-22,4,2018-01-21 UTC--2018-01-27 UTC
"23",23,2018-01-23,4,2018-01-21 UTC--2018-01-27 UTC
"24",24,2018-01-24,4,2018-01-21 UTC--2018-01-27 UTC
"25",25,2018-01-25,4,2018-01-21 UTC--2018-01-27 UTC
"26",26,2018-01-26,4,2018-01-21 UTC--2018-01-27 UTC
"27",27,2018-01-27,4,2018-01-21 UTC--2018-01-27 UTC
"28",28,2018-01-28,5,2018-01-28 UTC--2018-02-03 UTC
"29",29,2018-01-29,5,2018-01-28 UTC--2018-02-03 UTC
"30",30,2018-01-30,5,2018-01-28 UTC--2018-02-03 UTC
"31",31,2018-01-31,5,2018-01-28 UTC--2018-02-03 UTC
"32",32,2018-02-01,5,2018-01-28 UTC--2018-02-03 UTC
"33",33,2018-02-02,5,2018-01-28 UTC--2018-02-03 UTC
"34",34,2018-02-03,5,2018-01-28 UTC--2018-02-03 UTC
"35",35,2018-02-04,6,2018-02-04 UTC--2018-02-10 UTC
"36",36,2018-02-05,6,2018-02-04 UTC--2018-02-10 UTC
"37",37,2018-02-06,6,2018-02-04 UTC--2018-02-10 UTC
"38",38,2018-02-07,6,2018-02-04 UTC--2018-02-10 UTC
"39",39,2018-02-08,6,2018-02-04 UTC--2018-02-10 UTC
"40",40,2018-02-09,6,2018-02-04 UTC--2018-02-10 UTC
"41",41,2018-02-10,6,2018-02-04 UTC--2018-02-10 UTC
"42",42,2018-02-11,7,2018-02-11 UTC--2018-02-17 UTC
"43",43,2018-02-12,7,2018-02-11 UTC--2018-02-17 UTC
"44",44,2018-02-13,7,2018-02-11 UTC--2018-02-17 UTC
"45",45,2018-02-14,7,2018-02-11 UTC--2018-02-17 UTC
"46",46,2018-02-15,7,2018-02-11 UTC--2018-02-17 UTC
"47",47,2018-02-16,7,2018-02-11 UTC--2018-02-17 UTC
"48",48,2018-02-17,7,2018-02-11 UTC--2018-02-17 UTC
"49",49,2018-02-18,8,2018-02-18 UTC--2018-02-24 UTC
"50",50,2018-02-19,8,2018-02-18 UTC--2018-02-24 UTC
"51",51,2018-02-20,8,2018-02-18 UTC--2018-02-24 UTC
"52",52,2018-02-21,8,2018-02-18 UTC--2018-02-24 UTC
"53",53,2018-02-22,8,2018-02-18 UTC--2018-02-24 UTC
"54",54,2018-02-23,8,2018-02-18 UTC--2018-02-24 UTC
"55",55,2018-02-24,8,2018-02-18 UTC--2018-02-24 UTC
"56",56,2018-02-25,9,2018-02-25 UTC--2018-03-03 UTC
"57",57,2018-02-26,9,2018-02-25 UTC--2018-03-03 UTC
"58",58,2018-02-27,9,2018-02-25 UTC--2018-03-03 UTC
"59",59,2018-02-28,9,2018-02-25 UTC--2018-03-03 UTC
"60",60,2018-03-01,9,2018-02-25 UTC--2018-03-03 UTC
"61",61,2018-03-02,9,2018-02-25 UTC--2018-03-03 UTC
"62",62,2018-03-03,9,2018-02-25 UTC--2018-03-03 UTC
"63",63,2018-03-04,10,2018-03-04 UTC--2018-03-10 UTC
"64",64,2018-03-05,10,2018-03-04 UTC--2018-03-10 UTC
