"","yearweek","total_killed","survey_rate","survey_date"
"1","2000-W39",1,NA,NA
"2","2000-W40",4,2.884689922,2000-10-02
"3","2000-W41",2,NA,NA
"4","2000-W42",1,NA,NA
"5","2000-W43",2,NA,NA
"6","2000-W44",6,3.086575875,2000-10-29
"7","2000-W45",2,NA,NA
"8","2000-W46",6,NA,NA
"9","2000-W47",9,NA,NA
"10","2000-W48",NA,3.024801587,2000-11-29
"11","2000-W49",3,NA,NA
"12","2000-W50",NA,NA,NA
"13","2000-W51",1,NA,NA
"14","2000-W52",2,2.762425447,2000-12-25
"15","2000-W53",2,NA,NA
"16","2001-W00",NA,NA,NA
"17","2001-W01",NA,NA,NA
"18","2001-W02",2,NA,NA
"19","2001-W03",3,NA,NA
"20","2001-W04",3,3.164015905,2001-01-31
"21","2001-W05",1,NA,NA
"22","2001-W06",10,NA,NA
"23","2001-W07",NA,NA,NA
"24","2001-W08",1,3.061752988,2001-02-28
"25","2001-W09",3,NA,NA
"26","2001-W10",NA,NA,NA
"27","2001-W11",1,NA,NA
"28","2001-W12",3,3.37992126,2001-03-29
"29","2001-W13",3,NA,NA
"30","2001-W14",NA,NA,NA
"31","2001-W15",1,NA,NA
"32","2001-W16",3,NA,NA
"33","2001-W17",1,3.217261905,2001-04-30
"34","2001-W18",3,NA,NA
"35","2001-W19",7,NA,NA
"36","2001-W20",2,NA,NA
"37","2001-W21",23,3.341,2001-05-31
"38","2001-W22",2,NA,NA
"39","2001-W23",1,NA,NA
"40","2001-W24",5,NA,NA
"41","2001-W25",1,3.391089109,2001-06-26
"42","2001-W26",3,NA,NA
"43","2001-W27",3,NA,NA
"44","2001-W28",2,NA,NA
"45","2001-W29",2,NA,NA
"46","2001-W30",NA,3.381709742,2001-07-31
"47","2001-W31",16,NA,NA
"48","2001-W32",NA,NA,NA
"49","2001-W33",6,NA,NA
"50","2001-W34",4,3.62254902,2001-08-30
"51","2001-W35",NA,NA,NA
"52","2001-W36",9,NA,NA
"53","2001-W37",2,NA,NA
"54","2001-W38",2,3.609683794,2001-09-26
"55","2001-W39",6,NA,NA
"56","2001-W40",1,NA,NA
"57","2001-W41",2,NA,NA
"58","2001-W42",NA,NA,NA
"59","2001-W43",6,3.476190476,2001-10-31
"60","2001-W44",4,NA,NA
"61","2001-W45",1,NA,NA
"62","2001-W46",1,NA,NA
"63","2001-W47",18,3.403288201,2001-11-29
"64","2001-W48",15,NA,NA
"65","2001-W49",10,NA,NA
"66","2001-W50",NA,NA,NA
"67","2001-W51",NA,NA,NA
"68","2001-W52",NA,3.424212598,2001-12-31
"69","2002-W00",NA,NA,NA
"70","2002-W01",4,NA,NA
"71","2002-W02",9,NA,NA
"72","2002-W03",2,NA,NA
"73","2002-W04",1,3.526785714,2002-01-31
"74","2002-W05",5,NA,NA
"75","2002-W06",8,NA,NA
"76","2002-W07",11,NA,NA
"77","2002-W08",18,3.434570313,2002-02-28
"78","2002-W09",35,NA,NA
"79","2002-W10",6,NA,NA
"80","2002-W11",12,NA,NA
"81","2002-W12",41,3.367326733,2002-03-25
"82","2002-W13",26,NA,NA
"83","2002-W14",29,NA,NA
"84","2002-W15",1,NA,NA
"85","2002-W16",5,3.587649402,2002-04-25
"86","2002-W17",1,NA,NA
"87","2002-W18",15,NA,NA
"88","2002-W19",1,NA,NA
"89","2002-W20",6,NA,NA
"90","2002-W21",6,3.605731225,2002-05-31
"91","2002-W22",21,NA,NA
"92","2002-W23",4,NA,NA
"93","2002-W24",32,NA,NA
"94","2002-W25",NA,NA,NA
"95","2002-W26",NA,3.4500998,2002-06-30
"96","2002-W27",1,NA,NA
"97","2002-W28",12,NA,NA
"98","2002-W29",5,NA,NA
"99","2002-W30",8,3.501964637,2002-07-31
"100","2002-W31",11,NA,NA
"101","2002-W32",NA,NA,NA
"102","2002-W33",1,NA,NA
"103","2002-W34",NA,3.503875969,2002-08-31
"104","2002-W35",2,NA,NA
"105","2002-W36",NA,NA,NA
"106","2002-W37",8,NA,NA
"107","2002-W38",2,NA,NA
"108","2002-W39",1,3.363636364,2002-09-30
"109","2002-W40",2,NA,NA
"110","2002-W41",NA,NA,NA
"111","2002-W42",13,NA,NA
"112","2002-W43",6,3.333003953,2002-10-30
"113","2002-W44",5,NA,NA
"114","2002-W45",17,NA,NA
"115","2002-W46",12,NA,NA
"116","2002-W47",6,3.43378119,2002-11-30
"117","2002-W48",NA,NA,NA
"118","2002-W49",2,NA,NA
"119","2002-W50",1,NA,NA
"120","2002-W51",4,NA,NA
"121","2002-W52",NA,3.447524752,2002-12-31
"122","2003-W00",1,NA,NA
"123","2003-W01",15,NA,NA
"124","2003-W02",3,NA,NA
"125","2003-W03",3,NA,NA
"126","2003-W04",NA,3.465208748,2003-01-31
"127","2003-W05",2,NA,NA
"128","2003-W06",6,NA,NA
"129","2003-W07",NA,NA,NA
"130","2003-W08",1,3.333003953,2003-02-28
"131","2003-W09",19,NA,NA
"132","2003-W10",2,NA,NA
"133","2003-W11",2,NA,NA
"134","2003-W12",NA,NA,NA
"135","2003-W13",NA,3.492031873,2003-03-31
"136","2003-W14",2,NA,NA
"137","2003-W15",2,NA,NA
"138","2003-W16",2,NA,NA
"139","2003-W17",NA,3.325490196,2003-04-30
"140","2003-W18",1,NA,NA
"141","2003-W19",3,NA,NA
"142","2003-W20",9,NA,NA
"143","2003-W21",NA,3.352882704,2003-05-30
"144","2003-W22",NA,NA,NA
"145","2003-W23",24,NA,NA
"146","2003-W24",3,NA,NA
"147","2003-W25",2,NA,NA
"148","2003-W26",NA,3.190618762,2003-06-30
"149","2003-W27",1,NA,NA
"150","2003-W28",1,NA,NA
"151","2003-W29",NA,NA,NA
"152","2003-W30",NA,3.226284585,2003-07-31
"153","2003-W31",1,NA,NA
"154","2003-W32",3,NA,NA
"155","2003-W33",23,NA,NA
"156","2003-W34",1,NA,NA
"157","2003-W35",2,3.5546875,2003-08-31
"158","2003-W36",16,NA,NA
"159","2003-W37",NA,NA,NA
"160","2003-W38",3,NA,NA
"161","2003-W39",21,3.409533074,2003-09-30
"162","2003-W40",NA,NA,NA
"163","2003-W41",NA,NA,NA
"164","2003-W42",6,NA,NA
"165","2003-W43",NA,3.481150794,2003-10-30
"166","2003-W44",NA,NA,NA
"167","2003-W45",NA,NA,NA
"168","2003-W46",4,NA,NA
"169","2003-W47",NA,NA,NA
"170","2003-W48",NA,3.337573386,2003-11-30
"171","2003-W49",NA,NA,NA
"172","2003-W50",NA,NA,NA
"173","2003-W51",6,NA,NA
"174","2003-W52",NA,3.417485265,2003-12-31
"175","2004-W00",NA,NA,NA
"176","2004-W01",NA,NA,NA
"177","2004-W02",5,NA,NA
"178","2004-W03",NA,NA,NA
"179","2004-W04",11,3.383697813,2004-01-29
"180","2004-W05",NA,NA,NA
"181","2004-W06",NA,NA,NA
"182","2004-W07",NA,NA,NA
"183","2004-W08",11,NA,NA
"184","2004-W09",NA,3.497058824,2004-02-29
"185","2004-W10",NA,NA,NA
"186","2004-W11",11,NA,NA
"187","2004-W12",NA,NA,NA
"188","2004-W13",1,3.356719368,2004-03-31
"189","2004-W14",NA,NA,NA
"190","2004-W15",1,NA,NA
"191","2004-W16",NA,NA,NA
"192","2004-W17",1,3.414705882,2004-04-30
"193","2004-W18",5,NA,NA
"194","2004-W19",13,NA,NA
"195","2004-W20",NA,NA,NA
"196","2004-W21",1,NA,NA
"197","2004-W22",NA,3.243737958,2004-05-31
"198","2004-W23",NA,NA,NA
"199","2004-W24",NA,NA,NA
"200","2004-W25",NA,NA,NA
"201","2004-W26",4,3.192534381,2004-06-30
"202","2004-W27",2,NA,NA
"203","2004-W28",1,NA,NA
"204","2004-W29",NA,NA,NA
"205","2004-W30",NA,3.432673267,2004-07-31
"206","2004-W31",NA,NA,NA
"207","2004-W32",1,NA,NA
"208","2004-W33",NA,NA,NA
"209","2004-W34",NA,NA,NA
"210","2004-W35",16,3.264880952,2004-08-31
"211","2004-W36",NA,NA,NA
"212","2004-W37",NA,NA,NA
"213","2004-W38",6,NA,NA
"214","2004-W39",5,3.225378788,2004-09-28
"215","2004-W40",NA,NA,NA
"216","2004-W41",NA,NA,NA
"217","2004-W42",2,NA,NA
"218","2004-W43",1,3.283037475,2004-10-30
"219","2004-W44",3,NA,NA
"220","2004-W45",NA,NA,NA
"221","2004-W46",NA,NA,NA
"222","2004-W47",NA,NA,NA
"223","2004-W48",NA,3.323529412,2004-11-30
"224","2004-W49",1,NA,NA
"225","2004-W50",5,NA,NA
"226","2004-W51",2,NA,NA
"227","2004-W52",NA,3.165703276,2004-12-29
"228","2005-W00",NA,NA,NA
"229","2005-W01",4,NA,NA
"230","2005-W02",8,NA,NA
"231","2005-W03",1,NA,NA
"232","2005-W04",NA,NA,NA
"233","2005-W05",NA,3.017716535,2005-01-31
"234","2005-W06",NA,NA,NA
"235","2005-W07",NA,NA,NA
"236","2005-W08",5,NA,NA
"237","2005-W09",NA,3.031496063,2005-02-27
"238","2005-W10",NA,NA,NA
"239","2005-W11",NA,NA,NA
"240","2005-W12",NA,NA,NA
"241","2005-W13",NA,3.032289628,2005-03-31
"242","2005-W14",NA,NA,NA
"243","2005-W15",NA,NA,NA
"244","2005-W16",NA,NA,NA
"245","2005-W17",NA,3.079881657,2005-04-30
"246","2005-W18",1,NA,NA
"247","2005-W19",NA,NA,NA
"248","2005-W20",NA,NA,NA
