yearweek,total_killed,q3,survey_date,intifada,week0ago,week1ago,week2ago,week3ago,week4ago,week5ago,week6ago,week7ago,week8ago
2001-W30,NA,2.192842942,31/07/2001,1,0,0,0,0,0,0,0,0,0
2001-W31,16,NA,NA,1,16,0,0,0,0,0,0,0,0
2001-W32,NA,NA,NA,1,0,16,0,0,0,0,0,0,0
2001-W33,6,NA,NA,1,6,0,16,0,0,0,0,0,0
2001-W34,4,2.38627451,30/08/2001,1,4,6,0,16,0,0,0,0,0
2001-W35,NA,NA,NA,1,0,4,6,0,16,0,0,0,0
2001-W36,9,NA,NA,1,9,0,4,6,0,16,0,0,0
2001-W37,2,NA,NA,1,2,9,0,4,6,0,16,0,0
2001-W38,2,2.28458498,26/09/2001,1,2,2,9,0,4,6,0,16,0
2001-W39,6,NA,NA,1,6,2,2,9,0,4,6,0,16
2001-W40,1,NA,NA,1,1,6,2,2,9,0,4,6,0
2001-W41,2,NA,NA,1,2,1,6,2,2,9,0,4,6
2001-W42,NA,NA,NA,1,0,2,1,6,2,2,9,0,4
2001-W43,6,2.150793651,31/10/2001,1,6,0,2,1,6,2,2,9,0
2001-W44,4,NA,NA,1,4,6,0,2,1,6,2,2,9
2001-W45,1,NA,NA,1,1,4,6,0,2,1,6,2,2
2001-W46,1,NA,NA,1,1,1,4,6,0,2,1,6,2
2001-W47,18,2.17794971,29/11/2001,1,18,1,1,4,6,0,2,1,6
2001-W48,15,NA,NA,1,15,18,1,1,4,6,0,2,1
2001-W49,10,NA,NA,1,10,15,18,1,1,4,6,0,2
2001-W50,NA,NA,NA,1,0,10,15,18,1,1,4,6,0
2001-W51,NA,NA,NA,1,0,0,10,15,18,1,1,4,6
2001-W52,NA,2.18503937,31/12/2001,1,0,0,0,10,15,18,1,1,4
2002-W00,NA,NA,NA,1,0,0,0,0,10,15,18,1,1
2002-W01,4,NA,NA,1,4,0,0,0,0,10,15,18,1
2002-W02,9,NA,NA,1,9,4,0,0,0,0,10,15,18
2002-W03,2,NA,NA,1,2,9,4,0,0,0,0,10,15
2002-W04,1,2.273809524,31/01/2002,1,1,2,9,4,0,0,0,0,10
2002-W05,5,NA,NA,1,5,1,2,9,4,0,0,0,0
2002-W06,8,NA,NA,1,8,5,1,2,9,4,0,0,0
2002-W07,11,NA,NA,1,11,8,5,1,2,9,4,0,0
2002-W08,18,2.09375,28/02/2002,1,18,11,8,5,1,2,9,4,0
2002-W09,35,NA,NA,1,35,18,11,8,5,1,2,9,4
2002-W10,6,NA,NA,1,6,35,18,11,8,5,1,2,9
2002-W11,12,NA,NA,1,12,6,35,18,11,8,5,1,2
2002-W12,41,1.978217822,25/03/2002,1,41,12,6,35,18,11,8,5,1
2002-W13,26,NA,NA,1,26,41,12,6,35,18,11,8,5
2002-W14,29,NA,NA,1,29,26,41,12,6,35,18,11,8
2002-W15,1,NA,NA,1,1,29,26,41,12,6,35,18,11
2002-W16,5,NA,25/04/2002,1,5,1,29,26,41,12,6,35,18
2002-W17,1,NA,NA,1,1,5,1,29,26,41,12,6,35
2002-W18,15,NA,NA,1,15,1,5,1,29,26,41,12,6
2002-W19,1,NA,NA,1,1,15,1,5,1,29,26,41,12
2002-W20,6,NA,NA,1,6,1,15,1,5,1,29,26,41
2002-W21,6,2.181818182,31/05/2002,1,6,6,1,15,1,5,1,29,26
2002-W22,21,NA,NA,1,21,6,6,1,15,1,5,1,29
2002-W23,4,NA,NA,1,4,21,6,6,1,15,1,5,1
2002-W24,32,NA,NA,1,32,4,21,6,6,1,15,1,5
2002-W25,NA,NA,NA,1,0,32,4,21,6,6,1,15,1
2002-W26,NA,2.323353293,30/06/2002,1,0,0,32,4,21,6,6,1,15
2002-W27,1,NA,NA,1,1,0,0,32,4,21,6,6,1
2002-W28,12,NA,NA,1,12,1,0,0,32,4,21,6,6
2002-W29,5,NA,NA,1,5,12,1,0,0,32,4,21,6
2002-W30,8,2.113948919,31/07/2002,1,8,5,12,1,0,0,32,4,21
2002-W31,11,NA,NA,1,11,8,5,12,1,0,0,32,4
2002-W32,NA,NA,NA,1,0,11,8,5,12,1,0,0,32
2002-W33,1,NA,NA,1,1,0,11,8,5,12,1,0,0
2002-W34,NA,2.131782946,31/08/2002,1,0,1,0,11,8,5,12,1,0
2002-W35,2,NA,NA,1,2,0,1,0,11,8,5,12,1
2002-W36,NA,NA,NA,1,0,2,0,1,0,11,8,5,12
2002-W37,8,NA,NA,1,8,0,2,0,1,0,11,8,5
2002-W38,2,NA,NA,1,2,8,0,2,0,1,0,11,8
2002-W39,1,NA,30/09/2002,1,1,2,8,0,2,0,1,0,11
2002-W40,2,NA,NA,1,2,1,2,8,0,2,0,1,0
2002-W41,NA,NA,NA,1,0,2,1,2,8,0,2,0,1
2002-W42,13,NA,NA,1,13,0,2,1,2,8,0,2,0
2002-W43,6,2.187747036,30/10/2002,1,6,13,0,2,1,2,8,0,2
2002-W44,5,NA,NA,1,5,6,13,0,2,1,2,8,0
2002-W45,17,NA,NA,1,17,5,6,13,0,2,1,2,8
2002-W46,12,NA,NA,1,12,17,5,6,13,0,2,1,2
2002-W47,6,2.13243762,30/11/2002,1,6,12,17,5,6,13,0,2,1
2002-W48,NA,NA,NA,1,0,6,12,17,5,6,13,0,2
2002-W49,2,NA,NA,1,2,0,6,12,17,5,6,13,0
2002-W50,1,NA,NA,1,1,2,0,6,12,17,5,6,13
2002-W51,4,NA,NA,1,4,1,2,0,6,12,17,5,6
2002-W52,NA,2.156435644,31/12/2002,1,0,4,1,2,0,6,12,17,5
2003-W00,1,NA,NA,1,1,0,4,1,2,0,6,12,17
2003-W01,15,NA,NA,1,15,1,0,4,1,2,0,6,12
2003-W02,3,NA,NA,1,3,15,1,0,4,1,2,0,6
2003-W03,3,NA,NA,1,3,3,15,1,0,4,1,2,0
2003-W04,NA,2.131212724,31/01/2003,1,0,3,3,15,1,0,4,1,2
2003-W05,2,NA,NA,1,2,0,3,3,15,1,0,4,1
2003-W06,6,NA,NA,1,6,2,0,3,3,15,1,0,4
2003-W07,NA,NA,NA,1,0,6,2,0,3,3,15,1,0
2003-W08,1,2.075098814,28/02/2003,1,1,0,6,2,0,3,3,15,1
2003-W09,19,NA,NA,1,19,1,0,6,2,0,3,3,15
2003-W10,2,NA,NA,1,2,19,1,0,6,2,0,3,3
2003-W11,2,NA,NA,1,2,2,19,1,0,6,2,0,3
2003-W12,NA,NA,NA,1,0,2,2,19,1,0,6,2,0
2003-W13,NA,2.12749004,31/03/2003,1,0,0,2,2,19,1,0,6,2
2003-W14,2,NA,NA,1,2,0,0,2,2,19,1,0,6
2003-W15,2,NA,NA,1,2,2,0,0,2,2,19,1,0
2003-W16,2,NA,NA,1,2,2,2,0,0,2,2,19,1
2003-W17,NA,1.962745098,30/04/2003,1,0,2,2,2,0,0,2,2,19
2003-W18,1,NA,NA,1,1,0,2,2,2,0,0,2,2
2003-W19,3,NA,NA,1,3,1,0,2,2,2,0,0,2
2003-W20,9,NA,NA,1,9,3,1,0,2,2,2,0,0
2003-W21,NA,NA,30/05/2003,1,0,9,3,1,0,2,2,2,0
2003-W22,NA,NA,NA,1,0,0,9,3,1,0,2,2,2
2003-W23,24,NA,NA,1,24,0,0,9,3,1,0,2,2
2003-W24,3,NA,NA,1,3,24,0,0,9,3,1,0,2
2003-W25,2,NA,NA,1,2,3,24,0,0,9,3,1,0
2003-W26,NA,NA,30/06/2003,1,0,2,3,24,0,0,9,3,1
2003-W27,1,NA,NA,1,1,0,2,3,24,0,0,9,3
2003-W28,1,NA,NA,1,1,1,0,2,3,24,0,0,9
2003-W29,NA,NA,NA,1,0,1,1,0,2,3,24,0,0
2003-W30,NA,1.938735178,31/07/2003,1,0,0,1,1,0,2,3,24,0
2003-W31,1,NA,NA,1,1,0,0,1,1,0,2,3,24
2003-W32,3,NA,NA,1,3,1,0,0,1,1,0,2,3
2003-W33,23,NA,NA,1,23,3,1,0,0,1,1,0,2
2003-W34,1,NA,NA,1,1,23,3,1,0,0,1,1,0
2003-W35,2,2.150390625,31/08/2003,1,2,1,23,3,1,0,0,1,1
2003-W36,16,NA,NA,1,16,2,1,23,3,1,0,0,1
2003-W37,NA,NA,NA,1,0,16,2,1,23,3,1,0,0
2003-W38,3,NA,NA,1,3,0,16,2,1,23,3,1,0
2003-W39,21,2.087548638,30/09/2003,1,21,3,0,16,2,1,23,3,1
2003-W40,NA,NA,NA,1,0,21,3,0,16,2,1,23,3
2003-W41,NA,NA,NA,1,0,0,21,3,0,16,2,1,23
2003-W42,6,NA,NA,1,6,0,0,21,3,0,16,2,1
2003-W43,NA,2.035714286,30/10/2003,1,0,6,0,0,21,3,0,16,2
2003-W44,NA,NA,NA,1,0,0,6,0,0,21,3,0,16
2003-W45,NA,NA,NA,1,0,0,0,6,0,0,21,3,0
2003-W46,4,NA,NA,1,4,0,0,0,6,0,0,21,3
2003-W47,NA,NA,NA,1,0,4,0,0,0,6,0,0,21
2003-W48,NA,1.880626223,30/11/2003,1,0,0,4,0,0,0,6,0,0
2003-W49,NA,NA,NA,1,0,0,0,4,0,0,0,6,0
2003-W50,NA,NA,NA,1,0,0,0,0,4,0,0,0,6
2003-W51,6,NA,NA,1,6,0,0,0,0,4,0,0,0
2003-W52,NA,2.015717092,31/12/2003,1,0,6,0,0,0,0,4,0,0
2004-W00,NA,NA,NA,1,0,0,6,0,0,0,0,4,0
2004-W01,NA,NA,NA,1,0,0,0,6,0,0,0,0,4
2004-W02,5,NA,NA,1,5,0,0,0,6,0,0,0,0
2004-W03,NA,NA,NA,1,0,5,0,0,0,6,0,0,0
2004-W04,11,1.942345924,29/01/2004,1,11,0,5,0,0,0,6,0,0
2004-W05,NA,NA,NA,1,0,11,0,5,0,0,0,6,0
2004-W06,NA,NA,NA,1,0,0,11,0,5,0,0,0,6
2004-W07,NA,NA,NA,1,0,0,0,11,0,5,0,0,0
2004-W08,11,NA,NA,1,11,0,0,0,11,0,5,0,0
2004-W09,NA,2.121568627,29/02/2004,1,0,11,0,0,0,11,0,5,0
2004-W10,NA,NA,NA,1,0,0,11,0,0,0,11,0,5
2004-W11,11,NA,NA,1,11,0,0,11,0,0,0,11,0
2004-W12,NA,NA,NA,1,0,11,0,0,11,0,0,0,11
2004-W13,1,2.118577075,31/03/2004,1,1,0,11,0,0,11,0,0,0
2004-W14,NA,NA,NA,1,0,1,0,11,0,0,11,0,0
2004-W15,1,NA,NA,1,1,0,1,0,11,0,0,11,0
2004-W16,NA,NA,NA,1,0,1,0,1,0,11,0,0,11
2004-W17,1,2.137254902,30/04/2004,1,1,0,1,0,1,0,11,0,0
2004-W18,5,NA,NA,1,5,1,0,1,0,1,0,11,0
2004-W19,13,NA,NA,1,13,5,1,0,1,0,1,0,11
2004-W20,NA,NA,NA,1,0,13,5,1,0,1,0,1,0
2004-W21,1,NA,NA,1,1,0,13,5,1,0,1,0,1
2004-W22,NA,1.986512524,31/05/2004,1,0,1,0,13,5,1,0,1,0
2004-W23,NA,NA,NA,1,0,0,1,0,13,5,1,0,1
2004-W24,NA,NA,NA,1,0,0,0,1,0,13,5,1,0
2004-W25,NA,NA,NA,1,0,0,0,0,1,0,13,5,1
2004-W26,4,1.966601179,30/06/2004,1,4,0,0,0,0,1,0,13,5
2004-W27,2,NA,NA,1,2,4,0,0,0,0,1,0,13
2004-W28,1,NA,NA,1,1,2,4,0,0,0,0,1,0
2004-W29,NA,NA,NA,1,0,1,2,4,0,0,0,0,1
2004-W30,NA,2.186138614,31/07/2004,1,0,0,1,2,4,0,0,0,0
2004-W31,NA,NA,NA,1,0,0,0,1,2,4,0,0,0
2004-W32,1,NA,NA,1,1,0,0,0,1,2,4,0,0
2004-W33,NA,NA,NA,1,0,1,0,0,0,1,2,4,0
2004-W34,NA,NA,NA,1,0,0,1,0,0,0,1,2,4
2004-W35,16,2.041666667,31/08/2004,1,16,0,0,1,0,0,0,1,2
2004-W36,NA,NA,NA,1,0,16,0,0,1,0,0,0,1
