yearweek,total_killed,q3,survey_date,intifada,week0ago,week1ago,week2ago,week3ago,week4ago,week5ago,week6ago,week7ago,week8ago
2001-W30,NA,2.1928429423459246,2001-07-31,1,0,0,0,0,0,0,0,0,0
2001-W31,14,NA,NA,1,14,0,0,0,0,0,0,0,0
2001-W32,NA,NA,NA,1,0,14,0,0,0,0,0,0,0
2001-W33,NA,NA,NA,1,0,0,14,0,0,0,0,0,0
2001-W34,NA,2.3862745098039215,2001-08-30,1,0,0,0,14,0,0,0,0,0
2001-W35,NA,NA,NA,1,0,0,0,0,14,0,0,0,0
2001-W36,3,NA,NA,1,3,0,0,0,0,14,0,0,0
2001-W37,NA,NA,NA,1,0,3,0,0,0,0,14,0,0
2001-W38,1,2.2845849802371543,2001-09-26,1,1,0,3,0,0,0,0,14,0
2001-W39,3,NA,NA,1,3,1,0,3,0,0,0,0,14
2001-W40,1,NA,NA,1,1,3,1,0,3,0,0,0,0
2001-W41,NA,NA,NA,1,0,1,3,1,0,3,0,0,0
2001-W42,NA,NA,NA,1,0,0,1,3,1,0,3,0,0
2001-W43,5,2.1507936507936507,2001-10-31,1,5,0,0,1,3,1,0,3,0
2001-W44,NA,NA,NA,1,0,5,0,0,1,3,1,0,3
2001-W45,1,NA,NA,1,1,0,5,0,0,1,3,1,0
2001-W46,NA,NA,NA,1,0,1,0,5,0,0,1,3,1
2001-W47,16,2.1779497098646035,2001-11-29,1,16,0,1,0,5,0,0,1,3
2001-W48,14,NA,NA,1,14,16,0,1,0,5,0,0,1
2001-W49,NA,NA,NA,1,0,14,16,0,1,0,5,0,0
2001-W50,NA,NA,NA,1,0,0,14,16,0,1,0,5,0
2001-W51,NA,NA,NA,1,0,0,0,14,16,0,1,0,5
2001-W52,NA,2.1850393700787403,2001-12-31,1,0,0,0,0,14,16,0,1,0
2002-W00,NA,NA,NA,1,0,0,0,0,0,14,16,0,1
2002-W01,4,NA,NA,1,4,0,0,0,0,0,14,16,0
2002-W02,6,NA,NA,1,6,4,0,0,0,0,0,14,16
2002-W03,2,NA,NA,1,2,6,4,0,0,0,0,0,14
2002-W04,1,2.2738095238095237,2002-01-31,1,1,2,6,4,0,0,0,0,0
2002-W05,1,NA,NA,1,1,1,2,6,4,0,0,0,0
