date of the attack,the attack location,number of injured,number of killed,location: IL(1) Yesha(2),target: civilian(1) security-forces(2),type of attack,,,organization
6/4/1994,Afula,,8,1,1,car-bomb ,,,Hamas
13/4/1994,Hadera,,5,1,1,suicide bombing,,,Hamas
19/10/1994,Tel aviv,,22,1,1,suicide bombing,,,
11/11/1994,Netzarim junction,,3,2,2,suicide bombing,,,Islamic Jihad
22/1/1995,Beit Lid junction,,21,1,2,double suicide bombing,,,Islamic Jihad
9/4/1995,Kfar Darom,,8,2,1,explosives-laden van,,,Islamic Jihad
24/7/1995,Ramat Gan,,6,1,1,suicide bombing,,,
21/8/1995,Jerusalem,,4,1,1,suicide bombing,,,
25/2/1996,Jerusalem,,26,1,1,suicide bombing,,,Hamas
25/2/1996,Ashkelon,,1,1,1,suicide bombing,,,Hamas
3/3/1996,Jerusalem,,19,1,1,suicide bombing,,,
4/3/1996,Tel-Aviv,,13,1,1,suicide bombing,,,
21/3/1997,Tel Aviv,48,3,1,1,suicide bombing,,,
30/7/1997,Jerusalem,178,16,1,1,two consecutive suicide bombings,,,
4/9/1997,Jerusalem,181,5,1,1,suicide bombing,,,
29/10/1998,Kfar Darom,,1,2,2,explosives-laden car,,,
2/11/2000,Jerusalem,10,2,1,1,car bomb,,,Islamic Jihad
20/11/2000,Gush Katif,9,2,2,1,roadside bomb,,,
22/11/2000,Hadera,60,2,1,1,car bomb,,,
22/12/2000,Mehola Junction,3,,2,2,suicide bombing,,,
1/1/2001,Netanya,60,,1,1,car bomb,,,Hamas
8/2/2001,Jerusalem,4,,1,1,car bomb,,,
14/2/2001,Holon,25,8,1,1,,,,
1/3/2001,Mei Ami junction,9,1,1,1,Bomb,,,
4/3/2001,Netanya,60,3,1,1,suicide bombing,,,
27/3/2001,Jerusalem,7,,1,1,car bomb,,,Islamic Jihad
27/3/2001,Jerusalem,28,,1,1,suicide bombing,,,Hamas
28/3/2001,Mifgash Hashalom gas station,4,2,1,1,suicide bombing,,,Hamas
22/4/2001,Kfar Sava,60,1,1,1,Bomb,,,Hamas
23/4/2001,Or Yehuda,8,,1,1,car bomb,,,
29/4/2001,Nablus,,,2,,car bomb,,,Hamas
18/5/2001,Netanya,100,5,1,1,suicide bombing,,,Hamas
25/5/2001,Hadera,65,,1,1,car bomb,,,Islamic Jihad
27/5/2001,Jerusalem,30,,1,1,car bomb,,,Islamic Jihad
30/5/2001,Netanya,8,,1,1,car bomb,,,Islamic Jihad
1/6/2001,Tel-Aviv,120,21,1,1,suicide bombing,,,
22/6/2001,Dugit,,2,2,2,car bomb,,,Hamas
2/7/2001,Yehud,6,,1,1,car bomb,,,popular front for the liberation of palestine
16/7/2001,Binyamina,11,2,1,2,suicide bombing,,,Islamic Jihad
8/8/2001,B'kaot moshav,1,,2,2,car bomb,,,
9/8/2001,Jerusalem,130,15,1,1,suicide bombing,,,Hamas + Islamic Jihad
12/8/2001,Kiryat Motzkin,21,,1,1,suicide bombing,,,Islamic Jihad
21/8/2001,Jerusalem,1,,1,1,car bomb,,,
9/4/2001,Jerusalem,20,,1,1,suicide bombing,,,Hamas
9/9/2001,Netanya,90,3,1,1,suicide bombing,,,Hamas
9/9/2001,Beit Lid junction,17,,1,1,car bomb,,,
1/10/2001,Jerusalem,,,1,1,car bomb,,,
7/10/2001,Sheluhot,,1,1,1,suicide bombing,,,Islamic Jihad
26/11/2001,Erez crossing point,2,,2,2,suicide bombing,,,Hamas
29/11/2001,Hadera,9,3,1,1,suicide bombing,,,Islamic Jihad and Fatah
1/12/2001,Jerusalem,180,11,1,1,suicide bombing,,,Hamas
2/12/2001,Haifa,40,16,1,1,suicide bombing,,,Hamas
5/12/2001,Jerusalem,8,,1,1,suicide bombing,,,Islamic Jihad
9/12/2001,Haifa,30,,1,1,suicide bombing,,,
12/12/2001,Neve Dekalim,4,,2,1,suicide bombing,,,
25/1/2002,Tel-Aviv,25,,1,1,suicide bombing,,,
27/1/2002,Jerusalem,150,1,1,1,suicide bombing,,,Fatah
16/2/2002,Karnei Shomron,30,3,2,1,suicide bombing,,,popular front for the liberation of palestine
18/2/2002,Ma'ale Adumim,,1,2,1,suicide bombing,,,al-Aqsa Martyrs Brigades
27/2/2002,Maccabim roadblock,3,,1,2,suicide bombing,,,
2/3/2002,Jerusalem,50,11,1,1,suicide bombing,,,al-Aqsa Martyrs Brigades
5/3/2002,Afula,11,1,1,1,suicide bombing,,,Islamic Jihad
7/3/2002,Ariel,15,,2,1,suicide bombing,,,popular front for the liberation of palestine
9/3/2002,Jerusalem,54,11,1,1,suicide bombing,,,Hamas
17/3/2002,Jerusalem,25,,1,1,suicide bombing,,,
20/3/2002,Wadi Ara,30,7,1,,suicide bombing,,,Islamic Jihad
21/3/2002,Jerusalem,86,3,1,1,suicide bombing,,,al-Aqsa Martyrs Brigades
27/3/2002,Netanya,140,30,1,1,suicide bombing,,,Hamas
29/3/2002,Jerusalem,28,2,1,1,suicide bombing,,,al-Aqsa Martyrs Brigades
30/3/2002,Tel-Aviv,30,1,1,1,suicide bombing,,,al-Aqsa Martyrs Brigades
31/3/2002,Haifa,40,15,1,1,suicide bombing,,,Hamas
31/3/2002,Efrat,4,,2,1,suicide bombing,,,
1/4/2002,Jerusalem,,1,1,2,suicide bombing,,,al-Aqsa Martyrs Brigades
10/4/2002,Kibbutz Yagur,22,8,1,1,suicide bombing,,,Hamas
12/4/2002,Jerusalem,104,6,1,1,suicide bombing,,,al-Aqsa Martyrs Brigades
7/5/2002,Rishon Lezion,55,16,1,1,suicide bombing,,,Hamas
19/5/2002,Netanya,59,3,1,1,suicide bombing,,,Hamas + popular front for the liberation of palestine
22/5/2002,Rishon Lezion,40,2,1,1,suicide bombing,,,
24/5/2002,Tel-Aviv,5,,1,1,car bomb,,,
27/5/2002,Petah Tikva,37,2,1,1,suicide bombing,,,al-Aqsa Martyrs Brigades
5/6/2002,Megiddo junction,38,17,1,1,car bomb,,,Islamic Jihad
11/6/2002,Herzliya,15,1,1,1,suicide bombing,,,
18/6/2002,Jerusalem,74,19,1,1,suicide bombing,,,Hamas
19/6/2002,Jerusalem,50,7,1,1,suicide bombing,,,al-Aqsa Martyrs Brigades
16/7/2002,Emmanuel,20,9,2,1,shooting,,,Hamas
17/7/2002,Tel-Aviv,40,5,1,1,suicide bombing,,,Islamic Jihad
30/7/2002,Jerusalem,5,,1,1,suicide bombing,,,
31/7/2002,Jerusalem,85,9,1,1,bomb,,,Hamas
4/8/2002,Meron junction,50,9,1,1,suicide bombing,,,Hamas
5/8/2002,Umm al-Fahm junction,1,,1,1,bomb,,,
18/9/2002,Umm al-Fahm junction,3,1,1,,suicide bombing,,,Islamic Jihad
19/9/2002,Tel-Aviv,70,6,1,1,bomb,,,Hamas
10/10/2002,Ramat Gan,30,1,1,1,suicide bombing,,,Hamas
21/10/2002,Wadi Ara,50,14,1,1,suicide bombing,,,Islamic Jihad
27/10/2002,Ariel,20,3,2,2,suicide bombing,,,Hamas
4/11/2002,Kfar Sava,70,2,1,1,suicide bombing,,,Islamic Jihad
21/11/2002,Jerusalem,50,7,1,1,suicide bombing,,,Hamas
5/1/2003,Tel-Aviv,120,22,1,1,suicide bombing,,,al-Aqsa Martyrs Brigades
5/3/2003,Haifa,53,17,1,1,suicide bombing,,,Hamas
30/3/2003,Netanya,40,,1,1,suicide bombing,,,Islamic Jihad
24/4/2003,Kfar Sava,13,1,1,1,suicide bombing,,,al-Aqsa Martyrs Brigades
30/4/2003,Tel-Aviv,60,3,1,1,suicide bombing,,,Fatah Tanzim and Hamas
17/5/2003,Hebron,,2,2,1,suicide bombing,,,Hamas
18/5/2003,Jerusalem,20,7,1,1,suicide bombing,,,Hamas
19/5/2003,Kfar Darom,2,,2,2,suicide bombing,,,Hamas
19/5/2003,Afula,70,3,1,1,suicide bombing,,,Islamic Jihad + al-Aqsa Martyrs Brigades
22/5/2003,Netzarim,9,,2,1,bomb,,,
11/6/2003,Jerusalem,100,17,1,1,suicide bombing,,,Hamas
19/6/2003,Sde Trumot,,1,1,1,suicide bombing,,,Islamic Jihad
7/7/2003,Kfar Yavetz,3,1,1,1,suicide bombing,,,Islamic Jihad
12/8/2003,Ariel,2,2,2,1,suicide bombing,,,
19/8/2003,Jerusalem,130,23,1,1,suicide bombing,,,Hamas
9/9/2003,Tzrifin,30,9,1,2,suicide bombing,,,Hamas
9/9/2003,Jerusalem,50,7,1,1,suicide bombing,,,Hamas
4/10/2003,Haifa,60,21,1,1,suicide bombing,,,Islamic Jihad
9/10/2003,Tulkarm,2,,2,2,suicide bombing,,,
15/10/2003,Beit Hanoun junction,1,3,2,1,bomb,,,
3/11/2003,Azun,1,,2,2,suicide bombing,,,al-Aqsa Martyrs Brigades
25/12/2003,Geha Junction,20,4,1,1,suicide bombing,,,popular front for the liberation of palestine
14/1/2004,Erez Crossing,10,4,2,2,suicide bombing,,,Hamas and  Al Aqsa Martyrs Brigades
29/1/2004,Jerusalem,50,11,1,1,suicide bombing,,,al-Aqsa Martyrs Brigades
22/2/2004,Jerusalem,60,8,1,1,suicide bombing,,,al-Aqsa Martyrs Brigades
