"","date","number of injured","number of killed","location: IL(1) Yesha(2)","target: civilian(1) security-forces(2)","yearweek"
"1",1994-04-06,NA,8,"1",1,"1994-W14"
"2",1994-04-13,NA,5,"1",1,"1994-W15"
"3",1994-10-19,NA,22,"1",1,"1994-W42"
"4",1994-11-11,NA,3,"2",2,"1994-W45"
"5",1995-01-22,NA,21,"1",2,"1995-W04"
"6",1995-04-09,NA,8,"2",1,"1995-W15"
"7",1995-07-24,NA,6,"1",1,"1995-W30"
"8",1995-08-21,NA,4,"1",1,"1995-W34"
"9",1996-02-25,NA,26,"1",1,"1996-W08"
"10",1996-02-25,NA,1,"1",1,"1996-W08"
"11",1996-03-03,NA,19,"1",1,"1996-W09"
"12",1996-03-04,NA,13,"1",1,"1996-W09"
"13",1997-03-21,48,3,"1",1,"1997-W11"
"14",1997-07-30,178,16,"1",1,"1997-W30"
"15",1997-09-04,181,5,"1",1,"1997-W35"
"16",1998-10-29,NA,1,"2",2,"1998-W43"
"17",2000-11-02,10,2,"1",1,"2000-W44"
"18",2000-11-20,9,2,"2",1,"2000-W47"
"19",2000-11-22,60,2,"1",1,"2000-W47"
"20",2000-12-22,3,NA,"2",2,"2000-W51"
"21",2001-01-01,60,NA,"1",1,"2001-W00"
"22",2001-02-08,4,NA,"1",1,"2001-W05"
"23",2001-02-14,25,8,"1",1,"2001-W06"
"24",2001-03-01,9,1,"1",1,"2001-W08"
"25",2001-03-04,60,3,"1",1,"2001-W09"
"26",2001-03-27,7,NA,"1",1,"2001-W12"
"27",2001-03-27,28,NA,"1",1,"2001-W12"
"28",2001-03-28,4,2,"1",1,"2001-W12"
"29",2001-04-22,60,1,"1",1,"2001-W16"
"30",2001-04-23,8,NA,"1",1,"2001-W16"
"31",2001-04-29,NA,NA,"2",NA,"2001-W17"
"32",2001-05-18,100,5,"1",1,"2001-W19"
"33",2001-05-25,65,NA,"1",1,"2001-W20"
"34",2001-05-27,30,NA,"1",1,"2001-W21"
"35",2001-05-30,8,NA,"1",1,"2001-W21"
"36",2001-06-01,120,21,"1",1,"2001-W21"
"37",2001-06-22,NA,2,"2",2,"2001-W24"
"38",2001-07-02,6,NA,"1",1,"2001-W26"
"39",2001-07-16,11,2,"1",2,"2001-W28"
"40",2001-08-08,1,NA,"2",2,"2001-W31"
"41",2001-08-09,130,15,"1",1,"2001-W31"
"42",2001-08-12,21,NA,"1",1,"2001-W32"
"43",2001-08-21,1,NA,"1",1,"2001-W33"
"44",2001-04-09,20,NA,"1",1,"2001-W14"
"45",2001-09-09,90,3,"1",1,"2001-W36"
"46",2001-09-09,17,NA,"1",1,"2001-W36"
"47",2001-10-01,NA,NA,"1",1,"2001-W39"
"48",2001-10-07,NA,1,"1",1,"2001-W40"
"49",2001-11-26,2,NA,"2",2,"2001-W47"
"50",2001-11-29,9,3,"1",1,"2001-W47"
"51",2001-12-01,180,11,"1",1,"2001-W47"
"52",2001-12-02,40,16,"1",1,"2001-W48"
"53",2001-12-05,8,NA,"1",1,"2001-W48"
"54",2001-12-09,30,NA,"1",1,"2001-W49"
"55",2001-12-12,4,NA,"2",1,"2001-W49"
"56",2002-01-25,25,NA,"1",1,"2002-W03"
"57",2002-01-27,150,1,"1",1,"2002-W04"
"58",2002-02-16,30,3,"2",1,"2002-W06"
"59",2002-02-18,NA,1,"2",1,"2002-W07"
"60",2002-02-27,3,NA,"1",2,"2002-W08"
"61",2002-03-02,50,11,"1",1,"2002-W08"
"62",2002-03-05,11,1,"1",1,"2002-W09"
"63",2002-03-07,15,NA,"2",1,"2002-W09"
