"","yearweek","FO_total_attacks","FO_attacks_located_IL","FO_attacks_located_yesha","FO_attacks_target_civilian","FO_attacks_target_security_forces","FO_total_killed","FO_killed_located_IL","FO_killed_located_yesha","FO_killed_target_civilian","FO_killed_target_security_forces"
"1","1994-W14",1,1,0,1,0,8,8,0,8,0
"2","1994-W15",1,1,0,1,0,5,5,0,5,0
"3","1994-W16",0,0,0,0,0,0,0,0,0,0
"4","1994-W17",0,0,0,0,0,0,0,0,0,0
"5","1994-W18",0,0,0,0,0,0,0,0,0,0
"6","1994-W19",0,0,0,0,0,0,0,0,0,0
"7","1994-W20",0,0,0,0,0,0,0,0,0,0
"8","1994-W21",0,0,0,0,0,0,0,0,0,0
"9","1994-W22",0,0,0,0,0,0,0,0,0,0
"10","1994-W23",0,0,0,0,0,0,0,0,0,0
"11","1994-W24",0,0,0,0,0,0,0,0,0,0
"12","1994-W25",0,0,0,0,0,0,0,0,0,0
"13","1994-W26",0,0,0,0,0,0,0,0,0,0
"14","1994-W27",0,0,0,0,0,0,0,0,0,0
"15","1994-W28",0,0,0,0,0,0,0,0,0,0
"16","1994-W29",0,0,0,0,0,0,0,0,0,0
"17","1994-W30",0,0,0,0,0,0,0,0,0,0
"18","1994-W31",0,0,0,0,0,0,0,0,0,0
"19","1994-W32",0,0,0,0,0,0,0,0,0,0
"20","1994-W33",0,0,0,0,0,0,0,0,0,0
"21","1994-W34",0,0,0,0,0,0,0,0,0,0
"22","1994-W35",0,0,0,0,0,0,0,0,0,0
"23","1994-W36",0,0,0,0,0,0,0,0,0,0
"24","1994-W37",0,0,0,0,0,0,0,0,0,0
"25","1994-W38",0,0,0,0,0,0,0,0,0,0
"26","1994-W39",0,0,0,0,0,0,0,0,0,0
"27","1994-W40",0,0,0,0,0,0,0,0,0,0
"28","1994-W41",0,0,0,0,0,0,0,0,0,0
"29","1994-W42",1,1,0,1,0,22,22,0,22,0
"30","1994-W43",0,0,0,0,0,0,0,0,0,0
"31","1994-W44",0,0,0,0,0,0,0,0,0,0
"32","1994-W45",1,0,1,0,1,3,0,3,0,3
"33","1994-W46",0,0,0,0,0,0,0,0,0,0
"34","1994-W47",0,0,0,0,0,0,0,0,0,0
"35","1994-W48",0,0,0,0,0,0,0,0,0,0
"36","1994-W49",0,0,0,0,0,0,0,0,0,0
"37","1994-W50",0,0,0,0,0,0,0,0,0,0
"38","1994-W51",0,0,0,0,0,0,0,0,0,0
"39","1994-W52",0,0,0,0,0,0,0,0,0,0
"40","1995-W01",0,0,0,0,0,0,0,0,0,0
"41","1995-W02",0,0,0,0,0,0,0,0,0,0
"42","1995-W03",0,0,0,0,0,0,0,0,0,0
"43","1995-W04",1,1,0,0,1,21,21,0,0,21
"44","1995-W05",0,0,0,0,0,0,0,0,0,0
"45","1995-W06",0,0,0,0,0,0,0,0,0,0
"46","1995-W07",0,0,0,0,0,0,0,0,0,0
"47","1995-W08",0,0,0,0,0,0,0,0,0,0
"48","1995-W09",0,0,0,0,0,0,0,0,0,0
"49","1995-W10",0,0,0,0,0,0,0,0,0,0
"50","1995-W11",0,0,0,0,0,0,0,0,0,0
"51","1995-W12",0,0,0,0,0,0,0,0,0,0
"52","1995-W13",0,0,0,0,0,0,0,0,0,0
"53","1995-W14",0,0,0,0,0,0,0,0,0,0
"54","1995-W15",1,0,1,1,0,8,0,8,8,0
"55","1995-W16",0,0,0,0,0,0,0,0,0,0
"56","1995-W17",0,0,0,0,0,0,0,0,0,0
"57","1995-W18",0,0,0,0,0,0,0,0,0,0
"58","1995-W19",0,0,0,0,0,0,0,0,0,0
"59","1995-W20",0,0,0,0,0,0,0,0,0,0
"60","1995-W21",0,0,0,0,0,0,0,0,0,0
"61","1995-W22",0,0,0,0,0,0,0,0,0,0
"62","1995-W23",0,0,0,0,0,0,0,0,0,0
"63","1995-W24",0,0,0,0,0,0,0,0,0,0
"64","1995-W25",0,0,0,0,0,0,0,0,0,0
"65","1995-W26",0,0,0,0,0,0,0,0,0,0
"66","1995-W27",0,0,0,0,0,0,0,0,0,0
"67","1995-W28",0,0,0,0,0,0,0,0,0,0
"68","1995-W29",0,0,0,0,0,0,0,0,0,0
"69","1995-W30",1,1,0,1,0,6,6,0,6,0
"70","1995-W31",0,0,0,0,0,0,0,0,0,0
"71","1995-W32",0,0,0,0,0,0,0,0,0,0
"72","1995-W33",0,0,0,0,0,0,0,0,0,0
"73","1995-W34",1,1,0,1,0,4,4,0,4,0
"74","1995-W35",0,0,0,0,0,0,0,0,0,0
"75","1995-W36",0,0,0,0,0,0,0,0,0,0
"76","1995-W37",0,0,0,0,0,0,0,0,0,0
"77","1995-W38",0,0,0,0,0,0,0,0,0,0
"78","1995-W39",0,0,0,0,0,0,0,0,0,0
"79","1995-W40",0,0,0,0,0,0,0,0,0,0
"80","1995-W41",0,0,0,0,0,0,0,0,0,0
"81","1995-W42",0,0,0,0,0,0,0,0,0,0
"82","1995-W43",0,0,0,0,0,0,0,0,0,0
"83","1995-W44",0,0,0,0,0,0,0,0,0,0
"84","1995-W45",0,0,0,0,0,0,0,0,0,0
"85","1995-W46",0,0,0,0,0,0,0,0,0,0
"86","1995-W47",0,0,0,0,0,0,0,0,0,0
"87","1995-W48",0,0,0,0,0,0,0,0,0,0
"88","1995-W49",0,0,0,0,0,0,0,0,0,0
"89","1995-W50",0,0,0,0,0,0,0,0,0,0
"90","1995-W51",0,0,0,0,0,0,0,0,0,0
"91","1995-W52",0,0,0,0,0,0,0,0,0,0
"92","1995-W53",0,0,0,0,0,0,0,0,0,0
"93","1996-W00",0,0,0,0,0,0,0,0,0,0
"94","1996-W01",0,0,0,0,0,0,0,0,0,0
"95","1996-W02",0,0,0,0,0,0,0,0,0,0
"96","1996-W03",0,0,0,0,0,0,0,0,0,0
"97","1996-W04",0,0,0,0,0,0,0,0,0,0
"98","1996-W05",0,0,0,0,0,0,0,0,0,0
"99","1996-W06",0,0,0,0,0,0,0,0,0,0
"100","1996-W07",0,0,0,0,0,0,0,0,0,0
"101","1996-W08",2,2,0,2,0,27,27,0,27,0
"102","1996-W09",2,2,0,2,0,32,32,0,32,0
"103","1996-W10",0,0,0,0,0,0,0,0,0,0
"104","1996-W11",0,0,0,0,0,0,0,0,0,0
"105","1996-W12",0,0,0,0,0,0,0,0,0,0
"106","1996-W13",0,0,0,0,0,0,0,0,0,0
"107","1996-W14",0,0,0,0,0,0,0,0,0,0
"108","1996-W15",0,0,0,0,0,0,0,0,0,0
"109","1996-W16",0,0,0,0,0,0,0,0,0,0
"110","1996-W17",0,0,0,0,0,0,0,0,0,0
"111","1996-W18",0,0,0,0,0,0,0,0,0,0
"112","1996-W19",0,0,0,0,0,0,0,0,0,0
"113","1996-W20",0,0,0,0,0,0,0,0,0,0
"114","1996-W21",0,0,0,0,0,0,0,0,0,0
