"","date","total_killed","total_events_located_IL","total_events_located_yesha","total_events_target_civilian","total_events_target_security_forces","total_attacks","yearweek","week_range"
"1",2000-09-29,1,NA,1,NA,1,1,"2000-W39","2000-09-24 UTC--2000-09-30 UTC"
"2",2000-10-01,1,NA,1,NA,1,1,"2000-W40","2000-10-01 UTC--2000-10-07 UTC"
"3",2000-10-02,1,NA,1,1,NA,1,"2000-W40","2000-10-01 UTC--2000-10-07 UTC"
"4",2000-10-02,1,NA,1,NA,1,1,"2000-W40","2000-10-01 UTC--2000-10-07 UTC"
"5",2000-10-07,1,NA,1,1,NA,1,"2000-W40","2000-10-01 UTC--2000-10-07 UTC"
"6",2000-10-12,2,NA,1,1,NA,1,"2000-W41","2000-10-08 UTC--2000-10-14 UTC"
"7",2000-10-19,1,NA,1,1,NA,1,"2000-W42","2000-10-15 UTC--2000-10-21 UTC"
"8",2000-10-27,1,NA,1,1,NA,1,"2000-W43","2000-10-22 UTC--2000-10-28 UTC"
"9",2000-10-28,1,NA,1,1,NA,1,"2000-W43","2000-10-22 UTC--2000-10-28 UTC"
"10",2000-10-30,1,NA,1,1,NA,1,"2000-W44","2000-10-29 UTC--2000-11-04 UTC"
"11",2000-11-01,1,NA,1,NA,1,1,"2000-W44","2000-10-29 UTC--2000-11-04 UTC"
"12",2000-11-01,2,NA,1,NA,1,1,"2000-W44","2000-10-29 UTC--2000-11-04 UTC"
"13",2000-11-02,2,1,NA,1,NA,1,"2000-W44","2000-10-29 UTC--2000-11-04 UTC"
"14",2000-11-08,1,NA,1,1,NA,1,"2000-W45","2000-11-05 UTC--2000-11-11 UTC"
"15",2000-11-10,1,NA,1,NA,1,1,"2000-W45","2000-11-05 UTC--2000-11-11 UTC"
"16",2000-11-13,1,NA,1,1,NA,1,"2000-W46","2000-11-12 UTC--2000-11-18 UTC"
"17",2000-11-13,3,NA,1,1,NA,1,"2000-W46","2000-11-12 UTC--2000-11-18 UTC"
"18",2000-11-18,2,NA,1,NA,1,1,"2000-W46","2000-11-12 UTC--2000-11-18 UTC"
"19",2000-11-20,2,NA,1,1,NA,1,"2000-W47","2000-11-19 UTC--2000-11-25 UTC"
"20",2000-11-21,1,NA,1,1,NA,1,"2000-W47","2000-11-19 UTC--2000-11-25 UTC"
"21",2000-11-22,2,1,NA,1,NA,1,"2000-W47","2000-11-19 UTC--2000-11-25 UTC"
"22",2000-11-23,1,NA,1,NA,1,1,"2000-W47","2000-11-19 UTC--2000-11-25 UTC"
"23",2000-11-23,1,NA,1,1,NA,1,"2000-W47","2000-11-19 UTC--2000-11-25 UTC"
"24",2000-11-24,1,NA,1,1,NA,1,"2000-W47","2000-11-19 UTC--2000-11-25 UTC"
"25",2000-11-24,1,NA,1,NA,1,1,"2000-W47","2000-11-19 UTC--2000-11-25 UTC"
"26",2000-12-08,2,NA,1,1,NA,1,"2000-W49","2000-12-03 UTC--2000-12-09 UTC"
"27",2000-12-08,1,NA,1,NA,1,1,"2000-W49","2000-12-03 UTC--2000-12-09 UTC"
"28",2000-12-21,1,NA,1,1,NA,1,"2000-W51","2000-12-17 UTC--2000-12-23 UTC"
"29",2000-12-28,2,NA,1,NA,1,1,"2000-W52","2000-12-24 UTC--2000-12-30 UTC"
"30",2000-12-31,2,NA,1,1,NA,1,"2000-W53","2000-12-31 UTC--2001-01-06 UTC"
"31",2001-01-14,1,NA,1,1,NA,1,"2001-W02","2001-01-14 UTC--2001-01-20 UTC"
"32",2001-01-17,1,NA,1,1,NA,1,"2001-W02","2001-01-14 UTC--2001-01-20 UTC"
"33",2001-01-23,2,NA,1,1,NA,1,"2001-W03","2001-01-21 UTC--2001-01-27 UTC"
"34",2001-01-25,1,NA,1,1,NA,1,"2001-W03","2001-01-21 UTC--2001-01-27 UTC"
"35",2001-01-29,1,NA,1,1,NA,1,"2001-W04","2001-01-28 UTC--2001-02-03 UTC"
"36",2001-02-01,1,NA,1,1,NA,1,"2001-W04","2001-01-28 UTC--2001-02-03 UTC"
"37",2001-02-01,1,NA,1,1,NA,1,"2001-W04","2001-01-28 UTC--2001-02-03 UTC"
"38",2001-02-05,1,NA,1,NA,1,1,"2001-W05","2001-02-04 UTC--2001-02-10 UTC"
"39",2001-02-11,1,NA,1,1,NA,1,"2001-W06","2001-02-11 UTC--2001-02-17 UTC"
"40",2001-02-14,1,1,NA,1,NA,1,"2001-W06","2001-02-11 UTC--2001-02-17 UTC"
"41",2001-02-14,7,1,NA,1,NA,1,"2001-W06","2001-02-11 UTC--2001-02-17 UTC"
"42",2001-02-15,1,NA,1,NA,1,1,"2001-W06","2001-02-11 UTC--2001-02-17 UTC"
"43",2001-03-01,1,1,NA,1,NA,1,"2001-W08","2001-02-25 UTC--2001-03-03 UTC"
"44",2001-03-04,3,1,NA,1,NA,1,"2001-W09","2001-03-04 UTC--2001-03-10 UTC"
"45",2001-03-19,1,NA,1,1,NA,1,"2001-W11","2001-03-18 UTC--2001-03-24 UTC"
"46",2001-03-26,1,NA,1,1,NA,1,"2001-W12","2001-03-25 UTC--2001-03-31 UTC"
"47",2001-03-28,2,1,NA,1,NA,1,"2001-W12","2001-03-25 UTC--2001-03-31 UTC"
"48",2001-04-01,1,1,NA,1,NA,1,"2001-W13","2001-04-01 UTC--2001-04-07 UTC"
"49",2001-04-01,1,NA,1,NA,1,1,"2001-W13","2001-04-01 UTC--2001-04-07 UTC"
"50",2001-04-02,1,NA,1,NA,1,1,"2001-W13","2001-04-01 UTC--2001-04-07 UTC"
"51",2001-04-21,1,NA,1,1,NA,1,"2001-W15","2001-04-15 UTC--2001-04-21 UTC"
"52",2001-04-22,1,1,NA,1,NA,1,"2001-W16","2001-04-22 UTC--2001-04-28 UTC"
"53",2001-04-28,1,1,NA,1,NA,1,"2001-W16","2001-04-22 UTC--2001-04-28 UTC"
"54",2001-04-28,1,1,NA,1,NA,1,"2001-W16","2001-04-22 UTC--2001-04-28 UTC"
"55",2001-05-01,1,NA,1,1,NA,1,"2001-W17","2001-04-29 UTC--2001-05-05 UTC"
"56",2001-05-08,1,NA,1,1,NA,1,"2001-W18","2001-05-06 UTC--2001-05-12 UTC"
"57",2001-05-09,2,NA,1,1,NA,1,"2001-W18","2001-05-06 UTC--2001-05-12 UTC"
"58",2001-05-15,1,NA,1,1,NA,1,"2001-W19","2001-05-13 UTC--2001-05-19 UTC"
"59",2001-05-18,5,1,NA,1,NA,1,"2001-W19","2001-05-13 UTC--2001-05-19 UTC"
"60",2001-05-18,1,NA,1,NA,1,1,"2001-W19","2001-05-13 UTC--2001-05-19 UTC"
"61",2001-05-23,1,NA,1,1,NA,1,"2001-W20","2001-05-20 UTC--2001-05-26 UTC"
"62",2001-05-25,1,NA,1,1,NA,1,"2001-W20","2001-05-20 UTC--2001-05-26 UTC"
"63",2001-05-29,1,NA,1,1,NA,1,"2001-W21","2001-05-27 UTC--2001-06-02 UTC"
"64",2001-05-29,2,NA,1,1,NA,1,"2001-W21","2001-05-27 UTC--2001-06-02 UTC"
"65",2001-05-31,1,NA,1,1,NA,1,"2001-W21","2001-05-27 UTC--2001-06-02 UTC"
"66",2001-06-01,19,1,NA,1,NA,1,"2001-W21","2001-05-27 UTC--2001-06-02 UTC"
"67",2001-06-05,1,NA,1,1,NA,1,"2001-W22","2001-06-03 UTC--2001-06-09 UTC"
"68",2001-06-09,1,1,NA,1,NA,1,"2001-W22","2001-06-03 UTC--2001-06-09 UTC"
"69",2001-06-14,1,NA,1,NA,1,1,"2001-W23","2001-06-10 UTC--2001-06-16 UTC"
"70",2001-06-18,1,NA,1,1,NA,1,"2001-W24","2001-06-17 UTC--2001-06-23 UTC"
"71",2001-06-18,1,NA,1,1,NA,1,"2001-W24","2001-06-17 UTC--2001-06-23 UTC"
"72",2001-06-20,1,NA,1,1,NA,1,"2001-W24","2001-06-17 UTC--2001-06-23 UTC"
"73",2001-06-22,2,NA,1,1,NA,1,"2001-W24","2001-06-17 UTC--2001-06-23 UTC"
"74",2001-06-28,1,NA,1,1,NA,1,"2001-W25","2001-06-24 UTC--2001-06-30 UTC"
"75",2001-07-02,1,NA,1,1,NA,1,"2001-W26","2001-07-01 UTC--2001-07-07 UTC"
"76",2001-07-02,1,NA,1,1,NA,1,"2001-W26","2001-07-01 UTC--2001-07-07 UTC"
"77",2001-07-04,1,1,NA,1,NA,1,"2001-W26","2001-07-01 UTC--2001-07-07 UTC"
"78",2001-07-08,1,NA,1,NA,1,1,"2001-W27","2001-07-08 UTC--2001-07-14 UTC"
"79",2001-07-13,2,NA,1,1,NA,1,"2001-W27","2001-07-08 UTC--2001-07-14 UTC"
"80",2001-07-16,2,1,NA,1,NA,1,"2001-W28","2001-07-15 UTC--2001-07-21 UTC"
"81",2001-07-24,1,NA,1,1,NA,1,"2001-W29","2001-07-22 UTC--2001-07-28 UTC"
"82",2001-07-26,1,NA,1,1,NA,1,"2001-W29","2001-07-22 UTC--2001-07-28 UTC"
"83",2001-08-05,1,NA,1,1,NA,1,"2001-W31","2001-08-05 UTC--2001-08-11 UTC"
"84",2001-08-07,1,NA,1,1,NA,1,"2001-W31","2001-08-05 UTC--2001-08-11 UTC"
"85",2001-08-09,1,1,NA,1,NA,1,"2001-W31","2001-08-05 UTC--2001-08-11 UTC"
"86",2001-08-09,13,1,NA,1,NA,1,"2001-W31","2001-08-05 UTC--2001-08-11 UTC"
"87",2001-08-25,3,NA,1,1,NA,1,"2001-W33","2001-08-19 UTC--2001-08-25 UTC"
"88",2001-08-25,3,NA,1,NA,1,1,"2001-W33","2001-08-19 UTC--2001-08-25 UTC"
"89",2001-08-26,1,NA,1,1,NA,1,"2001-W34","2001-08-26 UTC--2001-09-01 UTC"
"90",2001-08-27,1,NA,1,1,NA,1,"2001-W34","2001-08-26 UTC--2001-09-01 UTC"
"91",2001-08-29,1,NA,1,1,NA,1,"2001-W34","2001-08-26 UTC--2001-09-01 UTC"
"92",2001-08-30,1,NA,1,1,NA,1,"2001-W34","2001-08-26 UTC--2001-09-01 UTC"
"93",2001-09-09,2,NA,1,1,NA,1,"2001-W36","2001-09-09 UTC--2001-09-15 UTC"
"94",2001-09-09,3,1,NA,1,NA,1,"2001-W36","2001-09-09 UTC--2001-09-15 UTC"
"95",2001-09-11,2,NA,1,NA,1,1,"2001-W36","2001-09-09 UTC--2001-09-15 UTC"
"96",2001-09-12,1,NA,1,1,NA,1,"2001-W36","2001-09-09 UTC--2001-09-15 UTC"
"97",2001-09-15,1,NA,1,1,NA,1,"2001-W36","2001-09-09 UTC--2001-09-15 UTC"
"98",2001-09-16,1,NA,1,NA,1,1,"2001-W37","2001-09-16 UTC--2001-09-22 UTC"
"99",2001-09-20,1,NA,1,1,NA,1,"2001-W37","2001-09-16 UTC--2001-09-22 UTC"
"100",2001-09-24,1,NA,1,1,NA,1,"2001-W38","2001-09-23 UTC--2001-09-29 UTC"
"101",2001-09-26,1,1,NA,1,NA,1,"2001-W38","2001-09-23 UTC--2001-09-29 UTC"
"102",2001-10-02,2,NA,1,1,NA,1,"2001-W39","2001-09-30 UTC--2001-10-06 UTC"
"103",2001-10-04,3,1,NA,1,NA,1,"2001-W39","2001-09-30 UTC--2001-10-06 UTC"
"104",2001-10-05,1,NA,1,1,NA,1,"2001-W39","2001-09-30 UTC--2001-10-06 UTC"
"105",2001-10-07,1,1,NA,1,NA,1,"2001-W40","2001-10-07 UTC--2001-10-13 UTC"
"106",2001-10-17,1,NA,1,1,NA,1,"2001-W41","2001-10-14 UTC--2001-10-20 UTC"
"107",2001-10-18,1,NA,1,1,NA,1,"2001-W41","2001-10-14 UTC--2001-10-20 UTC"
