"","yearweek"
"1","1994-W14"
"2","1994-W15"
"3","1994-W16"
"4","1994-W17"
"5","1994-W18"
"6","1994-W19"
"7","1994-W20"
"8","1994-W21"
"9","1994-W22"
"10","1994-W23"
"11","1994-W24"
"12","1994-W25"
"13","1994-W26"
"14","1994-W27"
"15","1994-W28"
"16","1994-W29"
"17","1994-W30"
"18","1994-W31"
"19","1994-W32"
"20","1994-W33"
"21","1994-W34"
"22","1994-W35"
"23","1994-W36"
"24","1994-W37"
"25","1994-W38"
"26","1994-W39"
"27","1994-W40"
"28","1994-W41"
"29","1994-W42"
"30","1994-W43"
"31","1994-W44"
"32","1994-W45"
"33","1994-W46"
"34","1994-W47"
"35","1994-W48"
"36","1994-W49"
"37","1994-W50"
"38","1994-W51"
"39","1994-W52"
"40","1995-W01"
"41","1995-W02"
"42","1995-W03"
"43","1995-W04"
"44","1995-W05"
"45","1995-W06"
"46","1995-W07"
"47","1995-W08"
"48","1995-W09"
"49","1995-W10"
"50","1995-W11"
"51","1995-W12"
"52","1995-W13"
"53","1995-W14"
"54","1995-W15"
"55","1995-W16"
"56","1995-W17"
"57","1995-W18"
"58","1995-W19"
"59","1995-W20"
"60","1995-W21"
"61","1995-W22"
"62","1995-W23"
"63","1995-W24"
"64","1995-W25"
"65","1995-W26"
"66","1995-W27"
"67","1995-W28"
"68","1995-W29"
"69","1995-W30"
"70","1995-W31"
"71","1995-W32"
"72","1995-W33"
"73","1995-W34"
"74","1995-W35"
"75","1995-W36"
"76","1995-W37"
"77","1995-W38"
"78","1995-W39"
"79","1995-W40"
"80","1995-W41"
"81","1995-W42"
"82","1995-W43"
"83","1995-W44"
"84","1995-W45"
"85","1995-W46"
"86","1995-W47"
"87","1995-W48"
"88","1995-W49"
"89","1995-W50"
"90","1995-W51"
"91","1995-W52"
"92","1995-W53"
"93","1996-W00"
"94","1996-W01"
"95","1996-W02"
"96","1996-W03"
"97","1996-W04"
"98","1996-W05"
"99","1996-W06"
"100","1996-W07"
"101","1996-W08"
"102","1996-W09"
"103","1996-W10"
"104","1996-W11"
"105","1996-W12"
"106","1996-W13"
"107","1996-W14"
"108","1996-W15"
"109","1996-W16"
"110","1996-W17"
"111","1996-W18"
"112","1996-W19"
"113","1996-W20"
"114","1996-W21"
"115","1996-W22"
"116","1996-W23"
"117","1996-W24"
"118","1996-W25"
"119","1996-W26"
"120","1996-W27"
"121","1996-W28"
"122","1996-W29"
"123","1996-W30"
"124","1996-W31"
"125","1996-W32"
"126","1996-W33"
"127","1996-W34"
"128","1996-W35"
"129","1996-W36"
"130","1996-W37"
"131","1996-W38"
"132","1996-W39"
"133","1996-W40"
"134","1996-W41"
"135","1996-W42"
"136","1996-W43"
"137","1996-W44"
"138","1996-W45"
"139","1996-W46"
"140","1996-W47"
"141","1996-W48"
"142","1996-W49"
"143","1996-W50"
"144","1996-W51"
"145","1996-W52"
"146","1997-W00"
"147","1997-W01"
"148","1997-W02"
"149","1997-W03"
"150","1997-W04"
"151","1997-W05"
"152","1997-W06"
"153","1997-W07"
"154","1997-W08"
"155","1997-W09"
"156","1997-W10"
"157","1997-W11"
"158","1997-W12"
"159","1997-W13"
"160","1997-W14"
"161","1997-W15"
"162","1997-W16"
"163","1997-W17"
"164","1997-W18"
"165","1997-W19"
"166","1997-W20"
"167","1997-W21"
"168","1997-W22"
"169","1997-W23"
"170","1997-W24"
"171","1997-W25"
"172","1997-W26"
"173","1997-W27"
"174","1997-W28"
"175","1997-W29"
"176","1997-W30"
"177","1997-W31"
"178","1997-W32"
"179","1997-W33"
"180","1997-W34"
"181","1997-W35"
"182","1997-W36"
"183","1997-W37"
"184","1997-W38"
"185","1997-W39"
"186","1997-W40"
"187","1997-W41"
"188","1997-W42"
"189","1997-W43"
"190","1997-W44"
"191","1997-W45"
"192","1997-W46"
"193","1997-W47"
"194","1997-W48"
"195","1997-W49"
"196","1997-W50"
"197","1997-W51"
"198","1997-W52"
"199","1998-W00"
"200","1998-W01"
"201","1998-W02"
"202","1998-W03"
"203","1998-W04"
"204","1998-W05"
"205","1998-W06"
"206","1998-W07"
"207","1998-W08"
"208","1998-W09"
"209","1998-W10"
"210","1998-W11"
"211","1998-W12"
"212","1998-W13"
"213","1998-W14"
"214","1998-W15"
"215","1998-W16"
"216","1998-W17"
"217","1998-W18"
"218","1998-W19"
"219","1998-W20"
"220","1998-W21"
"221","1998-W22"
"222","1998-W23"
"223","1998-W24"
"224","1998-W25"
"225","1998-W26"
"226","1998-W27"
"227","1998-W28"
"228","1998-W29"
"229","1998-W30"
"230","1998-W31"
"231","1998-W32"
"232","1998-W33"
"233","1998-W34"
"234","1998-W35"
"235","1998-W36"
"236","1998-W37"
"237","1998-W38"
"238","1998-W39"
"239","1998-W40"
"240","1998-W41"
"241","1998-W42"
"242","1998-W43"
"243","1998-W44"
"244","1998-W45"
"245","1998-W46"
"246","1998-W47"
"247","1998-W48"
"248","1998-W49"
"249","1998-W50"
"250","1998-W51"
"251","1998-W52"
"252","1999-W00"
"253","1999-W01"
"254","1999-W02"
"255","1999-W03"
"256","1999-W04"
"257","1999-W05"
"258","1999-W06"
"259","1999-W07"
"260","1999-W08"
"261","1999-W09"
"262","1999-W10"
"263","1999-W11"
"264","1999-W12"
"265","1999-W13"
"266","1999-W14"
"267","1999-W15"
"268","1999-W16"
"269","1999-W17"
"270","1999-W18"
"271","1999-W19"
"272","1999-W20"
"273","1999-W21"
"274","1999-W22"
"275","1999-W23"
"276","1999-W24"
"277","1999-W25"
"278","1999-W26"
"279","1999-W27"
"280","1999-W28"
"281","1999-W29"
"282","1999-W30"
"283","1999-W31"
"284","1999-W32"
"285","1999-W33"
"286","1999-W34"
"287","1999-W35"
"288","1999-W36"
"289","1999-W37"
"290","1999-W38"
"291","1999-W39"
"292","1999-W40"
"293","1999-W41"
"294","1999-W42"
"295","1999-W43"
"296","1999-W44"
"297","1999-W45"
"298","1999-W46"
"299","1999-W47"
"300","1999-W48"
"301","1999-W49"
"302","1999-W50"
"303","1999-W51"
"304","1999-W52"
"305","2000-W00"
"306","2000-W01"
"307","2000-W02"
"308","2000-W03"
"309","2000-W04"
"310","2000-W05"
"311","2000-W06"
"312","2000-W07"
"313","2000-W08"
"314","2000-W09"
"315","2000-W10"
"316","2000-W11"
"317","2000-W12"
"318","2000-W13"
"319","2000-W14"
"320","2000-W15"
"321","2000-W16"
"322","2000-W17"
"323","2000-W18"
"324","2000-W19"
"325","2000-W20"
"326","2000-W21"
"327","2000-W22"
"328","2000-W23"
"329","2000-W24"
"330","2000-W25"
"331","2000-W26"
"332","2000-W27"
"333","2000-W28"
"334","2000-W29"
"335","2000-W30"
"336","2000-W31"
"337","2000-W32"
"338","2000-W33"
"339","2000-W34"
"340","2000-W35"
"341","2000-W36"
"342","2000-W37"
"343","2000-W38"
"344","2000-W39"
"345","2000-W40"
"346","2000-W41"
"347","2000-W42"
"348","2000-W43"
"349","2000-W44"
"350","2000-W45"
"351","2000-W46"
"352","2000-W47"
"353","2000-W48"
"354","2000-W49"
"355","2000-W50"
"356","2000-W51"
"357","2000-W52"
"358","2000-W53"
"359","2001-W00"
"360","2001-W01"
