"","yearweek","q3","q1","q2","survey_date","total_attacks","attacks_located_IL","attacks_located_yesha","attacks_target_civilian","attacks_target_security_forces","total_killed","killed_located_IL","killed_located_yesha","killed_target_civilian","killed_target_security_forces","intifada","temperature","mean(humidity)","FO_total_attacks","FO_attacks_located_IL","FO_attacks_located_yesha","FO_attacks_target_civilian","FO_attacks_target_security_forces","FO_total_killed","FO_killed_located_IL","FO_killed_located_yesha","FO_killed_target_civilian","FO_killed_target_security_forces"
"1","1994-W14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.08035714,64.51785714,1,1,0,1,0,8,8,0,8,0
"2","1994-W15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.90714286,65.03571429,1,1,0,1,0,5,5,0,5,0
"3","1994-W16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.11071429,49.42857143,0,0,0,0,0,0,0,0,0,0
"4","1994-W17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.23571429,68.08928571,0,0,0,0,0,0,0,0,0,0
"5","1994-W18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.34464286,64.21428571,0,0,0,0,0,0,0,0,0,0
"6","1994-W19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.68545455,61.50909091,0,0,0,0,0,0,0,0,0,0
"7","1994-W20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.1,66.375,0,0,0,0,0,0,0,0,0,0
"8","1994-W21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.99285714,63.98214286,0,0,0,0,0,0,0,0,0,0
"9","1994-W22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.22678571,69.96428571,0,0,0,0,0,0,0,0,0,0
"10","1994-W23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.74821429,61.28571429,0,0,0,0,0,0,0,0,0,0
"11","1994-W24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.79107143,67.625,0,0,0,0,0,0,0,0,0,0
"12","1994-W25",NA,2.888671875,NA,"22/06/1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.82857143,69.60714286,0,0,0,0,0,0,0,0,0,0
"13","1994-W26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.66071429,67.89285714,0,0,0,0,0,0,0,0,0,0
"14","1994-W27",NA,2.836575875,NA,"07/07/1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.55357143,73.17857143,0,0,0,0,0,0,0,0,0,0
"15","1994-W28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.05,67.53571429,0,0,0,0,0,0,0,0,0,0
"16","1994-W29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.96964286,71.71428571,0,0,0,0,0,0,0,0,0,0
"17","1994-W30",NA,2.859126984,NA,"24/07/1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.31785714,66.875,0,0,0,0,0,0,0,0,0,0
"18","1994-W31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.83392857,67.64285714,0,0,0,0,0,0,0,0,0,0
"19","1994-W32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.96964286,71.875,0,0,0,0,0,0,0,0,0,0
"20","1994-W33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.71071429,72.5,0,0,0,0,0,0,0,0,0,0
"21","1994-W34",NA,2.747011952,NA,"24/08/1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.25,74.375,0,0,0,0,0,0,0,0,0,0
