"yearweek","q3","q1","q2","survey_date","total_attacks","attacks_located_IL","attacks_located_yesha","attacks_target_civilian","attacks_target_security_forces","total_killed","killed_located_IL","killed_located_yesha","killed_target_civilian","killed_target_security_forces","intifada","mean(temperature)","mean(humidity)","week_range"
"2001-W30",2.19284294234592,3.14115308151093,3.62226640159046,2001-07-31,0,0,0,0,0,0,0,0,0,0,1,27.4660714285714,68.5357142857143,NA
"2001-W31",NA,NA,NA,NA,4,2,2,4,0,16,14,2,16,0,1,28.15,72.3392857142857,"2001-08-05 UTC--2001-08-11 UTC"
"2001-W32",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,27.9875,67.8392857142857,NA
"2001-W33",NA,NA,NA,NA,2,0,2,1,1,6,0,6,3,3,1,27.1625,65.5357142857143,"2001-08-19 UTC--2001-08-25 UTC"
"2001-W34",2.38627450980392,3.37843137254902,3.86666666666667,2001-08-30,4,0,4,4,0,4,0,4,4,0,1,27.2071428571429,68.1785714285714,"2001-08-26 UTC--2001-09-01 UTC"
"2001-W35",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,27.4839285714286,65.2321428571429,NA
"2001-W36",NA,NA,NA,NA,5,1,4,4,1,9,3,6,7,2,1,26.0589285714286,61.875,"2001-09-09 UTC--2001-09-15 UTC"
"2001-W37",NA,NA,NA,NA,2,0,2,1,1,2,0,2,1,1,1,25.0946428571429,67.8214285714286,"2001-09-16 UTC--2001-09-22 UTC"
"2001-W38",2.28458498023715,3.26679841897233,3.95256916996047,2001-09-26,2,1,1,2,0,2,1,1,2,0,1,25.3375,68.9821428571429,"2001-09-23 UTC--2001-09-29 UTC"
"2001-W39",NA,NA,NA,NA,3,1,2,3,0,6,3,3,6,0,1,24.5339285714286,63.5,"2001-09-30 UTC--2001-10-06 UTC"
"2001-W40",NA,NA,NA,NA,1,1,0,1,0,1,1,0,1,0,1,25.0545454545455,71.7636363636364,"2001-10-07 UTC--2001-10-13 UTC"
"2001-W41",NA,NA,NA,NA,2,0,2,2,0,2,0,2,2,0,1,23.6696428571429,65.9464285714286,"2001-10-14 UTC--2001-10-20 UTC"
"2001-W42",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,21.9803571428571,69.3928571428571,NA
"2001-W43",2.15079365079365,3.1547619047619,3.79761904761905,2001-10-31,3,2,1,2,1,6,5,1,5,1,1,20.1482142857143,65.7321428571429,"2001-10-28 UTC--2001-11-03 UTC"
"2001-W44",NA,NA,NA,NA,3,0,3,2,1,4,0,4,3,1,1,19.6571428571429,70.0892857142857,"2001-11-04 UTC--2001-11-10 UTC"
"2001-W45",NA,NA,NA,NA,1,1,0,1,0,1,1,0,1,0,1,20.0517857142857,63.5714285714286,"2001-11-11 UTC--2001-11-17 UTC"
"2001-W46",NA,NA,NA,NA,1,0,1,1,0,1,0,1,1,0,1,15.1464285714286,62.6071428571429,"2001-11-18 UTC--2001-11-24 UTC"
"2001-W47",2.1779497098646,3.03288201160542,3.77369439071567,2001-11-29,5,3,2,3,2,18,16,2,14,4,1,16.4839285714286,70.5,"2001-11-25 UTC--2001-12-01 UTC"
"2001-W48",NA,NA,NA,NA,2,1,1,2,0,15,14,1,15,0,1,15.1517857142857,64.1071428571429,"2001-12-02 UTC--2001-12-08 UTC"
"2001-W49",NA,NA,NA,NA,1,0,1,1,0,10,0,10,10,0,1,14.5464285714286,73.625,"2001-12-09 UTC--2001-12-15 UTC"
"2001-W50",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,12.3892857142857,73.6964285714286,NA
"2001-W51",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,14.7517857142857,73.3392857142857,NA
"2001-W52",2.18503937007874,3.14370078740157,3.70472440944882,2001-12-31,0,0,0,0,0,0,0,0,0,0,1,12.95625,65.4375,NA
"2002-W00",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,12.8025,62.05,NA
"2002-W01",NA,NA,NA,NA,1,1,0,1,0,4,4,0,4,0,1,9.34285714285714,76.0178571428571,"2002-01-06 UTC--2002-01-12 UTC"
"2002-W02",NA,NA,NA,NA,4,1,3,3,1,9,6,3,8,1,1,11.1607142857143,68.8035714285714,"2002-01-13 UTC--2002-01-19 UTC"
"2002-W03",NA,NA,NA,NA,1,1,0,1,0,2,2,0,2,0,1,11.8357142857143,69.5178571428571,"2002-01-20 UTC--2002-01-26 UTC"
"2002-W04",2.27380952380952,3.19444444444444,3.85912698412698,2002-01-31,1,1,0,1,0,1,1,0,1,0,1,12.675,71.4285714285714,"2002-01-27 UTC--2002-02-02 UTC"
"2002-W05",NA,NA,NA,NA,3,1,2,3,0,5,1,4,5,0,1,14.9178571428571,60.2142857142857,"2002-02-03 UTC--2002-02-09 UTC"
"2002-W06",NA,NA,NA,NA,3,1,2,2,1,8,2,6,5,3,1,14.1392857142857,77.7321428571429,"2002-02-10 UTC--2002-02-16 UTC"
"2002-W07",NA,NA,NA,NA,4,0,4,2,2,11,0,11,2,9,1,13.7,60.9464285714286,"2002-02-17 UTC--2002-02-23 UTC"
"2002-W08",2.09375,3.140625,3.728515625,2002-02-28,7,1,6,5,2,18,11,7,16,2,1,14.3875,64.9285714285714,"2002-02-24 UTC--2002-03-02 UTC"
"2002-W09",NA,NA,NA,NA,11,6,5,7,4,35,17,18,22,13,1,17.6411764705882,63.8235294117647,"2002-03-03 UTC--2002-03-09 UTC"
"2002-W10",NA,NA,NA,NA,4,0,4,2,2,6,0,6,2,4,1,18.2711538461538,62.9615384615385,"2002-03-10 UTC--2002-03-16 UTC"
"2002-W11",NA,NA,NA,NA,4,3,1,3,1,12,11,1,11,1,1,16.8207547169811,72.2641509433962,"2002-03-17 UTC--2002-03-23 UTC"
"2002-W12",1.97821782178218,3.06336633663366,3.67128712871287,2002-03-25,9,4,5,7,2,41,31,10,38,3,1,15.0196078431373,63.6078431372549,"2002-03-24 UTC--2002-03-30 UTC"
"2002-W13",NA,NA,NA,NA,7,2,5,3,4,26,16,10,17,9,1,17,61.6666666666667,"2002-03-31 UTC--2002-04-06 UTC"
"2002-W14",NA,NA,NA,NA,5,2,3,3,2,29,12,17,13,16,1,17.0901960784314,65.3333333333333,"2002-04-07 UTC--2002-04-13 UTC"
"2002-W15",NA,NA,NA,NA,1,0,1,1,0,1,0,1,1,0,1,21.1732142857143,55.7142857142857,"2002-04-14 UTC--2002-04-20 UTC"
"2002-W16",NA,3.34262948207171,3.83266932270916,2002-04-25,2,0,2,1,1,5,0,5,4,1,1,17.6928571428571,66.9642857142857,"2002-04-21 UTC--2002-04-27 UTC"
"2002-W17",NA,NA,NA,NA,1,0,1,0,1,1,0,1,0,1,1,17.811320754717,71.4716981132076,"2002-04-28 UTC--2002-05-04 UTC"
"2002-W18",NA,NA,NA,NA,1,1,0,1,0,15,15,0,15,0,1,20.0839285714286,67.2142857142857,"2002-05-05 UTC--2002-05-11 UTC"
"2002-W19",NA,NA,NA,NA,1,0,1,1,0,1,0,1,1,0,1,21.2535714285714,65.5892857142857,"2002-05-12 UTC--2002-05-18 UTC"
"2002-W20",NA,NA,NA,NA,3,2,1,2,1,6,5,1,5,1,1,21.3071428571429,68.6607142857143,"2002-05-19 UTC--2002-05-25 UTC"
"2002-W21",2.18181818181818,3.29051383399209,3.92094861660079,2002-05-31,3,1,2,3,0,6,2,4,6,0,1,22.5642857142857,69.75,"2002-05-26 UTC--2002-06-01 UTC"
"2002-W22",NA,NA,NA,NA,3,1,2,3,0,21,17,4,21,0,1,24.5089285714286,59.1071428571429,"2002-06-02 UTC--2002-06-08 UTC"
"2002-W23",NA,NA,NA,NA,2,1,1,1,1,4,1,3,1,3,1,25.5946428571429,66.25,"2002-06-09 UTC--2002-06-15 UTC"
"2002-W24",NA,NA,NA,NA,4,1,3,3,1,32,19,13,30,2,1,24.7288461538462,70.7115384615385,"2002-06-16 UTC--2002-06-22 UTC"
"2002-W25",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,25.4839285714286,70.5535714285714,NA
"2002-W26",2.32335329341317,3.23552894211577,3.66467065868263,2002-06-30,0,0,0,0,0,0,0,0,0,0,1,26.4472727272727,72.7090909090909,NA
"2002-W27",NA,NA,NA,NA,1,0,1,0,1,1,0,1,0,1,1,27.0946428571429,68.625,"2002-07-07 UTC--2002-07-13 UTC"
"2002-W28",NA,NA,NA,NA,3,1,2,2,1,12,2,10,11,1,1,28.1017857142857,73.4821428571429,"2002-07-14 UTC--2002-07-20 UTC"
