"date","date1","survey_year","oslosp","oslobl","negot_sp","negot_bl","peacesp","peacebl","gender","age","age_range","educ","political_spectrum","relig","incom"
2018-11-28,292,2018,NA,NA,3,3,NA,NA,1,NA,2,4,27,1,2
2018-11-28,292,2018,NA,NA,3,4,NA,NA,2,NA,5,2,27,3,4
2018-11-28,292,2018,NA,NA,1,3,NA,NA,2,NA,7,1,8,1,1
2018-11-28,292,2018,NA,NA,2,3,NA,NA,1,NA,7,5,29,1,4
2018-11-28,292,2018,NA,NA,3,3,NA,NA,1,NA,2,3,29,1,4
2018-11-28,292,2018,NA,NA,1,4,NA,NA,2,NA,2,3,29,1,3
2018-11-28,292,2018,NA,NA,2,3,NA,NA,2,NA,4,5,29,1,6
2018-11-28,292,2018,NA,NA,2,3,NA,NA,2,NA,5,2,29,3,2
2018-11-28,292,2018,NA,NA,4,3,NA,NA,2,NA,5,5,29,3,1
2018-11-28,292,2018,NA,NA,5,3,NA,NA,2,NA,7,6,29,2,4
2018-11-28,292,2018,NA,NA,2,3,NA,NA,2,NA,7,3,29,1,6
2018-11-28,292,2018,NA,NA,2,3,NA,NA,1,NA,7,5,29,1,3
2018-11-28,292,2018,NA,NA,1,3,NA,NA,2,NA,7,5,9,1,3
2018-11-28,292,2018,NA,NA,2,3,NA,NA,1,NA,7,6,9,2,5
2018-11-28,292,2018,NA,NA,5,5,NA,NA,1,NA,7,5,2,2,6
2018-11-28,292,2018,NA,NA,2,3,NA,NA,1,NA,3,5,3,1,5
2018-11-28,292,2018,NA,NA,3,3,NA,NA,1,NA,3,5,2,1,6
2018-11-28,292,2018,NA,NA,5,3,NA,NA,1,NA,4,3,27,1,1
2018-11-28,292,2018,NA,NA,5,4,NA,NA,2,NA,4,6,2,4,4
2018-11-28,292,2018,NA,NA,4,4,NA,NA,2,NA,7,4,7,5,6
2018-11-28,292,2018,NA,NA,2,4,NA,NA,2,NA,2,3,2,2,1
2018-11-28,292,2018,NA,NA,5,4,NA,NA,2,NA,3,6,27,3,3
2018-11-28,292,2018,NA,NA,4,4,NA,NA,2,NA,3,5,16,4,6
2018-11-28,292,2018,NA,NA,1,3,NA,NA,2,NA,3,5,27,4,1
2018-11-28,292,2018,NA,NA,2,2,NA,NA,2,NA,4,3,1,1,3
2018-11-28,292,2018,NA,NA,5,4,NA,NA,2,NA,3,2,5,3,2
2018-11-28,292,2018,NA,NA,2,2,NA,NA,1,NA,6,4,2,3,3
2018-11-28,292,2018,NA,NA,4,4,NA,NA,2,NA,2,3,28,5,1
2018-11-28,292,2018,NA,NA,2,4,NA,NA,2,NA,7,3,29,3,1
2018-11-28,292,2018,NA,NA,3,4,NA,NA,2,NA,3,5,5,2,1
2018-11-28,292,2018,NA,NA,2,3,NA,NA,1,NA,4,5,1,1,3
2018-11-28,292,2018,NA,NA,2,2,NA,NA,2,NA,6,6,6,1,4
2018-11-28,292,2018,NA,NA,4,4,NA,NA,2,NA,3,5,16,4,4
2018-11-28,292,2018,NA,NA,5,3,NA,NA,1,NA,6,5,9,2,3
2018-11-28,292,2018,NA,NA,4,4,NA,NA,2,NA,3,5,4,4,6
2018-11-28,292,2018,NA,NA,4,4,NA,NA,2,NA,3,2,29,5,1
2018-11-28,292,2018,NA,NA,2,3,NA,NA,2,NA,4,4,10,5,3
2018-11-28,292,2018,NA,NA,2,2,NA,NA,1,NA,6,5,1,2,4
2018-11-28,292,2018,NA,NA,2,3,NA,NA,1,NA,3,3,2,1,3
2018-11-28,292,2018,NA,NA,2,2,NA,NA,2,NA,7,4,8,2,4
2018-11-28,292,2018,NA,NA,1,3,NA,NA,2,NA,7,3,8,1,5
2018-11-28,292,2018,NA,NA,2,3,NA,NA,2,NA,7,4,8,1,6
2018-11-28,292,2018,NA,NA,1,3,NA,NA,1,NA,7,3,8,2,3
2018-11-28,292,2018,NA,NA,2,4,NA,NA,2,NA,6,5,8,1,3
2018-11-28,292,2018,NA,NA,3,3,NA,NA,2,NA,4,5,1,2,4
2018-11-28,292,2018,NA,NA,2,3,NA,NA,1,NA,2,3,1,1,3
2018-11-28,292,2018,NA,NA,2,3,NA,NA,1,NA,5,5,1,1,6
2018-11-28,292,2018,NA,NA,4,4,NA,NA,1,NA,3,4,8,2,3
2018-11-28,292,2018,NA,NA,3,4,NA,NA,2,NA,4,4,7,5,3
2018-11-28,292,2018,NA,NA,1,2,NA,NA,1,NA,7,5,1,1,2
2018-11-28,292,2018,NA,NA,1,3,NA,NA,2,NA,7,5,8,1,5
2018-11-28,292,2018,NA,NA,1,1,NA,NA,2,NA,7,3,6,1,5
2018-11-28,292,2018,NA,NA,1,2,NA,NA,2,NA,7,5,1,1,6
2018-11-28,292,2018,NA,NA,1,2,NA,NA,1,NA,7,1,6,1,3
2018-11-28,292,2018,NA,NA,2,3,NA,NA,1,NA,4,3,6,1,4
2018-11-28,292,2018,NA,NA,2,2,NA,NA,2,NA,4,6,29,4,4
2018-11-28,292,2018,NA,NA,3,3,NA,NA,1,NA,4,4,2,4,1
2018-11-28,292,2018,NA,NA,2,3,NA,NA,2,NA,3,5,9,3,2
2018-11-28,292,2018,NA,NA,5,4,NA,NA,2,NA,4,3,4,4,2
2018-11-28,292,2018,NA,NA,4,4,NA,NA,2,NA,3,5,2,3,3
2018-11-28,292,2018,NA,NA,5,4,NA,NA,2,NA,5,4,5,4,1
2018-11-28,292,2018,NA,NA,4,4,NA,NA,2,NA,5,6,29,4,4
