"date","date1","survey_year","oslosp","oslobl","negot_sp","negot_bl","peacesp","peacebl","gender","age","age_range","educ","political_spectrum","relig","incom"
2017-09-27,278,2017,NA,NA,2,3,NA,NA,2,NA,3,6,12,1,4
2017-09-27,278,2017,NA,NA,1,3,NA,NA,2,NA,3,3,27,1,4
2017-09-27,278,2017,NA,NA,1,2,NA,NA,2,NA,4,4,27,1,1
2017-09-27,278,2017,NA,NA,3,4,NA,NA,2,NA,4,5,2,1,2
2017-09-27,278,2017,NA,NA,2,3,NA,NA,2,NA,4,5,27,1,2
2017-09-27,278,2017,NA,NA,1,1,NA,NA,1,NA,3,6,6,1,3
2017-09-27,278,2017,NA,NA,3,4,NA,NA,2,NA,2,3,27,1,2
2017-09-27,278,2017,NA,NA,2,2,NA,NA,2,NA,3,4,26,2,3
2017-09-27,278,2017,NA,NA,1,3,NA,NA,1,NA,4,6,2,3,5
2017-09-27,278,2017,NA,NA,3,4,NA,NA,2,NA,3,6,5,1,4
2017-09-27,278,2017,NA,NA,4,4,NA,NA,2,NA,2,5,3,1,5
2017-09-27,278,2017,NA,NA,2,4,NA,NA,2,NA,4,5,3,1,4
2017-09-27,278,2017,NA,NA,4,4,NA,NA,2,NA,3,4,5,1,4
2017-09-27,278,2017,NA,NA,2,4,NA,NA,1,NA,4,5,27,1,4
2017-09-27,278,2017,NA,NA,2,3,NA,NA,2,NA,3,5,1,1,2
2017-09-27,278,2017,NA,NA,2,3,NA,NA,1,NA,3,5,30,1,4
2017-09-27,278,2017,NA,NA,2,3,NA,NA,1,NA,3,4,1,1,4
2017-09-27,278,2017,NA,NA,5,5,NA,NA,2,NA,3,4,8,1,4
2017-09-27,278,2017,NA,NA,2,3,NA,NA,2,NA,4,5,2,1,3
2017-09-27,278,2017,NA,NA,4,4,NA,NA,2,NA,4,5,2,1,4
2017-09-27,278,2017,NA,NA,1,4,NA,NA,1,NA,3,4,3,1,3
2017-09-27,278,2017,NA,NA,2,3,NA,NA,2,NA,4,6,27,1,4
2017-09-27,278,2017,NA,NA,3,3,NA,NA,2,NA,3,5,5,2,3
2017-09-27,278,2017,NA,NA,3,4,NA,NA,1,NA,3,4,12,2,2
2017-09-27,278,2017,NA,NA,3,3,NA,NA,1,NA,4,5,12,2,4
2017-09-27,278,2017,NA,NA,3,3,NA,NA,1,NA,4,5,8,2,3
2017-09-27,278,2017,NA,NA,3,4,NA,NA,1,NA,4,2,2,2,1
2017-09-27,278,2017,NA,NA,2,2,NA,NA,1,NA,3,5,18,3,5
2017-09-27,278,2017,NA,NA,2,4,NA,NA,1,NA,6,5,5,1,3
2017-09-27,278,2017,NA,NA,5,4,NA,NA,2,NA,7,1,8,1,3
2017-09-27,278,2017,NA,NA,1,3,NA,NA,2,NA,7,6,6,1,4
2017-09-27,278,2017,NA,NA,1,2,NA,NA,2,NA,4,5,1,1,3
2017-09-27,278,2017,NA,NA,1,2,NA,NA,2,NA,6,5,5,4,3
2017-09-27,278,2017,NA,NA,5,5,NA,NA,2,NA,7,4,9,1,4
2017-09-27,278,2017,NA,NA,3,3,NA,NA,1,NA,7,4,5,4,2
2017-09-27,278,2017,NA,NA,1,3,NA,NA,2,NA,7,5,1,1,4
2017-09-27,278,2017,NA,NA,1,1,NA,NA,2,NA,5,6,1,1,4
2017-09-27,278,2017,NA,NA,1,2,NA,NA,2,NA,7,5,1,1,4
2017-09-27,278,2017,NA,NA,3,4,NA,NA,2,NA,7,4,2,1,2
2017-09-27,278,2017,NA,NA,1,1,NA,NA,2,NA,7,3,29,1,1
2017-09-27,278,2017,NA,NA,2,4,NA,NA,2,NA,3,5,2,3,3
2017-09-27,278,2017,NA,NA,2,2,NA,NA,2,NA,5,5,8,1,4
2017-09-27,278,2017,NA,NA,4,4,NA,NA,2,NA,7,1,2,3,1
2017-09-27,278,2017,NA,NA,3,4,NA,NA,2,NA,4,5,4,5,6
2017-09-27,278,2017,NA,NA,2,2,NA,NA,2,NA,6,6,29,2,4
2017-09-27,278,2017,NA,NA,4,4,NA,NA,2,NA,6,6,2,2,2
2017-09-27,278,2017,NA,NA,2,2,NA,NA,2,NA,6,5,1,1,4
2017-09-27,278,2017,NA,NA,5,5,NA,NA,1,NA,7,6,16,1,4
2017-09-27,278,2017,NA,NA,2,3,NA,NA,1,NA,6,5,27,2,1
2017-09-27,278,2017,NA,NA,1,3,NA,NA,1,NA,7,4,2,4,2
2017-09-27,278,2017,NA,NA,3,3,NA,NA,2,NA,3,5,2,3,3
2017-09-27,278,2017,NA,NA,1,4,NA,NA,2,NA,7,3,2,4,1
2017-09-27,278,2017,NA,NA,2,3,NA,NA,1,NA,6,5,1,1,4
2017-09-27,278,2017,NA,NA,2,3,NA,NA,2,NA,6,4,2,2,6
2017-09-27,278,2017,NA,NA,4,4,NA,NA,2,NA,6,4,27,4,2
2017-09-27,278,2017,NA,NA,3,3,NA,NA,2,NA,6,3,2,3,2
2017-09-27,278,2017,NA,NA,4,4,NA,NA,2,NA,4,5,5,4,3
2017-09-27,278,2017,NA,NA,2,4,NA,NA,2,NA,6,2,2,1,2
2017-09-27,278,2017,NA,NA,2,3,NA,NA,2,NA,7,5,1,1,5
2017-09-27,278,2017,NA,NA,1,5,NA,NA,1,NA,7,5,8,1,4
2017-09-27,278,2017,NA,NA,1,2,NA,NA,1,NA,3,4,11,1,4
2017-09-27,278,2017,NA,NA,1,1,NA,NA,2,NA,7,6,6,1,5
2017-09-27,278,2017,NA,NA,2,3,NA,NA,1,NA,7,2,9,2,6
2017-09-27,278,2017,NA,NA,2,4,NA,NA,2,NA,7,3,8,1,1
2017-09-27,278,2017,NA,NA,5,3,NA,NA,2,NA,7,1,2,1,2
2017-09-27,278,2017,NA,NA,1,2,NA,NA,1,NA,3,7,7,5,6
2017-09-27,278,2017,NA,NA,1,1,NA,NA,1,NA,7,2,2,2,1
2017-09-27,278,2017,NA,NA,2,2,NA,NA,2,NA,7,6,1,1,6
2017-09-27,278,2017,NA,NA,1,2,NA,NA,2,NA,7,6,27,1,3
2017-09-27,278,2017,NA,NA,1,2,NA,NA,2,NA,5,3,2,3,1
2017-09-27,278,2017,NA,NA,1,3,NA,NA,2,NA,7,6,8,1,1
2017-09-27,278,2017,NA,NA,2,2,NA,NA,2,NA,6,3,27,1,6
2017-09-27,278,2017,NA,NA,1,3,NA,NA,2,NA,6,5,2,2,4
2017-09-27,278,2017,NA,NA,1,5,NA,NA,1,NA,7,3,8,2,4
2017-09-27,278,2017,NA,NA,1,3,NA,NA,2,NA,5,4,4,5,2
2017-09-27,278,2017,NA,NA,5,3,NA,NA,2,NA,5,6,2,1,3
2017-09-27,278,2017,NA,NA,2,2,NA,NA,2,NA,5,4,29,4,6
