date,max_temperature,min_temperature
01/01/2004,18.3,6.7
02/01/2004,20.3,5.1
03/01/2004,18.2,9.8
04/01/2004,20.1,3.6
05/01/2004,19.8,6.4
06/01/2004,18.7,8.2
07/01/2004,14.7,9.3
08/01/2004,13.1,8.2
09/01/2004,15.7,8.4
10/01/2004,16.9,9.4
11/01/2004,19,7.7
12/01/2004,15.2,10.4
13/01/2004,17.5,9.9
14/01/2004,17.1,10.2
15/01/2004,19.4,10.4
16/01/2004,21.6,9.2
17/01/2004,19.1,7.7
18/01/2004,18,7.3
19/01/2004,19.2,4.6
20/01/2004,18.5,6.2
21/01/2004,21.2,6.5
22/01/2004,20.2,12.3
23/01/2004,15.8,12.2
24/01/2004,14.7,9.3
25/01/2004,17,4.8
26/01/2004,14.5,8.5
27/01/2004,16.8,9.1
28/01/2004,17.3,7.7
29/01/2004,21.2,8.4
30/01/2004,21.6,6
31/01/2004,18.1,9.8
01/02/2004,16.7,8.6
02/02/2004,18.2,7
03/02/2004,15.6,8.7
04/02/2004,16.9,7.7
05/02/2004,15,9.8
06/02/2004,17.9,6.9
07/02/2004,17.8,8.8
08/02/2004,20.6,6.2
09/02/2004,20.6,5.9
10/02/2004,19.6,10.6
11/02/2004,18.8,13
12/02/2004,17.8,11
13/02/2004,19,7.8
14/02/2004,14.7,6
15/02/2004,14.1,6
16/02/2004,16.1,7.5
17/02/2004,18.6,7.7
18/02/2004,19.3,6.6
19/02/2004,15.3,10.2
20/02/2004,17.4,6.8
21/02/2004,17.3,8.3
22/02/2004,15.3,9.8
23/02/2004,15.5,7.3
24/02/2004,24.5,6.3
25/02/2004,21.8,9.6
26/02/2004,20.2,7.9
27/02/2004,22.7,6.8
28/02/2004,29.3,8.5
29/02/2004,32.9,13.3
01/03/2004,29.8,13.1
02/03/2004,24.5,12.6
03/03/2004,34.6,15.9
04/03/2004,35.1,14.1
05/03/2004,29,17.5
06/03/2004,18.4,12.2
07/03/2004,16.3,10.6
08/03/2004,17,7.7
09/03/2004,17.4,6.3
10/03/2004,19.3,7.3
11/03/2004,20.7,6.6
12/03/2004,18.3,9.5
13/03/2004,18.4,8.6
14/03/2004,18.4,8.4
15/03/2004,17.6,6
16/03/2004,18.2,4.3
17/03/2004,18,4.2
18/03/2004,18.5,7.5
19/03/2004,18,7.5
20/03/2004,18.7,6.3
21/03/2004,22.2,5.8
22/03/2004,27.7,7.8
23/03/2004,31.6,11.7
24/03/2004,22.1,12.9
25/03/2004,20.5,10.4
26/03/2004,19.8,10.5
27/03/2004,25.6,11.3
28/03/2004,25.1,14.5
29/03/2004,25.7,13.3
30/03/2004,24,14.1
31/03/2004,22.3,14.1
01/04/2004,23.9,11
02/04/2004,28.1,16.7
03/04/2004,20.4,12.7
04/04/2004,20.5,14.2
05/04/2004,21,6.8
06/04/2004,21,7
07/04/2004,20.2,8.6
08/04/2004,20.4,10.6
09/04/2004,22.6,16.4
10/04/2004,25.4,10.9
11/04/2004,25.3,9.8
12/04/2004,25.4,9.3
13/04/2004,26.9,10.2
14/04/2004,26.8,11.8
15/04/2004,22.3,12.6
16/04/2004,21,15.3
17/04/2004,21.1,10.8
18/04/2004,25,9
19/04/2004,23.6,17.4
20/04/2004,23.6,12.9
21/04/2004,25.5,14.7
22/04/2004,23.3,14.4
23/04/2004,21.8,11.7
24/04/2004,22,12.1
25/04/2004,23.1,9.9
26/04/2004,31.7,10.2
27/04/2004,27.6,17.2
28/04/2004,33.1,13.8
29/04/2004,24.2,14.5
30/04/2004,22.5,14.2
01/05/2004,25.2,11.2
02/05/2004,30.3,17
03/05/2004,24.4,14.1
04/05/2004,23.9,17.5
05/05/2004,25.7,12
06/05/2004,38.9,14.2
07/05/2004,26.8,19.2
08/05/2004,28,16.2
09/05/2004,35.4,14.7
10/05/2004,40.6,20.1
11/05/2004,24.7,18.1
12/05/2004,23.7,17.3
13/05/2004,25.6,14.7
14/05/2004,37.7,16.2
15/05/2004,23.8,18.9
16/05/2004,24.3,17.2
17/05/2004,24.7,15.3
18/05/2004,27,12.7
19/05/2004,27.4,17.2
20/05/2004,24.2,19.3
21/05/2004,24.1,14.1
22/05/2004,24.4,13.5
23/05/2004,24.5,12
24/05/2004,24.6,12.2
25/05/2004,24.7,13.9
26/05/2004,25.4,14
27/05/2004,27.5,15.5
28/05/2004,25.3,17.1
29/05/2004,26.4,15.7
30/05/2004,39.7,16.9
31/05/2004,26.6,17.9
01/06/2004,25.2,17.1
02/06/2004,25.3,16.2
03/06/2004,25.3,16
04/06/2004,25.7,16.2
05/06/2004,26.9,16
06/06/2004,27.8,21
07/06/2004,29.7,16.8
08/06/2004,28.4,17
09/06/2004,26.9,18
10/06/2004,27.2,18.4
11/06/2004,27.4,18.3
12/06/2004,28.2,18.3
13/06/2004,28.8,16.2
14/06/2004,28.6,18.4
15/06/2004,29.4,18.4
16/06/2004,29.9,20.5
17/06/2004,28.8,21.3
18/06/2004,31.7,21.2
19/06/2004,35.7,19
20/06/2004,28.4,23.7
21/06/2004,28.9,19.8
22/06/2004,28.7,19.9
23/06/2004,29.2,20
24/06/2004,29.2,21.4
25/06/2004,29.4,20.7
26/06/2004,28.9,20.1
27/06/2004,30.1,20.4
28/06/2004,30.7,19.5
29/06/2004,30.2,19
30/06/2004,30.9,19.9
01/07/2004,31,20.2
02/07/2004,30.7,18.3
03/07/2004,30.3,21.6
04/07/2004,30.8,20.8
05/07/2004,30.9,20.8
06/07/2004,31.1,20.6
07/07/2004,32.3,22.5
08/07/2004,30.9,22.3
09/07/2004,31.1,23.5
10/07/2004,31,23.3
11/07/2004,31,24
12/07/2004,31.9,21.3
13/07/2004,33.6,19.6
14/07/2004,35,20.8
15/07/2004,33.8,19.7
16/07/2004,31.6,22.4
17/07/2004,30.3,23.8
18/07/2004,30.4,20.2
19/07/2004,31.4,21.7
20/07/2004,31.2,22.3
21/07/2004,31,21.2
22/07/2004,31.2,20.3
23/07/2004,31.1,22.6
24/07/2004,31,21.4
25/07/2004,31.1,21.1
26/07/2004,32.6,20.1
27/07/2004,32.1,22.7
28/07/2004,31.8,22.8
29/07/2004,32,23.3
30/07/2004,33.6,24.5
31/07/2004,32.2,23
01/08/2004,31.4,21.7
02/08/2004,31.3,22.3
03/08/2004,31.2,23.3
04/08/2004,31,23.5
05/08/2004,31.4,22.8
06/08/2004,31.7,22.4
07/08/2004,31.3,23
08/08/2004,32.6,23
09/08/2004,32.6,22.8
10/08/2004,31.7,21.2
11/08/2004,31.3,22.7
12/08/2004,31.6,23.6
13/08/2004,31.8,23.4
14/08/2004,32.1,21.6
15/08/2004,32.1,22
16/08/2004,31.9,21.1
17/08/2004,32.9,19.5
18/08/2004,31.1,23.2
19/08/2004,31.2,21.5
20/08/2004,30.8,21.3
21/08/2004,31.6,21.7
22/08/2004,31.7,20.3
23/08/2004,32,21
24/08/2004,31.9,20.9
25/08/2004,32.4,22.3
26/08/2004,31.3,22.1
27/08/2004,31,21.3
28/08/2004,32.1,22.6
29/08/2004,31.8,22.6
30/08/2004,30.5,21.5
31/08/2004,30.5,21.3
01/09/2004,30.3,22
02/09/2004,31,21
03/09/2004,31.4,21.3
04/09/2004,30.9,20.2
05/09/2004,31.6,21.2
06/09/2004,32.4,21.3
07/09/2004,32.6,20.1
08/09/2004,32.3,21.2
09/09/2004,31,21.6
10/09/2004,29.9,23.3
11/09/2004,30,19.4
12/09/2004,30,20
13/09/2004,29,17
14/09/2004,29.1,18.5
15/09/2004,29.8,19.1
16/09/2004,29,18.2
17/09/2004,28.7,18
18/09/2004,28.7,16.7
19/09/2004,30,19.8
20/09/2004,30.3,20
21/09/2004,30.4,18.8
22/09/2004,29.9,16.7
23/09/2004,29.4,18.8
24/09/2004,29.7,19.3
25/09/2004,29.5,19.7
26/09/2004,30.2,18.6
27/09/2004,30.1,18.8
28/09/2004,31.3,23.4
29/09/2004,31.6,22.1
30/09/2004,32.2,20.5
01/10/2004,31.1,17.6
02/10/2004,30.4,19.6
03/10/2004,29.7,19.2
04/10/2004,28.7,17.8
05/10/2004,28.5,15.8
06/10/2004,28.1,19.8
07/10/2004,28.5,15.6
08/10/2004,28.2,16.3
09/10/2004,28,16.2
10/10/2004,28,16.4
11/10/2004,29.1,17.2
12/10/2004,28,24.1
13/10/2004,28.4,19.2
14/10/2004,28.7,16.8
15/10/2004,29.6,19.8
16/10/2004,29.3,18.9
17/10/2004,30.7,17.6
18/10/2004,31,17.7
19/10/2004,30.1,18.9
20/10/2004,28.9,18.2
21/10/2004,28.6,17.1
