"date","date1","survey_year","oslosp","oslobl","negot_sp","negot_bl","peacesp","peacebl","gender","age","age_range","educ","political_spectrum","relig","incom"
2017-05-29,274,2017,NA,NA,1,2,NA,NA,1,18,2,3,28,2,6
2017-05-29,274,2017,NA,NA,3,3,NA,NA,1,18,2,3,28,4,5
2017-05-29,274,2017,NA,NA,3,4,NA,NA,2,18,2,3,28,4,5
2017-05-29,274,2017,NA,NA,2,2,NA,NA,2,18,2,8,28,1,5
2017-05-29,274,2017,NA,NA,2,3,NA,NA,1,18,2,3,29,2,1
2017-05-29,274,2017,NA,NA,3,4,NA,NA,2,18,2,3,28,4,6
2017-05-29,274,2017,NA,NA,4,4,NA,NA,1,18,2,3,2,3,5
2017-05-29,274,2017,NA,NA,4,4,NA,NA,2,19,2,4,7,5,4
2017-05-29,274,2017,NA,NA,2,2,NA,NA,2,19,2,3,28,5,5
2017-05-29,274,2017,NA,NA,3,2,NA,NA,1,19,2,2,29,1,2
2017-05-29,274,2017,NA,NA,5,5,NA,NA,1,19,2,9,29,3,6
2017-05-29,274,2017,NA,NA,1,4,NA,NA,1,19,2,5,1,1,4
2017-05-29,274,2017,NA,NA,2,3,NA,NA,1,19,2,3,28,1,4
2017-05-29,274,2017,NA,NA,2,2,NA,NA,1,20,2,4,29,2,2
2017-05-29,274,2017,NA,NA,1,3,NA,NA,2,20,2,3,1,1,6
2017-05-29,274,2017,NA,NA,4,4,NA,NA,2,21,2,3,2,2,2
2017-05-29,274,2017,NA,NA,1,2,NA,NA,1,21,2,4,6,3,4
2017-05-29,274,2017,NA,NA,4,4,NA,NA,1,21,2,7,7,1,3
2017-05-29,274,2017,NA,NA,3,4,NA,NA,2,21,2,4,30,5,1
2017-05-29,274,2017,NA,NA,3,3,NA,NA,2,21,2,4,5,3,2
2017-05-29,274,2017,NA,NA,2,3,NA,NA,2,21,2,3,8,1,5
2017-05-29,274,2017,NA,NA,3,4,NA,NA,1,21,2,2,7,5,1
2017-05-29,274,2017,NA,NA,2,2,NA,NA,2,21,2,5,1,1,4
2017-05-29,274,2017,NA,NA,3,3,NA,NA,1,21,2,4,9,2,3
2017-05-29,274,2017,NA,NA,3,4,NA,NA,1,21,2,3,1,2,6
2017-05-29,274,2017,NA,NA,3,4,NA,NA,1,21,2,4,12,1,1
2017-05-29,274,2017,NA,NA,3,4,NA,NA,2,22,2,3,3,1,1
2017-05-29,274,2017,NA,NA,2,3,NA,NA,1,22,2,5,8,1,4
2017-05-29,274,2017,NA,NA,4,4,NA,NA,2,22,2,4,27,5,2
2017-05-29,274,2017,NA,NA,2,3,NA,NA,1,22,2,4,7,5,1
2017-05-29,274,2017,NA,NA,2,3,NA,NA,1,22,2,3,1,1,3
2017-05-29,274,2017,NA,NA,2,3,NA,NA,1,22,2,3,1,1,3
2017-05-29,274,2017,NA,NA,1,2,NA,NA,1,22,2,3,8,1,6
2017-05-29,274,2017,NA,NA,4,4,NA,NA,1,22,2,3,5,4,3
2017-05-29,274,2017,NA,NA,4,4,NA,NA,1,22,2,9,4,4,6
2017-05-29,274,2017,NA,NA,4,4,NA,NA,2,23,2,3,2,2,6
2017-05-29,274,2017,NA,NA,3,4,NA,NA,2,23,2,3,2,2,2
2017-05-29,274,2017,NA,NA,1,2,NA,NA,2,23,2,4,1,1,5
2017-05-29,274,2017,NA,NA,3,3,NA,NA,2,23,2,5,8,1,1
2017-05-29,274,2017,NA,NA,3,4,NA,NA,2,23,2,5,7,5,2
2017-05-29,274,2017,NA,NA,4,4,NA,NA,1,23,2,7,7,5,1
2017-05-29,274,2017,NA,NA,1,2,NA,NA,2,23,2,5,11,2,2
2017-05-29,274,2017,NA,NA,3,3,NA,NA,1,23,2,7,7,5,1
2017-05-29,274,2017,NA,NA,2,3,NA,NA,2,23,2,3,1,1,3
2017-05-29,274,2017,NA,NA,1,3,NA,NA,2,23,2,3,2,2,3
2017-05-29,274,2017,NA,NA,5,2,NA,NA,1,23,2,9,8,2,6
2017-05-29,274,2017,NA,NA,3,3,NA,NA,2,23,2,3,9,2,2
2017-05-29,274,2017,NA,NA,5,3,NA,NA,1,23,2,3,2,2,2
2017-05-29,274,2017,NA,NA,2,2,NA,NA,1,23,2,3,3,2,2
2017-05-29,274,2017,NA,NA,1,3,NA,NA,1,23,2,3,8,1,6
2017-05-29,274,2017,NA,NA,1,1,NA,NA,1,23,2,5,6,1,2
2017-05-29,274,2017,NA,NA,3,3,NA,NA,1,23,2,3,8,1,4
2017-05-29,274,2017,NA,NA,2,2,NA,NA,1,24,2,4,8,1,4
2017-05-29,274,2017,NA,NA,1,2,NA,NA,1,24,2,5,6,1,4
2017-05-29,274,2017,NA,NA,4,4,NA,NA,2,24,2,5,7,5,3
2017-05-29,274,2017,NA,NA,3,3,NA,NA,2,24,2,4,29,5,2
2017-05-29,274,2017,NA,NA,1,2,NA,NA,1,24,2,3,27,2,3
2017-05-29,274,2017,NA,NA,2,3,NA,NA,2,24,2,3,5,1,3
2017-05-29,274,2017,NA,NA,1,1,NA,NA,1,24,2,3,1,1,3
2017-05-29,274,2017,NA,NA,1,2,NA,NA,2,24,2,3,6,1,1
2017-05-29,274,2017,NA,NA,4,4,NA,NA,1,24,2,7,7,5,1
2017-05-29,274,2017,NA,NA,2,2,NA,NA,1,24,2,4,2,2,2
2017-05-29,274,2017,NA,NA,2,2,NA,NA,1,24,2,6,5,4,3
2017-05-29,274,2017,NA,NA,3,4,NA,NA,1,24,2,3,2,1,4
2017-05-29,274,2017,NA,NA,1,2,NA,NA,2,25,3,3,6,1,2
2017-05-29,274,2017,NA,NA,4,4,NA,NA,2,25,3,5,27,2,1
2017-05-29,274,2017,NA,NA,4,4,NA,NA,2,25,3,4,7,5,1
2017-05-29,274,2017,NA,NA,2,3,NA,NA,1,25,3,9,8,2,6
2017-05-29,274,2017,NA,NA,2,3,NA,NA,2,25,3,5,3,1,6
2017-05-29,274,2017,NA,NA,3,4,NA,NA,1,25,3,3,9,1,3
2017-05-29,274,2017,NA,NA,1,2,NA,NA,1,25,3,5,6,1,4
2017-05-29,274,2017,NA,NA,3,4,NA,NA,2,26,3,6,8,1,2
2017-05-29,274,2017,NA,NA,2,3,NA,NA,2,26,3,5,2,1,2
2017-05-29,274,2017,NA,NA,4,4,NA,NA,2,26,3,5,29,5,1
2017-05-29,274,2017,NA,NA,2,3,NA,NA,2,26,3,3,8,1,3
2017-05-29,274,2017,NA,NA,3,4,NA,NA,1,26,3,5,2,2,3
2017-05-29,274,2017,NA,NA,3,4,NA,NA,2,26,3,6,9,3,6
2017-05-29,274,2017,NA,NA,2,3,NA,NA,2,26,3,6,29,2,6
2017-05-29,274,2017,NA,NA,1,2,NA,NA,1,26,3,3,2,2,3
2017-05-29,274,2017,NA,NA,5,3,NA,NA,2,26,3,4,2,2,2
2017-05-29,274,2017,NA,NA,3,3,NA,NA,2,26,3,4,7,4,4
2017-05-29,274,2017,NA,NA,3,4,NA,NA,2,26,3,4,4,5,1
2017-05-29,274,2017,NA,NA,1,1,NA,NA,1,26,3,5,8,2,1
2017-05-29,274,2017,NA,NA,3,3,NA,NA,2,26,3,3,29,4,6
2017-05-29,274,2017,NA,NA,3,3,NA,NA,2,26,3,3,2,3,1
2017-05-29,274,2017,NA,NA,4,4,NA,NA,1,26,3,4,7,3,2
2017-05-29,274,2017,NA,NA,2,2,NA,NA,2,26,3,5,12,1,2
