"date","date1","survey_year","oslosp","oslobl","negot_sp","negot_bl","peacesp","peacebl","gender","age","educ","relig","incom","political_spectrum"
2011-05-17,203.5,2011,NA,NA,4,4,NA,NA,1,999,8,8,7,4
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,999,8,8,7,4
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,53,4,7,7,4
2011-05-17,203.5,2011,NA,NA,3,4,NA,NA,1,58,6,7,4,3
2011-05-17,203.5,2011,NA,NA,1,4,NA,NA,1,70,4,7,1,1
2011-05-17,203.5,2011,NA,NA,3,4,NA,NA,1,64,6,7,1,3
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,2,56,4,7,1,2
2011-05-17,203.5,2011,NA,NA,3,4,NA,NA,2,48,4,7,2,1
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,1,33,5,7,4,2
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,1,20,3,7,3,4
2011-05-17,203.5,2011,NA,NA,3,4,NA,NA,1,30,3,7,2,3
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,70,6,5,7,4
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,1,88,6,5,5,4
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,1,68,1,5,2,1
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,62,4,5,5,2
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,69,6,5,7,4
2011-05-17,203.5,2011,NA,NA,5,4,NA,NA,2,38,5,5,7,3
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,58,3,5,5,2
2011-05-17,203.5,2011,NA,NA,3,3,NA,NA,1,51,6,5,7,3
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,58,3,5,1,2
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,54,6,5,7,2
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,2,62,3,5,7,1
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,63,4,5,3,1
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,68,4,5,3,3
2011-05-17,203.5,2011,NA,NA,1,1,NA,NA,1,28,6,5,2,1
2011-05-17,203.5,2011,NA,NA,1,3,NA,NA,2,47,6,5,5,1
2011-05-17,203.5,2011,NA,NA,1,4,NA,NA,1,64,6,5,4,4
2011-05-17,203.5,2011,NA,NA,5,4,NA,NA,2,38,6,5,4,2
2011-05-17,203.5,2011,NA,NA,1,3,NA,NA,2,60,6,5,5,2
2011-05-17,203.5,2011,NA,NA,1,4,NA,NA,1,20,3,5,2,4
2011-05-17,203.5,2011,NA,NA,6,4,NA,NA,1,58,4,5,4,4
2011-05-17,203.5,2011,NA,NA,1,4,NA,NA,2,32,4,5,3,2
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,63,1,5,1,3
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,2,51,6,5,3,3
2011-05-17,203.5,2011,NA,NA,1,1,NA,NA,1,62,5,5,2,2
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,2,53,6,5,7,4
2011-05-17,203.5,2011,NA,NA,1,3,NA,NA,2,48,6,5,3,3
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,19,3,5,5,4
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,1,67,6,5,3,4
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,1,60,1,5,7,4
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,1,64,6,5,3,2
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,61,6,5,5,3
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,33,6,5,2,4
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,33,4,5,4,3
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,41,6,5,5,4
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,62,3,5,1,4
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,2,23,6,5,3,3
2011-05-17,203.5,2011,NA,NA,1,1,NA,NA,2,59,3,5,4,2
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,1,18,3,5,4,4
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,2,60,4,5,1,4
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,2,35,6,5,2,1
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,2,50,6,5,4,2
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,2,46,5,5,3,2
2011-05-17,203.5,2011,NA,NA,1,1,NA,NA,2,70,6,5,6,2
2011-05-17,203.5,2011,NA,NA,3,3,NA,NA,2,56,4,5,3,4
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,1,77,3,5,4,1
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,2,42,6,5,5,1
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,65,3,5,4,4
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,50,3,5,4,1
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,44,3,5,4,1
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,51,6,5,7,2
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,2,40,6,5,3,2
2011-05-17,203.5,2011,NA,NA,1,1,NA,NA,2,60,3,5,3,4
2011-05-17,203.5,2011,NA,NA,1,3,NA,NA,2,28,6,5,1,2
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,36,3,5,3,2
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,53,3,5,7,1
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,61,6,5,7,4
