"negot3","negot4","date1","survey_year"
4,4,89,2001
1,3,89,2001
1,2,89,2001
1,2,89,2001
1,3,89,2001
1,1,89,2001
2,4,89,2001
4,4,89,2001
1,1,89,2001
2,2,89,2001
2,2,89,2001
2,3,89,2001
1,NA,89,2001
1,3,89,2001
2,4,89,2001
2,2,89,2001
1,3,89,2001
1,4,89,2001
1,1,89,2001
1,4,89,2001
2,3,89,2001
2,2,89,2001
1,1,89,2001
2,1,89,2001
4,4,89,2001
1,2,89,2001
3,4,89,2001
1,2,89,2001
1,1,89,2001
2,4,89,2001
2,2,89,2001
1,2,89,2001
2,3,89,2001
2,4,89,2001
2,4,89,2001
1,2,89,2001
4,4,89,2001
1,1,89,2001
2,3,89,2001
1,NA,89,2001
4,4,89,2001
4,4,89,2001
2,2,89,2001
2,3,89,2001
4,4,89,2001
4,4,89,2001
4,4,89,2001
1,2,89,2001
2,3,89,2001
1,1,89,2001
4,3,89,2001
3,3,89,2001
3,4,89,2001
2,3,89,2001
1,3,89,2001
2,2,89,2001
4,4,89,2001
4,4,89,2001
2,4,89,2001
1,NA,89,2001
4,4,89,2001
4,4,89,2001
2,NA,89,2001
3,3,89,2001
1,1,89,2001
4,4,89,2001
2,4,89,2001
3,2,89,2001
3,NA,89,2001
2,3,89,2001
2,4,89,2001
1,2,89,2001
1,1,89,2001
1,2,89,2001
1,1,89,2001
3,3,89,2001
3,4,89,2001
1,2,89,2001
4,4,89,2001
2,4,89,2001
3,3,89,2001
2,2,89,2001
2,2,89,2001
4,4,89,2001
1,1,89,2001
2,1,89,2001
1,3,89,2001
2,3,89,2001
2,2,89,2001
2,2,89,2001
1,3,89,2001
2,3,89,2001
1,3,89,2001
4,3,89,2001
1,2,89,2001
4,4,89,2001
3,3,89,2001
4,4,89,2001
2,4,89,2001
4,4,89,2001
2,4,89,2001
3,3,89,2001
1,4,89,2001
2,2,89,2001
4,4,89,2001
2,2,89,2001
3,3,89,2001
1,2,89,2001
1,1,89,2001
1,2,89,2001
1,1,89,2001
2,2,89,2001
4,4,89,2001
4,4,89,2001
2,3,89,2001
2,3,89,2001
3,2,89,2001
3,2,89,2001
2,2,89,2001
3,3,89,2001
3,3,89,2001
2,2,89,2001
2,3,89,2001
1,4,89,2001
2,1,89,2001
1,2,89,2001
1,4,89,2001
4,4,89,2001
4,4,89,2001
3,3,89,2001
2,2,89,2001
3,3,89,2001
2,2,89,2001
3,3,89,2001
2,2,89,2001
1,4,89,2001
3,4,89,2001
1,3,89,2001
2,3,89,2001
3,3,89,2001
2,2,89,2001
2,2,89,2001
2,4,89,2001
1,2,89,2001
2,2,89,2001
2,4,89,2001
2,2,89,2001
4,4,89,2001
4,3,89,2001
4,4,89,2001
1,NA,89,2001
2,4,89,2001
3,4,89,2001
3,4,89,2001
4,4,89,2001
1,2,89,2001
4,4,89,2001
1,1,89,2001
4,4,89,2001
3,4,89,2001
4,4,89,2001
4,4,89,2001
3,3,89,2001
4,3,89,2001
1,2,89,2001
4,4,89,2001
2,4,89,2001
2,4,89,2001
4,4,89,2001
2,3,89,2001
4,4,89,2001
1,2,89,2001
4,4,89,2001
2,3,89,2001
4,4,89,2001
4,4,89,2001
4,4,89,2001
2,2,89,2001
2,2,89,2001
2,2,89,2001
1,1,89,2001
2,2,89,2001
3,3,89,2001
1,1,89,2001
2,3,89,2001
2,3,89,2001
2,2,89,2001
1,2,89,2001
2,4,89,2001
1,4,89,2001
4,4,89,2001
2,4,89,2001
1,3,89,2001
2,1,89,2001
2,4,89,2001
2,4,89,2001
2,1,89,2001
1,2,89,2001
1,4,89,2001
2,2,89,2001
2,4,89,2001
2,3,89,2001
2,2,89,2001
2,4,89,2001
2,4,89,2001
4,4,89,2001
1,1,89,2001
1,2,89,2001
4,4,89,2001
4,4,89,2001
4,4,89,2001
4,4,89,2001
2,2,89,2001
2,3,89,2001
4,2,89,2001
1,2,89,2001
2,4,89,2001
2,3,89,2001
1,1,89,2001
1,2,89,2001
3,3,89,2001
2,1,89,2001
1,3,89,2001
2,2,89,2001
1,4,89,2001
1,2,89,2001
2,2,89,2001
2,4,89,2001
4,4,89,2001
3,2,89,2001
3,3,89,2001
3,2,89,2001
3,3,89,2001
2,4,89,2001
2,NA,89,2001
3,4,89,2001
4,4,89,2001
4,4,89,2001
2,4,89,2001
2,2,89,2001
4,4,89,2001
2,2,89,2001
1,4,89,2001
4,3,89,2001
1,3,89,2001
