"package","afmfile","fontfile","FullName","FamilyName","FontName","Bold","Italic","Symbol","afmsymfile"
NA,"AGENCYB.afm.gz","C:\Windows\Fonts\AGENCYB.TTF","Agency FB Bold","Agency FB","AgencyFB-Bold",TRUE,FALSE,FALSE,NA
NA,"AGENCYR.afm.gz","C:\Windows\Fonts\AGENCYR.TTF","Agency FB","Agency FB","AgencyFB-Reg",FALSE,FALSE,FALSE,NA
NA,"ahronbd.afm.gz","C:\Windows\Fonts\ahronbd.ttf","Aharoni Bold","Aharoni","Aharoni-Bold",TRUE,FALSE,FALSE,NA
NA,"ALGER.afm.gz","C:\Windows\Fonts\ALGER.TTF","Algerian","Algerian","Algerian",FALSE,FALSE,FALSE,NA
NA,"ariblk.afm.gz","C:\Windows\Fonts\ariblk.ttf","Arial Black","Arial Black","Arial-Black",FALSE,FALSE,FALSE,NA
NA,"arialbi.afm.gz","C:\Windows\Fonts\arialbi.ttf","Arial Bold Italic","Arial","Arial-BoldItalicMT",TRUE,TRUE,FALSE,NA
NA,"arialbd.afm.gz","C:\Windows\Fonts\arialbd.ttf","Arial Bold","Arial","Arial-BoldMT",TRUE,FALSE,FALSE,NA
NA,"ariali.afm.gz","C:\Windows\Fonts\ariali.ttf","Arial Italic","Arial","Arial-ItalicMT",FALSE,TRUE,FALSE,NA
NA,"arial.afm.gz","C:\Windows\Fonts\arial.ttf","Arial","Arial","ArialMT",FALSE,FALSE,FALSE,NA
NA,"ARIALN.afm.gz","C:\Windows\Fonts\ARIALN.TTF","Arial Narrow","Arial Narrow","ArialNarrow",FALSE,FALSE,FALSE,NA
NA,"ARIALNB.afm.gz","C:\Windows\Fonts\ARIALNB.TTF","Arial Narrow Bold","Arial Narrow","ArialNarrow-Bold",TRUE,FALSE,FALSE,NA
NA,"ARIALNBI.afm.gz","C:\Windows\Fonts\ARIALNBI.TTF","Arial Narrow Bold Italic","Arial Narrow","ArialNarrow-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"ARIALNI.afm.gz","C:\Windows\Fonts\ARIALNI.TTF","Arial Narrow Italic","Arial Narrow","ArialNarrow-Italic",FALSE,TRUE,FALSE,NA
NA,"ARLRDBD.afm.gz","C:\Windows\Fonts\ARLRDBD.TTF","Arial Rounded MT Bold","Arial Rounded MT Bold","ArialRoundedMTBold",FALSE,FALSE,FALSE,NA
NA,"bahnschrift.afm.gz","C:\Windows\Fonts\bahnschrift.ttf","Bahnschrift","Bahnschrift","Bahnschrift",FALSE,FALSE,FALSE,NA
NA,"BASKVILL.afm.gz","C:\Windows\Fonts\BASKVILL.TTF","Baskerville Old Face","Baskerville Old Face","BaskOldFace",FALSE,FALSE,FALSE,NA
NA,"BAUHS93.afm.gz","C:\Windows\Fonts\BAUHS93.TTF","Bauhaus 93","Bauhaus 93","Bauhaus93",FALSE,FALSE,FALSE,NA
NA,"BELL.afm.gz","C:\Windows\Fonts\BELL.TTF","Bell MT","Bell MT","BellMT",FALSE,FALSE,FALSE,NA
NA,"BELLB.afm.gz","C:\Windows\Fonts\BELLB.TTF","Bell MT Bold","Bell MT","BellMTBold",TRUE,FALSE,FALSE,NA
NA,"BELLI.afm.gz","C:\Windows\Fonts\BELLI.TTF","Bell MT Italic","Bell MT","BellMTItalic",FALSE,TRUE,FALSE,NA
NA,"BRLNSB.afm.gz","C:\Windows\Fonts\BRLNSB.TTF","Berlin Sans FB Bold","Berlin Sans FB","BerlinSansFB-Bold",TRUE,FALSE,FALSE,NA
NA,"BRLNSR.afm.gz","C:\Windows\Fonts\BRLNSR.TTF","Berlin Sans FB","Berlin Sans FB","BerlinSansFB-Reg",FALSE,FALSE,FALSE,NA
NA,"BRLNSDB.afm.gz","C:\Windows\Fonts\BRLNSDB.TTF","Berlin Sans FB Demi Bold","Berlin Sans FB Demi","BerlinSansFBDemi-Bold",TRUE,FALSE,FALSE,NA
NA,"BERNHC.afm.gz","C:\Windows\Fonts\BERNHC.TTF","Bernard MT Condensed","Bernard MT Condensed","BernardMT-Condensed",FALSE,FALSE,FALSE,NA
NA,"ITCBLKAD.afm.gz","C:\Windows\Fonts\ITCBLKAD.TTF","Blackadder ITC","Blackadder ITC","BlackadderITC-Regular",FALSE,FALSE,FALSE,NA
NA,"BOD_R.afm.gz","C:\Windows\Fonts\BOD_R.TTF","Bodoni MT","Bodoni MT","BodoniMT",FALSE,FALSE,FALSE,NA
NA,"BOD_B.afm.gz","C:\Windows\Fonts\BOD_B.TTF","Bodoni MT Bold","Bodoni MT","BodoniMT-Bold",TRUE,FALSE,FALSE,NA
NA,"BOD_BI.afm.gz","C:\Windows\Fonts\BOD_BI.TTF","Bodoni MT Bold Italic","Bodoni MT","BodoniMT-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"BOD_I.afm.gz","C:\Windows\Fonts\BOD_I.TTF","Bodoni MT Italic","Bodoni MT","BodoniMT-Italic",FALSE,TRUE,FALSE,NA
NA,"BOD_BLAR.afm.gz","C:\Windows\Fonts\BOD_BLAR.TTF","Bodoni MT Black","Bodoni MT Black","BodoniMTBlack",FALSE,FALSE,FALSE,NA
NA,"BOD_BLAI.afm.gz","C:\Windows\Fonts\BOD_BLAI.TTF","Bodoni MT Black Italic","Bodoni MT Black","BodoniMTBlack-Italic",FALSE,TRUE,FALSE,NA
NA,"BOD_CR.afm.gz","C:\Windows\Fonts\BOD_CR.TTF","Bodoni MT Condensed","Bodoni MT Condensed","BodoniMTCondensed",FALSE,FALSE,FALSE,NA
NA,"BOD_CB.afm.gz","C:\Windows\Fonts\BOD_CB.TTF","Bodoni MT Condensed Bold","Bodoni MT Condensed","BodoniMTCondensed-Bold",TRUE,FALSE,FALSE,NA
NA,"BOD_CBI.afm.gz","C:\Windows\Fonts\BOD_CBI.TTF","Bodoni MT Condensed Bold Italic","Bodoni MT Condensed","BodoniMTCondensed-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"BOD_CI.afm.gz","C:\Windows\Fonts\BOD_CI.TTF","Bodoni MT Condensed Italic","Bodoni MT Condensed","BodoniMTCondensed-Italic",FALSE,TRUE,FALSE,NA
NA,"BOD_PSTC.afm.gz","C:\Windows\Fonts\BOD_PSTC.TTF","Bodoni MT Poster Compressed","Bodoni MT Poster Compressed","BodoniMTPosterCompressed",FALSE,FALSE,FALSE,NA
NA,"BKANT.afm.gz","C:\Windows\Fonts\BKANT.TTF","Book Antiqua","Book Antiqua","BookAntiqua",FALSE,FALSE,FALSE,NA
NA,"ANTQUAB.afm.gz","C:\Windows\Fonts\ANTQUAB.TTF","Book Antiqua Bold","Book Antiqua","BookAntiqua-Bold",TRUE,FALSE,FALSE,NA
NA,"ANTQUABI.afm.gz","C:\Windows\Fonts\ANTQUABI.TTF","Book Antiqua Bold Italic","Book Antiqua","BookAntiqua-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"ANTQUAI.afm.gz","C:\Windows\Fonts\ANTQUAI.TTF","Book Antiqua Italic","Book Antiqua","BookAntiqua-Italic",FALSE,TRUE,FALSE,NA
NA,"BOOKOS.afm.gz","C:\Windows\Fonts\BOOKOS.TTF","Bookman Old Style","Bookman Old Style","BookmanOldStyle",FALSE,FALSE,FALSE,NA
NA,"BOOKOSB.afm.gz","C:\Windows\Fonts\BOOKOSB.TTF","Bookman Old Style Bold","Bookman Old Style","BookmanOldStyle-Bold",TRUE,FALSE,FALSE,NA
NA,"BOOKOSBI.afm.gz","C:\Windows\Fonts\BOOKOSBI.TTF","Bookman Old Style Bold Italic","Bookman Old Style","BookmanOldStyle-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"BOOKOSI.afm.gz","C:\Windows\Fonts\BOOKOSI.TTF","Bookman Old Style Italic","Bookman Old Style","BookmanOldStyle-Italic",FALSE,TRUE,FALSE,NA
NA,"BSSYM7.afm.gz","C:\Windows\Fonts\BSSYM7.TTF","Bookshelf Symbol 7","Bookshelf Symbol 7","BookshelfSymbolSeven",FALSE,FALSE,TRUE,NA
NA,"BRADHITC.afm.gz","C:\Windows\Fonts\BRADHITC.TTF","Bradley Hand ITC","Bradley Hand ITC","BradleyHandITC",FALSE,FALSE,FALSE,NA
NA,"BRITANIC.afm.gz","C:\Windows\Fonts\BRITANIC.TTF","Britannic Bold","Britannic Bold","BritannicBold",FALSE,FALSE,FALSE,NA
NA,"BROADW.afm.gz","C:\Windows\Fonts\BROADW.TTF","Broadway","Broadway","Broadway",FALSE,FALSE,FALSE,NA
NA,"BRUSHSCI.afm.gz","C:\Windows\Fonts\BRUSHSCI.TTF","Brush Script MT Italic","Brush Script MT","BrushScriptMT",FALSE,TRUE,FALSE,NA
NA,"calibri.afm.gz","C:\Windows\Fonts\calibri.ttf","Calibri","Calibri","Calibri",FALSE,FALSE,FALSE,NA
NA,"calibrib.afm.gz","C:\Windows\Fonts\calibrib.ttf","Calibri Bold","Calibri","Calibri-Bold",TRUE,FALSE,FALSE,NA
NA,"calibriz.afm.gz","C:\Windows\Fonts\calibriz.ttf","Calibri Bold Italic","Calibri","Calibri-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"calibrii.afm.gz","C:\Windows\Fonts\calibrii.ttf","Calibri Italic","Calibri","Calibri-Italic",FALSE,TRUE,FALSE,NA
NA,"calibril.afm.gz","C:\Windows\Fonts\calibril.ttf","Calibri Light","Calibri Light","Calibri-Light",FALSE,FALSE,FALSE,NA
NA,"calibrili.afm.gz","C:\Windows\Fonts\calibrili.ttf","Calibri Light Italic","Calibri Light","Calibri-LightItalic",FALSE,TRUE,FALSE,NA
NA,"CALIFB.afm.gz","C:\Windows\Fonts\CALIFB.TTF","Californian FB Bold","Californian FB","CalifornianFB-Bold",TRUE,FALSE,FALSE,NA
NA,"CALIFI.afm.gz","C:\Windows\Fonts\CALIFI.TTF","Californian FB Italic","Californian FB","CalifornianFB-Italic",FALSE,TRUE,FALSE,NA
NA,"CALIFR.afm.gz","C:\Windows\Fonts\CALIFR.TTF","Californian FB","Californian FB","CalifornianFB-Reg",FALSE,FALSE,FALSE,NA
NA,"CALISTB.afm.gz","C:\Windows\Fonts\CALISTB.TTF","Calisto MT Bold","Calisto MT","CalisMTBol",TRUE,FALSE,FALSE,NA
NA,"CALIST.afm.gz","C:\Windows\Fonts\CALIST.TTF","Calisto MT","Calisto MT","CalistoMT",FALSE,FALSE,FALSE,NA
NA,"CALISTBI.afm.gz","C:\Windows\Fonts\CALISTBI.TTF","Calisto MT Bold Italic","Calisto MT","CalistoMT-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"CALISTI.afm.gz","C:\Windows\Fonts\CALISTI.TTF","Calisto MT Italic","Calisto MT","CalistoMT-Italic",FALSE,TRUE,FALSE,NA
NA,"cambriab.afm.gz","C:\Windows\Fonts\cambriab.ttf","Cambria Bold","Cambria","Cambria-Bold",TRUE,FALSE,FALSE,NA
NA,"cambriaz.afm.gz","C:\Windows\Fonts\cambriaz.ttf","Cambria Bold Italic","Cambria","Cambria-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"cambriai.afm.gz","C:\Windows\Fonts\cambriai.ttf","Cambria Italic","Cambria","Cambria-Italic",FALSE,TRUE,FALSE,NA
NA,"Candara.afm.gz","C:\Windows\Fonts\Candara.ttf","Candara","Candara","Candara",FALSE,FALSE,FALSE,NA
NA,"Candarab.afm.gz","C:\Windows\Fonts\Candarab.ttf","Candara Bold","Candara","Candara-Bold",TRUE,FALSE,FALSE,NA
NA,"Candaraz.afm.gz","C:\Windows\Fonts\Candaraz.ttf","Candara Bold Italic","Candara","Candara-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"Candarai.afm.gz","C:\Windows\Fonts\Candarai.ttf","Candara Italic","Candara","Candara-Italic",FALSE,TRUE,FALSE,NA
NA,"Candaral.afm.gz","C:\Windows\Fonts\Candaral.ttf","Candara Light","Candara Light","Candara-Light",FALSE,FALSE,FALSE,NA
